"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ANCHORAGE","1145 LATOUCHE ST, Anchorage, AK, ANCHORAGE, AK","AK","2","9","2004",-149.8608,61.210861
"ANCHORAGE","926 W 25TH ST, Anchorage, AK, ANCHORAGE, AK","AK","4","4","2004",-149.900809,61.197738
"ANCHORAGE","3402 DORBRANDT st 36, Anchorage, AK, ANCHORAGE, AK","AK","5","10","2004",-149.905636,61.189555
"ANCHORAGE","13049 OLD GLENN HWY 205, Anchorage, AK, ANCHORAGE, AK","AK","7","15","2004",-149.56133,61.338665
"ANCHORAGE","3508 DORBRANDT ST 1, Anchorage, AK, ANCHORAGE, AK","AK","7","17","2004",-149.905019,61.188427
"ANCHORAGE","12831 HACE ST, Anchorage, AK, ANCHORAGE, AK","AK","9","7","2004",-149.853403,61.104209
"ANCHORAGE","1507 W 47TH AVE B, Anchorage, AK, ANCHORAGE, AK","AK","9","8","2004",-149.911916,61.178024
"ANCHORAGE","3029 EAST 46TH AVENUE, Anchorage, AK, ANCHORAGE, AK","AK","10","12","2004",-149.824889,61.179309
"ANCHORAGE","4206  HAYES STREET UPPER UNIT, Anchorage, AK, ANCHORAGE, AK","AK","7","27","2012",-149.900278,61.218056
"FAIRBANKS NORTH STAR","275 HENRIK RD, Fairbanks, AK, FAIRBANKS, AK","AK","1","19","2005",-147.811936,64.870953
"KENAI PENINSULA","260 WILLOW S ST #215, KENAI, AK, KENAI, AK","AK","1","14","2004",-151.252273,60.555951
"KENAI PENINSULA","51015 POLARIS WAY, KENAI, AK, KENAI, AK","AK","10","11","2004",-151.261129,60.514043
"KENAI PENINSULA","54025 INLET DRIVE, KENAI, AK, KENAI, AK","AK","1","14","2006",-151.349259,60.718956
"KENAI PENINSULA","52170 MARLENE AVENUE, KENAI, AK, KENAI, AK","AK","3","17","2006",-151.291514,60.728542
"KENAI PENINSULA","53255 SANDY, KENAI, AK, KENAI, AK","AK","6","13","2008",-151.326605,60.599835
