"COUNTY","FullAddress","Month","Date","Year","lon","lat"
"AUTAUGA ","168 WEST PATRICK STREET  , PRATTVILLE , AL","4","29","2009",-86.458452,32.452427
"AUTAUGA ","487 WEST PINECREST STREET  , PRATTVILLE , AL","4","30","2009",-86.457508,32.463491
"AUTAUGA ","910 EAST FAIRVIEW AVENUE 910 , PRATTVILLE , AL","5","12","2009",-86.43958,32.477329
"AUTAUGA ","1829  COUNTRY 107 ROAD  , PRATTVILLE , AL","6","23","2010",-86.460256,32.573078
"BALDWIN ","15877 WEST PINE GROVE ROAD UNIT 6 , BAY MINETTE , AL","8","3","2011",-87.753075,30.815217
"BALDWIN ","500 GRANT ST D213 , DAPHNE , AL","12","28","2004",-87.910831,30.646435
"BALDWIN ","126 COUNTY ROAD 20 W 206 , FOLEY , AL","8","27","2004",-87.705948,30.370228
"BALDWIN ","15820 BEASLEY ROAD , FOLEY , AL","7","4","2008",-87.754036,30.413992
"BALDWIN ","15326  SHERMAN LANE  , FOLEY , AL","4","2","2013",-87.760007,30.365496
"BALDWIN ","2151 MEEKER LN , GULF SHORES , AL","10","14","2004",-87.753447,30.255178
"BALDWIN ","336a EAST 3RD ST A , GULF SHORES , AL","4","22","2005",-87.772026,30.885289
"BALDWIN ","216 EAST 24TH AVENUE 11  , GULF SHORES , AL","12","24","2011",-87.685555,30.27796
"BALDWIN ","9525 COUNTY 91 RD , LILLIAN , AL","5","12","2004",-87.480609,30.362492
"BALDWIN ","56631 SPLINTER HILL RD , PERDIDO , AL","5","4","2004",-87.662396,31.050192
"BALDWIN ","22031  COUNTY 87 ROAD 3 , ROBERTSDALE , AL","1","21","2012",-87.581748,30.546341
"BALDWIN ","19815 SEMINOLE DR , SEMINOLE , AL","5","13","2004",-87.476932,30.513869
"BALDWIN ","9700 HELTON RD , STOCKTON , AL","4","12","2004",-87.85805,30.99379
"BALDWIN ","17761 COUNTY ROAD 28 RD C , SUMMERDALE , AL","12","1","2004",-87.725717,30.457974
"BIBB ","386  CAMILLIA LANE  , WEST BLOCTON , AL","4","6","2010",-87.124555,33.119502
"BLOUNT ","55  HIGHLAND AVENUE  , ALLGOOD , AL","6","5","2010",-86.992588,33.431164
"BLOUNT ","135  BLACKBERRY LANE  , CLEVELAND , AL","5","27","2010",-86.590495,33.993248
"BLOUNT ","363  OLD WALKER ROAD  , CLEVELAND , AL","6","4","2010",-86.621797,33.963254
"BLOUNT ","590 SHIPP RD , HAYDEN , AL","7","24","2004",-86.925602,33.825897
"BLOUNT ","911 ELVESTER RD , HAYDEN , AL","2","10","2005",-86.745469,33.953352
"BLOUNT ","830  MORTON ROAD  , ONEONTA , AL","6","29","2010",-86.40509,33.926834
"BLOUNT ","23 SMITH MILL RD LOT 4 , TRAFFORD , AL","4","7","2005",-86.720047,33.821409
"CALHOUN ","4250 US 431 HWY , ANNISTON , AL","2","10","2004",-85.823477,33.694096
"CALHOUN ","440 WILLINGHAM DR , ANNISTON , AL","4","25","2004",-85.902134,33.647486
"CALHOUN ","4620 SPRAUGE AVE LOT 2 , ANNISTON , AL","7","19","2004",-85.831606,33.613579
"CALHOUN ","1001 BYNUM LEATHERWOOD RD , ANNISTON , AL","9","1","2004",-85.902962,33.653458
"CALHOUN ","207 BRENDA RD , ANNISTON , AL","9","30","2004",-85.825146,33.705367
"CALHOUN ","176 MARION DR , ANNISTON , AL","10","5","2004",-85.861296,33.690057
"CALHOUN ","2130 WOODLAND AVE , ANNISTON , AL","11","9","2004",-85.815843,33.672427
"CALHOUN ","116 29TH W ST , ANNISTON , AL","5","6","2005",-85.831288,33.68275
"CALHOUN ","2325 NOBLE ST , ANNISTON , AL","5","6","2005",-85.829761,33.674565
"CALHOUN ","169 WOODMIST LN , ANNISTON , AL","5","19","2005",-85.879642,33.64916
"CALHOUN ","101 54TH ST. E ST LOT #10 , ANNISTON , AL","6","3","2005",1.5,44.5
"CALHOUN ","148 CHELSI LANE , ANNISTON , AL","3","10","2006",-85.898342,33.644891
"CALHOUN ","807 BANCROFT , ANNISTON , AL","3","21","2006",-85.85598,33.654793
"CALHOUN ","704 MOUNTAIN DRIVE , ANNISTON , AL","3","5","2008",-85.80594,33.731229
