"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ARKANSAS ","1007 NORTH LESLIE STREET , STUTTGART , AR","AR",6,7,2006,-91.548972,34.510309
"ARKANSAS ","54 SMITH-VESTER ROAD , STUTTGART , AR","AR",1,24,2007,-91.485969,34.55968
"ASHLEY ","289 ASHLEY , CROSSETT , AR","AR",1,2,2007,-91.864755,33.134633
"ASHLEY ","130  LILAC, CROSSETT , AR","AR",5,15,2009,-91.93785,33.164097
"ASHLEY ","398  HIGHWAY 160, FOUNTAIN HILL , AR","AR",4,15,2009,-91.858407,33.360374
"ASHLEY ","186 TRESWELL RD , HAMBURG , AR","AR",2,9,2006,-91.853048,33.182926
"ASHLEY ","125 NORTH SKENDER LANE , HAMBURG , AR","AR",11,13,2006,-91.646167,33.189831
"ASHLEY ","200 ASHLEY ROAD 495 , HAMBURG , AR","AR",11,25,2006,-91.898862,33.288294
"ASHLEY ","609 EAST LINCOLN STREET , HAMBURG , AR","AR",2,1,2007,-91.790548,33.225794
"ASHLEY ","630  CHERRY, NORTH CROSSETT , AR","AR",6,6,2013,-91.953292,33.159894
"BAXTER ","705 HWY 178 816 , MIDWAY , AR","AR",3,15,2004,-92.471139,36.388629
"BAXTER ","COUNTY ROAD 169 RD 871 , MOUNTAIN HOME , AR","AR",5,12,2004,-92.383529,36.4356
"BAXTER ","274 SHORECREST DR , MOUNTAIN HOME , AR","AR",7,3,2004,-92.302074,36.394315
"BAXTER ","97 HOLLOW LN , MOUNTAIN HOME , AR","AR",7,26,2004,-92.354039,36.369848
"BAXTER ","16TH E ST 27 , MOUNTAIN HOME , AR","AR",3,7,2005,-92.372399,36.32175
"BAXTER ","995 CR 995 , MOUNTAIN HOME , AR","AR",4,1,2006,-92.293649,36.377699
"BAXTER ","12  COUNTY ROAD 12, MOUNTAIN HOME , AR","AR",8,3,2010,-92.311447,36.23494
"BAXTER ","128  NORTH COLLEGE STREET  , MOUNTAIN HOME , AR","AR",8,11,2010,-92.380601,36.340531
"BAXTER ","1913  HALLMARK, MOUNTAIN HOME , AR","AR",8,31,2010,-92.361659,36.32782
"BAXTER ","245 MAJOR , NORFORK , AR","AR",6,7,2006,-92.282044,36.20994
"BENTON ","808 MAIN N ST , BENTONVILLE , AR","AR",4,4,2004,-94.20908,36.364132
"BENTON ","1207 CEDAR PL , BENTONVILLE , AR","AR",7,21,2004,-94.224341,36.386615
