DATE,COUNTY,CITY,ADDRESS,STATE,LAT,LONG
2/27/2004,COCHISE,BENSON,"680 4TH ST B, BENSON, AZ                          ",AZ,31.966208,-110.288083
12/14/2007,COCHISE,WILLCOX,"2201 WEST KNAGGE LANE, WILLCOX, AZ               ",AZ,32.285162,-109.866524
7/13/2004,COCONINO,FLAGSTAFF,"7400 PONY TRL, FLAGSTAFF, AZ                     ",AZ,35.245953,-111.501906
3/8/2004,MARICOPA,APACHE JUNCTION,"1901 GRAND N DR, APACHE JUNCTION, AZ             ",AZ,33.432719,-111.569621
8/5/2004,MARICOPA,APACHE JUNCTION,"5516 5TH E AVE, APACHE JUNCTION, AZ               ",AZ,33.411044,-111.486445
3/18/2004,MARICOPA,AVONDALE,"10812 MONTE VISTA W RD, AVONDALE, AZ             ",AZ,33.47051,-112.291931
12/6/2004,MARICOPA,AVONDALE,"3636 106TH N DR, AVONDALE, AZ                     ",AZ,33.489538,-112.287931
8/10/2004,MARICOPA,BUCKEYE,"19325 (b) ROOSEVELT W, BUCKEYE, AZ               ",AZ,33.456954,-112.475554
7/21/2004,MARICOPA,BUCKEYE,"7243 PERRYVILLE S, BUCKEYE, AZ                    ",AZ,33.381106,-112.460959
4/29/2004,MARICOPA,CAVE CREEK,"29443 60TH N ST, CAVE CREEK, AZ                  ",AZ,33.753396,-111.951447
4/2/2004,MARICOPA,CHANDLER,"25 OAKLAND W ST 1, CHANDLER, AZ                   ",AZ,33.311297,-111.842495
1/17/2004,MARICOPA,CHANDLER,"310 ALAMO W DR, CHANDLER, AZ                     ",AZ,33.349402,-111.846553
9/17/2004,MARICOPA,CHANDLER,"565 ASPEN DR, CHANDLER, AZ                        ",AZ,33.31194,-111.944914
7/26/2004,MARICOPA,CHANDLER,"713 LAREDO W, CHANDLER, AZ                       ",AZ,33.313958,-111.85274
2/12/2004,MARICOPA,EL MIRAGE,"12234 LARKSPUR W RD, EL MIRAGE, AZ                ",AZ,33.596911,-112.323634
3/1/2006,MARICOPA,GILBERT,"1507 OWL S ST, GILBERT, AZ                       ",AZ,33.323158,-111.696266
6/27/2007,MARICOPA,GLENDALE,"12727 WEST GLENDALE AVENUE, GLENDALE, AZ         ",AZ,33.534727,-112.333738
8/10/2004,MARICOPA,GLENDALE,"18446 75 N AVE, GLENDALE, AZ                     ",AZ,33.652323,-112.220857
5/4/2006,MARICOPA,GLENDALE,"5133 WEST VOGEL AVENUE, GLENDALE, AZ             ",AZ,33.571936,-112.170621
4/15/2004,MARICOPA,GLENDALE,"5717 BLUEFIELD W AVE, GLENDALE, AZ               ",AZ,33.651479,-112.183442
9/12/2004,MARICOPA,GLENDALE,"5745 MARYLAND W AVE 46, GLENDALE, AZ            ",AZ,33.530972,-112.183521
2/21/2008,MARICOPA,GLENDALE,"5751 WEST ALTADENA AVENUE, GLENDALE, AZ          ",AZ,33.591847,-112.183808
5/3/2006,MARICOPA,GLENDALE,"6201 WEST OLIVE AVENUE, GLENDALE, AZ              ",AZ,33.565401,-112.194086
5/4/2006,MARICOPA,GLENDALE,"6991 WEST KEIM DRIVE, GLENDALE, AZ               ",AZ,33.524765,-112.208778
3/15/2004,MARICOPA,GLENDALE,"7405 KRALL W SR, GLENDALE, AZ                   ",AZ,33.538652,-112.185987
1/20/2005,MARICOPA,GLENDALE,"8930 61ST N AVE 5, GLENDALE, AZ                  ",AZ,33.566418,-112.191014
12/16/2004,MARICOPA,GOODYEAR,"15912 MONROE W ST, GOODYEAR, AZ                   ",AZ,33.44898,-112.401596
12/8/2004,MARICOPA,GOODYEAR,"1701 PALO VERDE N 12, GOODYEAR, AZ               ",AZ,33.455667,-112.344388
7/26/2006,MARICOPA,HIGLEY,"17108 EAST KNOX ROAD, HIGLEY, AZ                  ",AZ,33.328876,-111.695641
6/7/2004,MARICOPA,LAVEEN,"4249 ESTRELLA W DR, LAVEEN, AZ                   ",AZ,33.332767,-112.150302
11/28/2005,MARICOPA,MARICOPA VILLAGE,"33220 SOUTH 75TH AVENUE, MARICOPA VILLAGE, AZ     ",AZ,33.054092,-112.220137
10/7/2004,MARICOPA,MESA,"10539 MERCURY E DR, MESA, AZ                     ",AZ,33.42025,-111.602807
3/9/2007,MARICOPA,MESA,"1800 EAST COVINA, MESA, AZ                        ",AZ,33.425199,-111.790817
5/14/2004,MARICOPA,MESA,"2912 MEKELLIPS E RD 16, MESA, AZ                 ",AZ,33.453725,-111.768042
6/16/2006,MARICOPA,MESA,"335 NORTH HAWES ROAD, MESA, AZ                    ",AZ,33.421783,-111.649776
8/27/2004,MARICOPA,MESA,"542 99TH N ST, MESA, AZ                          ",AZ,33.425466,-111.617779
11/1/2004,MARICOPA,MESA,"550 MCKELLIPS E 1018, MESA, AZ                    ",AZ,33.453138,-111.818947
3/3/2004,MARICOPA,MESA,"645 COUNTRY CLUB N ST 195, MESA, AZ              ",AZ,33.427272,-111.838737
1/19/2006,MARICOPA,MESA,"763 8TH E AVE 3, MESA, AZ                         ",AZ,33.400336,-111.814398
