"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"COCHISE","680 4TH ST B, BENSON, AZ                          ","AZ","2","27","2004",-110.288083,31.966208
"COCHISE","2201 WEST KNAGGE LANE, WILLCOX, AZ               ","AZ","12","14","2007",-109.866524,32.285162
"COCONINO","7400 PONY TRL, FLAGSTAFF, AZ                     ","AZ","7","13","2004",-111.501906,35.245953
"MARICOPA","1901 GRAND N DR, APACHE JUNCTION, AZ             ","AZ","3","8","2004",-111.569621,33.432719
"MARICOPA","5516 5TH E AVE, APACHE JUNCTION, AZ               ","AZ","8","5","2004",-111.486445,33.411044
"MARICOPA","10812 MONTE VISTA W RD, AVONDALE, AZ             ","AZ","3","18","2004",-112.291931,33.47051
"MARICOPA","3636 106TH N DR, AVONDALE, AZ                     ","AZ","12","6","2004",-112.287931,33.489538
"MARICOPA","19325 (b) ROOSEVELT W, BUCKEYE, AZ               ","AZ","8","10","2004",-112.475554,33.456954
"MARICOPA","7243 PERRYVILLE S, BUCKEYE, AZ                    ","AZ","7","21","2004",-112.460959,33.381106
"MARICOPA","29443 60TH N ST, CAVE CREEK, AZ                  ","AZ","4","29","2004",-111.951447,33.753396
"MARICOPA","25 OAKLAND W ST 1, CHANDLER, AZ                   ","AZ","4","2","2004",-111.842495,33.311297
"MARICOPA","310 ALAMO W DR, CHANDLER, AZ                     ","AZ","1","17","2004",-111.846553,33.349402
"MARICOPA","565 ASPEN DR, CHANDLER, AZ                        ","AZ","9","17","2004",-111.944914,33.31194
"MARICOPA","713 LAREDO W, CHANDLER, AZ                       ","AZ","7","26","2004",-111.85274,33.313958
"MARICOPA","12234 LARKSPUR W RD, EL MIRAGE, AZ                ","AZ","2","12","2004",-112.323634,33.596911
"MARICOPA","1507 OWL S ST, GILBERT, AZ                       ","AZ","3","1","2006",-111.696266,33.323158
"MARICOPA","12727 WEST GLENDALE AVENUE, GLENDALE, AZ         ","AZ","6","27","2007",-112.333738,33.534727
"MARICOPA","18446 75 N AVE, GLENDALE, AZ                     ","AZ","8","10","2004",-112.220857,33.652323
"MARICOPA","5133 WEST VOGEL AVENUE, GLENDALE, AZ             ","AZ","5","4","2006",-112.170621,33.571936
"MARICOPA","5717 BLUEFIELD W AVE, GLENDALE, AZ               ","AZ","4","15","2004",-112.183442,33.651479
