"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ADAMS ","12466 PARKLANE E DR , AURORA , CO","CO",1,24,2006,-104.843238,39.757992
"ADAMS ","1623 VAN BUREN N WAY , AURORA , CO","CO",2,15,2006,-104.7870166,39.7425478
"ADAMS ","4350 HARBACK RD , BENNETT , CO","CO",5,24,2004,-104.468183,39.772234
"ADAMS ","145 CLEVELAND COURT , BENNETT , CO","CO",6,7,2007,-104.435855,39.755017
"ADAMS ","8371 BRIGHTON RD , COMMERCE CITY , CO","CO",4,21,2004,-104.9188309,39.8484603
"ADAMS ","11338 NEWARK ST , COMMERCE CITY , CO","CO",7,13,2004,-104.852349,39.901939
"ADAMS ","11338 NEWARK ST , COMMERCE CITY , CO","CO",2,2,2005,-104.852349,39.901939
"ADAMS ","6521 70TH E PL , COMMERCE CITY , CO","CO",4,28,2005,-104.912048,39.824959
"ADAMS ","7351  KRAMERIA STREET  , COMMERCE CITY , CO","CO",10,9,2012,-104.916427,39.829846
"ADAMS ","1481 71ST STREET W PL 2 , DENVER , CO","CO",2,4,2004,-105.004869,39.826791
"ADAMS ","3289 HAWTHORNE W PL , DENVER , CO","CO",12,1,2004,-105.029603,39.813979
"ADAMS ","9016 LASALLE PL , DENVER , CO","CO",7,12,2005,-104.9071731,39.6702721
"ADAMS ","6355 EAST 121ST DRIVE , DUPONT , CO","CO",5,20,2006,-104.9126418,39.8387292
"ADAMS ","2105 91ST W PL , FEDERAL HEIGHTS , CO","CO",11,11,2005,-105.013668,39.862829
"ADAMS ","110 110TH W AVE 148 , NORTHGLENN , CO","CO",8,24,2004,-104.9547073,39.8961072
"ADAMS ","12255 CLAUDE CT , NORTHGLENN , CO","CO",11,26,2004,-104.9598887,39.9165111
"ADAMS ","1350 102ND W PL , NORTHGLENN , CO","CO",3,16,2005,-105.00318,39.882056
"ADAMS ","2002 GRAVES CT , NORTHGLENN , CO","CO",11,28,2005,-104.962905,39.900592
"ADAMS ","9440 CEDAR ST , THORNTON , CO","CO",4,14,2004,-104.968475,39.867882
"ADAMS ","475 RUSSELL BLVD 14B , THORNTON , CO","CO",4,24,2004,-104.9817112,39.8623128
"ADAMS ","10350 TUMBLEWEED E DR , THORNTON , CO","CO",10,29,2004,-104.930482,39.883485
"ADAMS ","5363 130TH E WAY , THORNTON , CO","CO",2,11,2005,-104.926342,39.934111
"ADAMS ","2100 100TH W AVE 116 , THORNTON , CO","CO",8,23,2005,-105.0109425,39.8770055
"ADAMS ","10696 HARRISON STREET , THORNTON , CO","CO",5,11,2006,-104.940643,39.890519
"ADAMS ","13467 NORTH DEXTER WAY , THORNTON , CO","CO",7,19,2006,-104.93206,39.939745
"ADAMS ","8901 HURON STREET A106 , THORNTON , CO","CO",5,8,2007,-104.997846,39.8574
"ADAMS ","3637 E 94TH AVENUE , THORNTON , CO","CO",3,17,2015,-104.943443,39.866745
"ADAMS ","12085 DELAWARE N ST 328 , WESTMINSTER , CO","CO",1,30,2004,-104.9931198,39.9152348
"ADAMS ","1585 115TH W AVE E-102 , WESTMINSTER , CO","CO",6,4,2004,-105.0048821,39.9052923
