"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ALACHUA ","2701 13 SW ST E-26 , GAINESVILLE , FL","FL",11,6,2004,-82.3381969,29.62615
"ALACHUA ","1900 SOUTHEAST 4TH STREET  , GAINESVILLE , FL","FL",8,31,2012,-82.3161057,29.6333695
"ALACHUA ","3504 SOUTHWEST 30TH TERRACE 29A , GAINESVILLE , FL","FL",12,7,2012,-82.3675753,29.6179636
"ALACHUA ","103  SANTA ROSA  , SANTA ROSA BEACH , FL","FL",12,10,2014,-75.373473,10.4417548
"BAY ","610 MARY ELLA N AVE , CALLAWAY , FL","FL",3,20,2004,-85.571648,30.158793
"BAY ","1420 BERTHE S AVE , CALLAWAY , FL","FL",6,1,2004,-85.575192,30.120971
"BAY ","1430 SOUTH GAY AVENUE , CALLAWAY , FL","FL",11,14,2007,-85.587605,30.120243
"BAY ","1420 SOUTH BERTHE AVENUE , CALLAWAY , FL","FL",4,8,2008,-85.575192,30.120971
"BAY ","6607 LANCE STREET , CALLAWAY , FL","FL",9,10,2008,-85.577061,30.133705
"BAY ","20622 BRANDON RD , FOUNTAIN , FL","FL",2,23,2004,-85.439027,30.522679
"BAY ","121441 TWO TRAIL RD , FOUNTAIN , FL","FL",2,8,2005,-85.4183235,30.5315725
"BAY ","13340 HWY 20 E , FOUNTAIN , FL","FL",5,16,2005,-85.3894272,30.435169
"BAY ","12324 GREENBRIAR DRIVE , FOUNTAIN , FL","FL",10,31,2007,-85.417197,30.513897
"BAY ","401 8TH E ST , LYNN HAVEN , FL","FL",3,25,2004,-85.644964,30.246295
"BAY ","410 ILLINOIS AVE , LYNN HAVEN , FL","FL",7,30,2004,-85.643199,30.250807
"BAY ","4515 CARLA LN , LYNN HAVEN , FL","FL",9,30,2004,-85.621136,30.229671
"BAY ","1108 19TH W CT , LYNN HAVEN , FL","FL",4,27,2005,-85.659941,30.2288904
"BAY ","3142 MEADOW STREET , LYNN HAVEN , FL","FL",1,30,2008,-85.637899,30.212135
"BAY ","1201 INDIANA AVENUE , LYNN HAVEN , FL","FL",2,22,2008,-85.644945,30.240391
"BAY ","3511 16TH W , PANAMA CITY , FL","FL",1,13,2004,-85.7072824,30.1772497
"BAY ","3515 16TH W ST 10 , PANAMA CITY , FL","FL",1,13,2004,-85.7068684,30.1773707
"BAY ","2631 HEADLAND AVE , PANAMA CITY , FL","FL",1,14,2004,-85.6259507,30.1968071
"BAY ","2913 LISENBY CT B , PANAMA CITY , FL","FL",2,4,2004,-85.6838383,30.2012551
"BAY ","108 CASA PL 24 , PANAMA CITY , FL","FL",3,3,2004,-85.9267522,30.2417417
"BAY ","8011 CLUSTER RD , PANAMA CITY , FL","FL",3,21,2004,-85.5123671,30.2540064
"BAY ","5100 BERTHA NELSON RD , PANAMA CITY , FL","FL",4,24,2004,-85.571984,30.240922
"BAY ","416 ALPINE WAY , PANAMA CITY , FL","FL",5,7,2004,-85.496928,30.184928
"BAY ","8001 CLUSTER RD , PANAMA CITY , FL","FL",8,10,2004,-85.51299,30.254753
"BAY ","630 BRIGHT N AVE , PANAMA CITY , FL","FL",8,30,2004,-85.5638857,30.1565757
"BAY ","107 GAY S AVE , PANAMA CITY , FL","FL",10,20,2004,-85.586658,30.144501
"BAY ","914 HIGHWAY 22A N HWY , PANAMA CITY , FL","FL",12,28,2004,-85.5995151,30.145398
"BAY ","6011 JAYCEE DR , PANAMA CITY , FL","FL",1,20,2005,-85.5530739,30.3135537
"BAY ","1105 19TH W CT , PANAMA CITY , FL","FL",2,13,2005,-85.6602251,30.2289308
"BAY ","523 7TH E PL , PANAMA CITY , FL","FL",4,15,2005,-85.653036,30.161114
"BAY ","4513 PIPELINE RD 11 , PANAMA CITY , FL","FL",7,6,2005,-85.59134,30.231032
"BAY ","5744 PITTSBURGH STREET , PANAMA CITY , FL","FL",1,2,2007,-85.573987,30.1592673
"BAY ","4114 GRADY STREET , PANAMA CITY , FL","FL",1,29,2007,-85.5940647,30.2288672
"BAY ","11720 MAGNOLIA STREET , PANAMA CITY , FL","FL",1,30,2007,-85.7529911,30.1526461
"BAY ","320 NEWMAN POINT ROAD , PANAMA CITY , FL","FL",6,15,2007,-85.6695954,30.2815061
"BAY ","1122 OAK AVENUE , PANAMA CITY , FL","FL",8,15,2007,-85.663358,30.168711
"BAY ","7421 GILBERT ROAD , PANAMA CITY , FL","FL",8,30,2007,-85.524366,30.280313
"BAY ","811 FORESTDALE AVENUE , PANAMA CITY , FL","FL",2,1,2008,-85.61957,30.163195
"BAY ","9700  CHEROKEE, PANAMA CITY , FL","FL",4,22,2009,-85.5673593,30.2380651
"BAY ","2952 EAST BUSINESS HWY 98  1 , PANAMA CITY , FL","FL",4,5,2013,-85.6602058,30.1588129
"BAY ","20111 ALTA VISTA DR , PANAMA CITY BEACH , FL","FL",1,8,2004,-85.932526,30.248029
"BAY ","5801 THOMAS DR 919 , PANAMA CITY BEACH , FL","FL",1,13,2004,-85.7608304,30.146376
"BAY ","128 (B) LAKE PL 3 , PANAMA CITY BEACH , FL","FL",2,10,2004,-85.928646,30.242795
"BAY ","7000 SUNSET AVE , PANAMA CITY BEACH , FL","FL",2,16,2004,-85.771264,30.15817
"BAY ","106 LAKEVIEW CIR 106 , PANAMA CITY BEACH , FL","FL",2,19,2004,-85.8798192,30.2191458
"BAY ","1616 ALLISON AVE 4 , PANAMA CITY BEACH , FL","FL",5,17,2004,-85.7873751,30.1863531
"BAY ","3111 PRESERVE ROOKERY BLVD , PANAMA CITY BEACH , FL","FL",6,3,2004,-85.719307,30.152495
"BAY ","8424 (b) GULF PINES DR , PANAMA CITY BEACH , FL","FL",6,7,2004,-85.779227,30.174063
"BAY ","8426 (a) GULF PINES DR , PANAMA CITY BEACH , FL","FL",6,7,2004,-85.7789732,30.1737532
"BAY ","702 WESTWOOD BEACH CIR , PANAMA CITY BEACH , FL","FL",9,2,2004,-85.961709,30.263584
