"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"APPLING ","8549 NORTH HATCH PARKWAY  , BAXLEY  , GA","GA",10,1,2007,-82.3562208,31.8965789
"BALDWIN ","141  HIGHVIEW ROAD   , MILLEDGEVILLE  , GA","GA",8,23,2010,-83.184087,33.049088
"BARROW ","1618 SUMMIT RIDGE  , AUBURN  , GA","GA",7,2,2006,-83.8510529,33.993176
"BARROW ","1015 SMITH CHAPEL ROAD  , MONROE  , GA","GA",5,10,2008,-83.65485,33.910285
"BARTOW ","4572 ROBERTS DR  , ACWORTH  , GA","GA",5,19,2004,-84.6837511,34.1239367
"BARTOW ","1401 140 HWY  , ADAIRSVILLE  , GA","GA",1,23,2004,-84.8803726,34.3863427
"BARTOW ","192 WOODLAND WAY  , CARTERSVILLE  , GA","GA",1,29,2004,-84.895686,34.264541
"BARTOW ","81 OLD TENNESSEE RD  , CARTERSVILLE  , GA","GA",2,18,2004,-84.79446,34.212247
"BARTOW ","41 AKINS ST  , CARTERSVILLE  , GA","GA",2,29,2004,-84.861749,34.2348096
"BARTOW ","1210 TENNESSEE N ST LOT 4A  , CARTERSVILLE  , GA","GA",5,24,2004,-84.7989809,34.1976087
"BARTOW ","21 AKIN LN  , CARTERSVILLE  , GA","GA",6,18,2004,-84.8752148,34.247818
"BARTOW ","1925 CASSVILLE RD 25  , CARTERSVILLE  , GA","GA",12,22,2004,-84.856278,34.253985
"BARTOW ","33 CRUMP RD  , CARTERSVILLE  , GA","GA",2,16,2005,-84.8336013,34.2076669
"BARTOW ","34 FIRETOWER RD  , CARTERSVILLE  , GA","GA",4,6,2005,-84.8539428,34.2448121
"BARTOW ","390 OLD MILL RD 204  , CARTERSVILLE  , GA","GA",8,29,2005,-84.8191925,34.1491543
"BARTOW ","426 SHINALL-GAINES RD  , CARTERSVILLE  , GA","GA",2,13,2006,-84.827747,34.248366
"BARTOW ","229 EVERGREEN TRAIL  , CARTERSVILLE  , GA","GA",3,27,2006,-84.813036,34.220581
"BARTOW ","229 EVERGREEN TRAIL  , CARTERSVILLE  , GA","GA",3,27,2006,-84.813036,34.220581
"BARTOW ","925 CASSVILLE RD 14  , CASSVILLE  , GA","GA",3,18,2004,-84.8373902,34.2130772
"BARTOW ","267 HARDIN BRIDGE RD 4  , KINGSTON  , GA","GA",5,11,2004,-84.932561,34.212769
"BARTOW ","11 INDIAN HILLS DR  , RYDAL  , GA","GA",6,3,2004,-84.725399,34.311844
"BARTOW ","2394 EUHARLEE RD  , TAYLORSVILLE  , GA","GA",4,23,2004,-85.03271,34.182977
"BARTOW ","145 SEWELL RD  , TAYLORSVILLE  , GA","GA",1,3,2005,-85.0205736,34.0951574
"BARTOW ","75 DAVIS DR  , TAYLORSVILLE  , GA","GA",6,2,2005,-84.994618,34.087226
"BEN HILL ","277 LOBINGIER AVE  , FITZGERALD  , GA","GA",4,29,2004,-83.2565041,31.7270261
"BERRIEN ","212 BAY ST  , NASHVILLE  , GA","GA",10,5,2004,-83.2519468,31.2006887
"BERRIEN ","703  COLLEGE ST STREET   , NASHVILLE  , GA","GA",8,13,2013,-83.254363,31.2000757
