"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ADAIR ","604 3RD ST , FONTANELLE , IA","IA","7","14","2004",-94.5638043,41.2925351
"ADAIR ","403 6TH SE ST , STUART , IA","IA","7","27","2004",-94.3140815,41.4983467
"ADAMS ","1092 ADAMS STREET , CUMBERLAND , IA","IA","3","11","2008",-94.8681285,41.2810491
"ALLAMAKEE ","311 POLE LINE RD , POSTVILLE , IA","IA","7","15","2004",-91.5880988,43.1090268
"ALLAMAKEE ","922 4TH NW ST 12 , WAUKON , IA","IA","4","15","2004",-91.4801137,43.2795519
"ALLAMAKEE ","1056 ELON DR , WAUKON , IA","IA","4","29","2005",-91.4198204,43.2724872
"AUDUBON ","515 WASHINGTON E ST , EXIRA , IA","IA","1","14","2004",-94.8712125,41.5911168
"BENTON ","1236 D AVE , BELLE PLAINE , IA","IA","1","26","2004",-92.2399852,41.8283835
"BENTON ","1040 L AVE , BLAIRSTOWN , IA","IA","6","18","2005",-92.0899052,41.8562908
"BENTON ","206  LOCUST, BLAIRSTOWN , IA","IA","8","14","2010",-92.0843907,41.9080898
"BENTON ","6909 28TH AVENUE , NEWHALL , IA","IA","6","9","2007",-91.953924,42.019608
"BENTON ","107 HOMER STREET 1 , SHELLSBURG , IA","IA","1","25","2008",-91.863721,42.092897
"BENTON ","5224 26TH AVE , VINTON , IA","IA","12","12","2005",-91.981919,42.266689
"BENTON ","5748 22ND AVE DRIVE , VINTON , IA","IA","5","22","2007",-92.0613351,42.1887976
"BENTON ","512 W 14TH STREET , VINTON , IA","IA","12","7","2015",-92.029878,42.158195
"BENTON ","425 1ST STREET , WALFORD , IA","IA","4","3","2008",-91.8315525,41.8741831
"BLACK HAWK ","1813 8TH W ST , CEDAR FALLS , IA","IA","7","10","2004",-92.4664355,42.5314721
"BLACK HAWK ","2306 FOURTH W ST 2 , CEDAR FALLS , IA","IA","9","20","2005",-92.473095,42.534611
"BLACK HAWK ","1315 WEST FOURTH STREET , CEDAR FALLS , IA","IA","7","27","2007",-92.461474,42.535291
"BLACK HAWK ","321 WASHINGTON S ST 3 , HUDSON , IA","IA","2","25","2004",-92.455262,42.398807
"BLACK HAWK ","11311 HICKS ROAD , HUDSON , IA","IA","8","19","2007",-92.5147673,42.359523
"BLACK HAWK ","9933 COTTER ROAD , LA PORTE CITY , IA","IA","10","1","2008",-92.257135,42.371723
"BLACK HAWK ","9903 COTTER ROADS , LA PORTE CITY , IA","IA","10","10","2008",-92.1921275,42.3149911
"BLACK HAWK ","6418 LAFAYETTE STREET , RAYMOND , IA","IA","4","29","2006",-92.22871,42.468416
"BLACK HAWK ","10208 NEWELL ST , WATERLOO , IA","IA","1","23","2004",-92.136713,42.5115
"BLACK HAWK ","406 LINDALE AVE , WATERLOO , IA","IA","3","4","2004",-92.3629186,42.5127115
"BLACK HAWK ","204 4TH W ST 808 , WATERLOO , IA","IA","4","16","2004",-92.3399994,42.4952119
"BLACK HAWK ","1945 LA PORTE RD 200 , WATERLOO , IA","IA","4","23","2004",-92.3194849,42.4670897
"BLACK HAWK ","1119 KERN ST , WATERLOO , IA","IA","6","20","2004",-92.360786,42.514734
"BLACK HAWK ","514 FLETCHER , WATERLOO , IA","IA","7","31","2004",-92.36741,42.486127
