"COUNTY","FullAddress","Month","Date","Year","lon","lat"
"ADAMS ","2718 250TH N AVE , BEVERLY , IL","6","22","2005",-90.990672,39.793777
"ADAMS ","200 NORTH ADAMS STREET , CLAYTON , IL","1","8","2006",-90.961844,40.032374
"ADAMS ","1997 NORTH 1650TH, COLUMBUS , IL","5","24","2009",-90.837904,40.524376
"ADAMS ","2647 3000TH E ST , LA PRAIRIE , IL","2","9","2005",-90.93165,40.140887
"ADAMS ","7432347 EAST 2200, LIBERTY , IL","6","3","2009",-91.087773,39.932204
"ADAMS ","844 3000TH AVENUE N , MENDON , IL","2","15","2006",-91.316775,40.195471
"ADAMS ","2534 CHERRY , QUINCY , IL","1","23","2004",-91.375539,39.943998
"ADAMS ","626 MAINE ST A , QUINCY , IL","2","11","2004",-91.40635,39.931838
"ADAMS ","1114 7TH N , QUINCY , IL","2","19","2004",-91.404692,39.944546
"ADAMS ","115 RIVERVIEW ST , QUINCY , IL","2","22","2004",-91.414589,39.951661
"ADAMS ","1036 NORTH 10TH , QUINCY , IL","7","21","2004",-91.400025,39.943494
"ADAMS ","827 VAN BUREN , QUINCY , IL","9","17","2004",-91.402908,39.914782
"ADAMS ","705 REAR 7TH ST , QUINCY , IL","10","19","2004",-91.404813,39.939439
"ADAMS ","2000 BLICKS VILLAGE , QUINCY , IL","12","7","2004",-91.418415,39.907213
"ADAMS ","1511 6TH S ST , QUINCY , IL","3","9","2005",-91.40747,39.913458
"ADAMS ","1213 8TH ST , QUINCY , IL","3","19","2005",-91.403473,39.945768
"ADAMS ","1709 MONROE ST , QUINCY , IL","5","17","2005",-91.388521,39.918422
"ADAMS ","1217 12TH ST , QUINCY , IL","9","2","2005",-91.395152,39.989332
"ADAMS ","1116 RIM ROAD LOT #4 , QUINCY , IL","1","6","2006",1.5,44.5
"ADAMS ","1217 SOUTH 12TH STREET , QUINCY , IL","1","10","2006",-91.396335,39.916965
