"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ADAMS ","505  DEBRAH LANE 118 , BERNE , IN","IN",1,8,2013,-84.957183,40.653964
"ADAMS ","164  INTERLAKEN DRIVE  , BERNE , IN","IN",2,14,2013,-84.93948,40.656918
"ADAMS ","505 EAST WATER STREET  , BERNE , IN","IN",5,6,2013,-84.945056,40.658968
"ADAMS ","228 PIEDMONT LANE , DECATUR , IN","IN",6,23,2007,-84.905072,40.830619
"ADAMS ","916  N 11TH STREET  , DECATUR , IN","IN",5,27,2013,-84.935486,40.838461
"ADAMS ","127  BELLMONT BOULEVARD  , DECATUR , IN","IN",7,26,2013,-84.904597,40.832093
"ADAMS ","110 EAST RINGOLD  10 , GENEVA , IN","IN",5,4,2013,-84.96068,40.585509
"ALLEN ","3730 WASHINGTON E BLVD , FORT WAYNE , IN","IN",6,2,2004,-85.091851,41.073539
"ALLEN ","2623 GATE N DR , FORT WAYNE , IN","IN",3,14,2005,-85.030692,41.116869
"ALLEN ","5330 GOSHEN RD LOT 111 , FORT WAYNE , IN","IN",10,5,2005,-85.211071,41.143216
"ALLEN ","5610 NEW HAVEN AVENUE , FORT WAYNE , IN","IN",12,28,2005,-85.06658,41.069149
"ALLEN ","7819 PRESTON POINTE DRIVE , FORT WAYNE , IN","IN",2,16,2008,-85.244626,41.070136
"ALLEN ","120 WEST PAULDING ROAD , FORT WAYNE , IN","IN",4,4,2008,-85.136802,41.031663
"ALLEN ","3414 NORTH CLINTON STREET , FORT WAYNE , IN","IN",7,17,2008,-85.137457,41.10819
"ALLEN ","5421  FAIRFIELD AVENUE  , FORT WAYNE , IN","IN",11,30,2012,-85.143973,41.034285
"ALLEN ","912 EAST JEFFERSON BOULEVARD 3 , FORT WAYNE , IN","IN",2,7,2013,-85.125948,41.077755
"ALLEN ","1436  OAKLAND STREET  , FORT WAYNE , IN","IN",2,23,2013,-85.154503,41.087129
"ALLEN ","4600  WOODWAY DRIVE  , FORT WAYNE , IN","IN",3,1,2013,-85.074379,41.121907
"ALLEN ","1615  HIGH STREET  , FORT WAYNE , IN","IN",3,19,2013,-85.162051,41.084894
