"COUNTY","FullAddress","Month","Date","Year","lon","lat"
"ALLEN ","803 SYCAMORE , HUMBOLDT , KS","2","20","2004",-95.43675,37.806561
"ALLEN ","602 MADISON E , IOLA , KS","5","14","2004",-95.396356,37.921374
"ALLEN ","1258 1000 , IOLA , KS","5","15","2007",-95.391057,37.885757
"ANDERSON ","20070 SOUTHEAST TEXAS ROAD  , KINCAID , KS","4","15","2009",-95.148677,38.184667
"ATCHISON ","2438  OSBORNE ROAD  , CUMMINGS , KS","4","30","2009",-95.182285,39.460362
"ATCHISON ","6148 JOHNSON RD , LANCASTER , KS","9","7","2004",-95.29117,39.52899
"BARBER ","609 DRUMM , KIOWA , KS","1","3","2004",-98.48623,37.014935
"BARBER ","208 1ST E ST , MEDICINE LODGE , KS","9","16","2005",-98.584108,37.286685
"BARTON ","521 3RD ST , CLAFLIN , KS","4","7","2004",-98.536331,38.52681
"BARTON ","1416 50 SE RD , ELLINWOOD , KS","7","12","2004",-99.058133,38.246936
"BARTON ","5803 ASPEN DRIVE , GREAT BEND , KS","9","26","2004",-98.812343,38.36933
"BARTON ","705 10 E ST 15 , GREAT BEND , KS","11","5","2004",-98.774349,38.33851
"BARTON ","227 FRUIT ST , GREAT BEND , KS","1","19","2005",-98.757119,38.35493
"BARTON ","2812 GANO , GREAT BEND , KS","1","29","2005",-98.769857,38.379159
"BARTON ","3623 2ND ST , GREAT BEND , KS","2","25","2005",-98.78867,38.354509
"BARTON ","2529 9TH ST , GREAT BEND , KS","4","1","2005",-98.772383,38.360034
"BARTON ","1336 10 NW RD , GREAT BEND , KS","1","13","2006",-99.075181,38.188891
"BARTON ","1915 HUBBARD , GREAT BEND , KS","2","18","2006",-98.759791,38.370953
"BARTON ","1302 TRUMAN , GREAT BEND , KS","5","18","2006",-98.798663,38.364499
"BARTON ","94 SOUTHWEST 10 AVENUE , GREAT BEND , KS","1","17","2007",-98.792859,38.348642
"BARTON ","2303 8TH STREET , GREAT BEND , KS","12","8","2007",-98.769199,38.359018
"BARTON ","8801  6TH STREET  , GREAT BEND , KS","5","19","2010",-98.850743,38.346858
"BOURBON ","1420 OAK E , FORT SCOTT , KS","1","11","2004",-94.689095,37.842943
"BOURBON ","115 CALDWELL N , FORT SCOTT , KS","2","20","2004",-94.692876,37.843631
"BOURBON ","423 1/2 CRAWFORD S , FORT SCOTT , KS","4","22","2004",-94.70962,37.841888
"BOURBON ","212 CALDWELL N ST , FORT SCOTT , KS","5","7","2004",-94.693025,37.844103
"BOURBON ","1443 215TH ST , FORT SCOTT , KS","5","18","2004",-94.713526,37.868721
"BOURBON ","1705 OAK E , FORT SCOTT , KS","6","8","2004",-94.684978,37.842981
"BOURBON ","604 JUDSON S , FORT SCOTT , KS","6","10","2004",-94.708469,37.844865
"BOURBON ","716 WILSON S , FORT SCOTT , KS","6","15","2004",-94.700493,37.835667
"BOURBON ","1491 212 TER , FORT SCOTT , KS","6","24","2004",-94.739763,37.717562
"BOURBON ","203 SCOTT S , FORT SCOTT , KS","7","16","2004",-94.704918,37.839825
"BOURBON ","1415 MAIN S , FORT SCOTT , KS","7","17","2004",-94.620678,37.731173
"BOURBON ","736 SOUTH LITTLE STREET , FORT SCOTT , KS","8","1","2008",-94.695949,37.833949
"BOURBON ","1418  OAK , FORT SCOTT , KS","6","16","2012",-94.689095,37.842943
"BROWN ","404 1ST S ST , HIAWATHA , KS","1","23","2004",-95.527184,39.856104
"BUTLER ","701 HIGH S ST , EL DORADO , KS","2","28","2004",-96.862304,37.811923
"BUTLER ","13463 160 SW ST , ROSE HILL , KS","1","27","2005",-96.234755,37.817527
"CHASE ","101 EVANS STREET , MATFIELD GREEN , KS","1","30","2006",-96.564257,38.156641
"CHASE ","410 SOUTH COTTONWOOD , STRONG CITY , KS","5","10","2006",-96.538968,38.386457
