"COUNTY","FullAddress","Month","Date","Year","Longitude","Latitude"
"ADAIR ","9214  CORNFLOWER DRIVE , AARON , KY","6","8","2012",-85.1807909,36.8125652
"ADAIR ","1431  PATTY LANE LANE 8 , AARON , KY","7","24","2012",-85.1807909,36.8125652
"ADAIR ","2672 CHESTNUT GROVE RD , COLUMBIA , KY","7","25","2004",-85.4740714,36.996116
"ADAIR ","735  RUTLEDGE ROAD  , COLUMBIA , KY","7","14","2010",-85.3063504,37.102841
"ADAIR ","1819 WEST 2ND STREET 4 , OWENSBORO , KY","3","24","2014",-87.133252,37.774252
"ALLEN ","129 SOUTH OLDHINTON HILL ROAD  , ADOLPHUS , KY","8","25","2010",-86.2613779,36.6517098
"ALLEN ","3171  FLEET ROAD  , ADOLPHUS , KY","2","3","2012",-86.2954313,36.6490014
"ALLEN ","249  SPEARS , ADOLPHUS , KY","12","6","2015",-86.2150399,36.6458158
"ALLEN ","331 LAMBERT RD , SCOTTSVILLE , KY","4","8","2004",-86.2363858,36.7554242
"ALLEN ","111 BUSH ST , SCOTTSVILLE , KY","5","2","2004",-86.1914713,36.7473598
"ALLEN ","803 POPLAR E ST , SCOTTSVILLE , KY","5","3","2004",-86.181724,36.7553989
"ALLEN ","75 EASY ST , SCOTTSVILLE , KY","7","11","2004",-86.0804918,36.8413964
"ALLEN ","100 FRANKLIN W RD 71478 , SCOTTSVILLE , KY","3","22","2005",-86.2136199,36.7376801
"ALLEN ","585 OLD FRANKLIN W RD 8479 , SCOTTSVILLE , KY","4","9","2005",-86.2697636,36.7422561
"ALLEN ","234 SUGAR TREE N LN , SCOTTSVILLE , KY","5","11","2005",-86.2084672,36.8757409
"ALLEN ","1101 NORTHEAST MAYSVILLE , SCOTTSVILLE , KY","10","23","2006",-86.1663802,36.7438132
"ALLEN ","74 MARCUM LANE , SCOTTSVILLE , KY","8","15","2007",-86.1970663,36.7344903
"ALLEN ","98 EAST BROWNSFORD ROAD 9338 , SCOTTSVILLE , KY","11","17","2008",-86.1772356,36.7534526
"ALLEN ","  S CARTERTOWN ROAD  , SCOTTSVILLE , KY","6","14","2010",-86.223411,36.7288349
"ALLEN ","  E PITCHFORD & KY 671, SCOTTSVILLE , KY","6","21","2010",-2.695723,52.629938
"ALLEN ","5482  MAYSVILLE ROAD  , SCOTTSVILLE , KY","7","6","2010",-86.087335,36.7465146
"ALLEN "," NORTH OLD GLASGOW ROAD 1414 , SCOTTSVILLE , KY","7","13","2010",-86.1745588,36.7618241
"ALLEN ","100 EAST HOLLAND ROAD 854 , SCOTTSVILLE , KY","8","16","2010",-86.1816633,36.7473741
"ALLEN ","98 EAST BROWNSFORD ROAD 9823 , SCOTTSVILLE , KY","8","27","2010",-86.1772356,36.7534526
"ALLEN ","525  DRY RIDGE ROAD  , SCOTTSVILLE , KY","2","2","2011",-86.2778743,36.7898777
"ALLEN ","525  DRY RIDGE ROAD  , SCOTTSVILLE , KY","2","2","2011",-86.2778743,36.7898777
"ALLEN ","123  MATT DRIVE, SCOTTSVILLE , KY","7","31","2012",-86.1975588,36.7320902
"ALLEN ","508  N. 4TH STREET  , SCOTTSVILLE , KY","12","15","2012",-86.1855394,36.7568899
"ALLEN ","298  WALKER ROAD  , SCOTTSVILLE , KY","1","5","2013",-86.1897737,36.7465688
"ALLEN ","545  HALFWAY HALIFAX ROAD, SCOTTSVILLE , KY","3","19","2013",-86.2897818,36.8015515
"ALLEN ","519 EAST POPLAR STREET  , SCOTTSVILLE , KY","4","11","2013",-86.1843832,36.7556334
"ALLEN ","168  BAILEY SCHOOL ROAD, SCOTTSVILLE , KY","5","4","2013",-86.2626102,36.8444892
"ALLEN ","26  CALVERT STREET  , SCOTTSVILLE , KY","5","15","2013",-86.1767305,36.7575034
"ALLEN ","110  MONCRIEF STREET BOX 17 , SCOTTSVILLE , KY","2","4","2015",-86.1905424,36.7533781
"ANDERSON ","3115 EAST FAWN LEAP DRIVE  , LAWRENCEBURG , KY","8","29","2010",-84.8836099,38.0449487
"ANDERSON ","1114  VERSAILLES ROAD  35 , LAWRENCEBURG , KY","9","13","2012",-84.8852463,38.0409436
"BARREN ","2646 GRIDERVILLE RD , CAVE CITY , KY","11","30","2004",-85.9176033,37.1199889
"BARREN ","73 HISEVILLE RD , CAVE CITY , KY","6","22","2005",-85.8690066,37.1127917
"BARREN ","1937 JACK SMITH RD , CAVE CITY , KY","2","28","2006",-85.8611372,37.0785225
"BARREN ","549  CAP REDORD ROAD  , CAVE CITY , KY","1","8","2010",-85.8898982,37.0943968
"BARREN ","441  LEE FENDEL ROAD  , CAVE CITY , KY","5","3","2011",-85.9705458,37.0741568
"BARREN ","301  OWENS STREET , CAVE CITY , KY","12","2","2011",-85.9552896,37.1383155
"BARREN ","301  OWENS STREET , CAVE CITY , KY","2","14","2012",-85.9552896,37.1383155
"BARREN ","213  SCHOOL HOUSE LANE  , CAVE CITY , KY","6","7","2013",-85.9596366,37.1343025
"BARREN ","109  WHITE STREET  , CAVE CITY , KY","12","4","2013",-85.9589788,37.1407133
"BARREN ","2055 SOUTH TOOHEY RIDGE ROAD  , CAVE CITY , KY","12","21","2013",-86.010024,37.1552728
"BARREN ","200  GREEN ACRES DRIVE  BOX 14 , CAVE CITY , KY","10","2","2014",-85.9569195,37.1367171
"BARREN ","646  OLD KY 821 CUTOFF ROAD , CAVE CITY , KY","11","10","2015",-85.8040138,37.1191907
"BARREN ","871 POPULAR SCHOOL E RD , GLASGOW , KY","6","5","2004",-85.9119215,36.9958839
"BARREN ","1943 B FRANKS MILL RD , GLASGOW , KY","1","25","2005",-85.8878274,37.0212513
"BARREN ","416 GREEN N ST , GLASGOW , KY","8","2","2005",-85.9096337,36.9992213
"BARREN ","2061 WELLS RD , GLASGOW , KY","10","17","2005",-85.8929402,36.9038559
"BARREN ","233 TEMPLE HILL ROAD , GLASGOW , KY","2","16","2008",-85.8407959,36.8841674
"BARREN ","2096  BECKTON ROAD  , GLASGOW , KY","4","20","2009",-86.0367265,36.9893015
"BARREN ","2880  CORAL HILL HALFWAY ROAD  , GLASGOW , KY","4","24","2009",-85.8066327,37.0716431
"BARREN ","142  CROW ROAD  , GLASGOW , KY","4","7","2010",-86.0353789,36.89869
"BARREN ","635  OAK HILL SCHOOL ROAD  , GLASGOW , KY","4","26","2010",-86.0346397,37.0259856
"BARREN ","144 SOUTH SOUTH GASSAWAY ROAD  , GLASGOW , KY","5","11","2010",-85.9956512,37.0065768
"BARREN ","730  HOLLOW ROAD  , GLASGOW , KY","8","24","2010",-85.8771722,36.9771019
"BARREN ","700 SOUTH GREEN STREET 2 , GLASGOW , KY","8","27","2010",-85.9163312,36.99018
"BARREN ","4103  BURKSVILLE ROAD  , GLASGOW , KY","1","9","2011",-85.8609461,36.9562107
"BARREN ","2660  BURKESVILLE ROAD  , GLASGOW , KY","3","1","2011",-85.881811,36.9678497
"BARREN ","508  SUN VALLEY DRIVE  , GLASGOW , KY","7","1","2011",-85.8942684,36.9989695
"BARREN ","88  GIRL SCOUT ROAD  , GLASGOW , KY","9","1","2011",-86.0941133,36.9195278
"BARREN ","161  PARK CITY-BON AYR ROAD  , GLASGOW , KY","6","7","2012",-86.0643608,37.0025312
"BARREN ","1376  POYNTER ROAD  , GLASGOW , KY","10","2","2012",-85.9253189,37.0524447
"BARREN ","1980  WILLIE GROCE ROAD  , GLASGOW , KY","2","2","2013",-85.9116747,36.9538023
"BARREN ","1275  OLD EDMONTON LOOP 1 ROAD  , GLASGOW , KY","5","23","2013",-85.8549459,37.010994
"BARREN ","747  PRITCHARDSVILLE ROAD  , GLASGOW , KY","1","31","2014",-85.9386309,36.965835
"BARREN ","2179  A.L. SHIRLEY ROADS  , GLASGOW , KY","3","28","2014",-85.7277791,37.0045896
"BARREN ","1379  WHITES CHAPEL ROAD , GLASGOW , KY","1","28","2015",-85.8451033,36.9297063
"BARREN ","111 3RD E ST , PARK CITY , KY","9","22","2004",-86.0440733,37.0957762
"BARREN ","465 MILLSTOWN ROAD , PARK CITY , KY","12","26","2007",-86.0956567,37.0300689
"BARREN ","285  JUNIOR DRIVE  , PARK CITY , KY","4","21","2009",-86.046367,37.0939375
"BARREN ","216  MAYHEW ROAD  , PARK CITY , KY","9","13","2011",-86.046367,37.0939375
"BARREN ","9263  OLD BOWLING GREEN ROAD , PARK CITY , KY","12","31","2011",-86.0668579,36.9821255
"BARREN ","5930  MAMMOTH CAVE ROAD , PARK CITY , KY","2","14","2012",-86.0629317,37.1164164
"BARREN ","24617  LOUISVILLE ROAD  , PARK CITY , KY","7","22","2013",-86.0435661,37.0948015
"BARREN ","1720  BON AYR ROAD  , PARK CITY , KY","3","8","2014",-86.0656797,37.0062822
"BARREN ","1373  LAWRENCE ROAD  , SMITHS GROVE , KY","4","28","2009",-86.1411728,36.9608976
"BARREN ","1415  LAWRENCE ROAD  , SMITHS GROVE , KY","1","13","2010",-86.1409877,36.9604425
"BARREN ","6100  DRIPPING SPRINGS RD., SMITHS GROVE , KY","3","5","2014",-86.0485153,37.0471919
"BATH ","1485 HART PIKE ROAD , OWINGSVILLE , KY","1","10","2008",-83.705381,38.1086798
"BATH ","5852 EAST US 60 , OWINGSVILLE , KY","3","29","2008",-83.6872532,38.1350735
"BATH ","1252 EAST US 60, OWINGSVILLE , KY","2","3","2012",-83.6950631,38.1325822
"BATH ","261  TUPELO DRIVES  , OWINGSVILLE , KY","1","18","2013",-83.7640847,38.1448015
"BATH ","1031 BUSH LANE , SALT LICK , KY","10","3","2007",-83.6146346,38.1200809
"BELL ","301 12TH N ST 24 , MIDDLESBORO , KY","6","4","2004",-83.7030474,36.6125483
"BELL ","209 FAIRVIEW ROAD , MIDDLESBORO , KY","10","27","2006",-83.7296941,36.5951972
"BOONE ","1608 EAST ASHLEY COURT  BOX 204 , BERRY , KY","7","18","2014",-84.3843829,38.5206283
"BOONE ","4616  EUREKA STREET  , BURLINGTON , KY","3","14","2014",-84.7241133,39.02756
"BOONE ","200  MEIJER, FLORENCE , KY","5","13","2009",-84.6353063,39.0128809
"BOONE ","1782  PROMONTORY, FLORENCE , KY","6","11","2010",-84.69238,39.001895
"BOONE ","177  UPPER COURT  , RICHWOOD , KY","11","5","2013",-84.6282675,38.931489
"BOONE ","4249 HATHAWAY RD , UNION , KY","12","29","2005",-84.774299,38.933903
"BOONE ","207 OLD WALT-NICHOLSON RD , WALTON , KY","6","14","2005",-84.5766732,38.894694
"BOONE ","58  HIGH ROAD  , WALTON , KY","5","6","2009",-84.607191,38.86501
"BOONE ","13 WEST KUCHLE DRIVE 13 , WALTON , KY","9","18","2013",-84.6175009,38.8618488
"BOONE ","397  REBECCA COURT , WALTON , KY","12","10","2015",-84.60549,38.865085
"BOTTINEAU ","504  WILLOW DRIVE , GLASGOW , KY","9","11","2015",-85.9216422,36.9937067
"BOYD ","2914 EAST OHIO STREET  , ASHLAND , KY","5","17","2013",-82.6823323,38.4721373
"BOYD ","1637  BOOTH QUILLEN ROAD  , ASHLAND , KY","6","19","2013",-82.7027313,38.4131241
"BOYD ","15629  STATE ROUTE 854 STREET  , ASHLAND , KY","9","21","2013",-82.6379387,38.4784144
"BOYD ","406  28TH STREET , CATLETTSBURG , KY","11","13","2015",-82.5984931,38.4158687
"BOYD ","1335 HOODS PIKE , WESTWOOD , KY","11","5","2004",-82.6695182,38.4889175
"BOYLE ","445 CHESTNUT STREET , DANVILLE , KY","11","5","2006",-84.7647358,37.653628
"BOYLE ","1007  QUEEN STREET , DANVILLE , KY","10","5","2014",-84.7848373,37.6508482
"BOYLE ","123  BEECH STREET , DANVILLE , KY","11","4","2015",-84.7925996,37.6461307
"BREATHITT ","290 BUCKHORN RD , JACKSON , KY","7","23","2004",-83.5327196,37.4045303
