"COUNTY","FullAddress","Month","Day","Year","Longitude","Latitude"
"ACADIA ","114 ST JOSEPH N ST , MORSE , LA","11","2","2004",-92.5010244,30.125092
"ASCENSION ","1216 SOUTH BURNSIDE AVENUE , GONZALES , LA","1","25","2007",-90.920095,30.223476
"BEAUREGARD ","1111 LONGVILLE ROAD , LONGVILLE , LA","1","26","2004",-93.2139406,30.6066585
"BEAUREGARD ","195  SANDY ASHWORTH ROAD  , SINGER , LA","7","13","2010",-93.4632702,30.6318465
"BIENVILLE ","2418  JAMES STREET  , ARCADIA , LA","7","31","2011",-92.9200098,32.5474205
"BIENVILLE ","264 CHEROKEE HILLS ROAD , RINGGOLD , LA","1","24","2007",-93.3604426,32.4047584
"BOSSIER ","620 WHITTINGTON ST 1/2 , BOSSIER CITY , LA","6","2","2005",-93.7103496,32.5061723
"BOSSIER ","570 HWY 164 AVE , HAUGHTON , LA","10","22","2004",-93.482161,32.549801
"BOSSIER ","560 MILLERS BLUFF RD , PLAIN DEALING , LA","6","9","2004",-93.7943766,32.906336
"CADDO ","119 ATTAWAY ST , BLANCHARD , LA","2","23","2005",-93.890921,32.583837
"CADDO ","3687 BLEDSOE ROAD , KEITHVILLE , LA","10","31","2007",-93.838354,32.352034
"CADDO ","10423 LOUISIANA HIGHWAY 168 , RODESSA , LA","1","23","2005",-94.012752,32.972512
"CADDO ","2816 MERIWEATHER RD , SHREVEPORT , LA","4","21","2004",-93.80409,32.423304
"CADDO ","3329 NEW MOON , SHREVEPORT , LA","2","21","2005",-93.8220961,32.3818661
"CADDO ","7913 WOODFIELD STREET , SHREVEPORT , LA","9","3","2006",-93.771331,32.432093
"CADDO ","7656  DIXIE BLANCKARD HIGHWAY , SHREVEPORT , LA","4","24","2009",-93.7501789,32.5251516
"CADDO ","9195  BLANCHARD FURRH ROAD  , SHREVEPORT , LA","4","15","2010",-93.9732673,32.5592467
"CADDO ","9428  KINGSTON ROAD  , SHREVEPORT , LA","12","9","2010",-93.781367,32.393044
"CADDO ","7818  WOODFIELD DRIVE  , SHREVEPORT , LA","2","11","2011",-93.771977,32.432771
"CADDO ","7818  WOODFIELD DRIVE  , SHREVEPORT , LA","2","11","2011",-93.771977,32.432771
"CADDO ","1101 SPRUCE N ST , VIVIAN , LA","7","1","2005",-93.986487,32.884405
"CADDO ","316 WEST MISSISSIPPI STREET , VIVIAN , LA","11","10","2008",-93.987461,32.87741
"CALCASIEU ","3003 COMMON ST , LAKE CHARLES , LA","4","20","2005",-93.213712,30.201841
"CALCASIEU ","2653 OLD DERIDDER HIGHWAY 5 , LAKE CHARLES , LA","3","13","2008",-93.173329,30.275353
"CALCASIEU ","4720  COMMON STREET 11 , LAKE CHARLES , LA","1","31","2010",-93.2139376,30.1718313
"CALCASIEU ","718  TALLOW ROAD 30 , LAKE CHARLES , LA","8","6","2010",-93.2117686,30.1613108
"CALCASIEU ","131  LUCILLE STREET  , LAKE CHARLES , LA","7","20","2011",-93.220017,30.199995
"CALCASIEU ","6336 EAST OPELOUSAS  12 , LAKE CHARLES , LA","11","10","2011",-93.1160118,30.2391837
"CALCASIEU ","101  TOUSAINT ROAD 98 , LAKE CHARLES , LA","6","7","2012",-93.220765,30.151451
"CALCASIEU ","1056  FOREST BOULEVARD  , LAKE CHARLES , LA","6","4","2013",-93.168114,30.31787
"CALCASIEU ","4561 JAN DRAKE RD , STARKS , LA","2","18","2005",-93.6618318,30.3154826
"CALCASIEU ","445  JOHNSON STREET  , SULPHUR , LA","7","29","2010",-93.37841,30.241411
"EAST BATON ROUGE ","276  BONNIE, BATON ROUGE , LA","9","1","2010",-91.011826,30.463668
"GRANT ","20 LARRY BAXLEY RD , COLFAX , LA","6","6","2005",-92.5957882,31.5333232
"GRANT ","1137 1241 HWY , DRY PRONG , LA","2","1","2004",-92.5236815,31.4471625
"GRANT ","876 HUDSON CREEK RD , DRY PRONG , LA","8","17","2004",-92.5335622,31.4535784
"GRANT ","433 SLAYTER NICHOLS RD , DRY PRONG , LA","2","20","2005",-92.6048081,31.5740369
"GRANT ","114 ALLEN RD , POLLOCK , LA","6","29","2004",-92.3977872,31.5490836
"IBERIA ","1640  BRADLEY LANDING  , NEW IBERIA , LA","8","31","2010",-91.811222,29.969142
"JEFFERSON ","1902  HANCOCK STREET , GRETNA , LA","3","25","2015",-90.0477493,29.9194629
"JEFFERSON ","140  CRIS LAUR AVENUE  , HARAHAN , LA","7","10","2013",-90.193786,29.9372678
"JEFFERSON ","261  JULES STREET 36 , JEFFERSON , LA","8","15","2012",-90.1407505,29.9612702
"JEFFERSON ","198  5128 GEORGE STREET  , LAFITTE , LA","8","8","2013",-90.098602,29.6867181
"JEFFERSON ","5201  SAVANNAH LN LANE  , MARRERO , LA","11","15","2013",-90.1083644,29.8120513
"JEFFERSON ","4701 TABONY ST , METAIRIE , LA","2","3","2004",-90.190609,30.0204958
"JEFFERSON ","122  HELIOS AVENUE A3 , METAIRIE , LA","2","7","2011",-90.1448343,29.9865356
"JEFFERSON ","3101  MICHIGAN AVENUE , METAIRIE , LA","9","11","2015",-90.2264163,30.0115732
"JEFFERSON ","4529  Newlands STREET , METAIRIE , LA","12","30","2015",-90.1851821,30.0072354
"JEFFERSON ","750  AZALEA DRIVE  , WAGGAMAN , LA","10","3","2012",-90.2448602,29.9435804
"JEFFERSON ","704  KELLER STREET , WESTWEGO , LA","7","4","2015",-90.1359585,29.9009573
"LAFAYETTE ","435 MAIN E ST , LAFAYETTE , LA","2","27","2005",-92.014713,30.221311
"LAFAYETTE ","614 MARIGNY CIR , LAFAYETTE , LA","3","11","2006",-92.108684,30.191867
"LAFAYETTE ","201 SUNNY LANE , LAFAYETTE , LA","12","12","2006",-92.054768,30.206485
"LAFAYETTE ","910  AZALA STREET R , LAFAYETTE , LA","4","14","2010",-92.031557,30.217496
"LAFOURCHE ","802 2ND E ST , LAROSE , LA","7","9","2005",-90.3764313,29.5804676
"LIVINGSTON ","34479 HWY 43 N , ALBANY , LA","3","2","2004",-90.5852057,30.5605052
"LIVINGSTON ","30905 BURGESS RD , DENHAM SPRINGS , LA","1","21","2004",-90.9006796,30.5136963
"LIVINGSTON ","30262 ABEL ST , DENHAM SPRINGS , LA","10","28","2004",-90.920188,30.4910756
"LIVINGSTON ","12405 BRANDON AVE , DENHAM SPRINGS , LA","11","3","2004",-90.9040923,30.4245995
"LIVINGSTON ","21395 BONNIE , DENHAM SPRINGS , LA","1","7","2005",-90.8650811,30.3815491
"LIVINGSTON ","10468  THIBODEAUX ROAD  , DENHAM SPRINGS , LA","4","29","2010",-90.9128642,30.5511897
"LIVINGSTON ","11124  JUDALON DRIVE  , DENHAM SPRINGS , LA","6","17","2010",-90.902611,30.5056389
"LIVINGSTON ","412  EDGEWOOD DRIVE 12 , DENHAM SPRINGS , LA","2","10","2011",-90.9490107,30.4746939
"LIVINGSTON ","412  EDGEWOOD DRIVE 12 , DENHAM SPRINGS , LA","2","10","2011",-90.9490107,30.4746939
"LIVINGSTON ","25080 DORIS HUTCHINSON RD , HOLDEN , LA","1","19","2004",-90.6662473,30.5410513
"LIVINGSTON ","26195 PIERSON RD , HOLDEN , LA","1","1","2005",-90.6477381,30.5112333
"LIVINGSTON ","25414A ONELLION ROAD , HOLDEN , LA","10","1","2007",-90.6640829,30.5403961
"LIVINGSTON ","12030 FLORIDA BLVD , LIVINGSTON , LA","3","27","2004",-90.8856408,30.4857133
"LIVINGSTON ","17045 RANDELL DR , LIVINGSTON , LA","3","30","2005",-90.8030092,30.4884755
"LIVINGSTON ","30058 LEMN LN 2 , SPRINGFIELD , LA","3","22","2004",-90.5487012,30.4290818
"LIVINGSTON ","25231 GILES RD , SPRINGFIELD , LA","3","6","2005",-90.5613271,30.4365884
"LIVINGSTON ","15640 SPRINGFIELD RD , WALKER , LA","3","6","2004",-90.8276709,30.6151516
"LIVINGSTON ","16020  JUDGE DRIVE  , WALKER , LA","7","6","2010",-90.8196401,30.5901918
"MOREHOUSE ","6765 GRABAULT RD , BASTROP , LA","3","4","2004",-91.8708741,32.7701129
"NATCHITOCHES ","834 GRAPPES BLUFF RD , FAIRVIEW ALPHA , LA","2","15","2005",-93.1868117,31.9456042
"ORLEANS ","1431 ROBERTSON N ST C , NEW ORLEANS , LA","7","31","2004",-90.0671743,29.9693343
"ORLEANS ","177  CHENIERE DREW ROAD , WEST END , LA","2","6","2012",-92.244602,32.5213651
"OUACHITA ","459 ASHLEY GRIGGS RD , CALHOUN , LA","5","20","2005",-92.401936,32.49129
"OUACHITA ","161  COWBOY LANE 57 , CALHOUN , LA","6","27","2010",-92.3252933,32.5192322
"OUACHITA ","1805 ST. JOSEPH'S PL , MONROE , LA","7","28","2004",-92.081227,32.541063
"OUACHITA ","214 SONNY RD , MONROE , LA","10","18","2004",-92.021961,32.421097
"OUACHITA ","525 CANAAN RD , MONROE , LA","10","19","2004",-92.0803789,32.407511
"OUACHITA ","214 SUNNY RD , MONROE , LA","3","8","2005",-92.021961,32.421097
"OUACHITA ","188 SMITH RD , MONROE , LA","6","27","2005",-92.0832609,32.5790475
"OUACHITA ","3208 139 HWY , MONROE , LA","2","8","2006",-91.9623723,32.5980384
"OUACHITA ","309  JACKSON STREET  , MONROE , LA","1","5","2010",-92.113586,32.499967
"OUACHITA ","141  JENNIFER LANE 24 , MONROE , LA","1","20","2010",-92.056925,32.56198
"OUACHITA ","805  LAKESIDE DRIVE  , MONROE , LA","1","20","2010",-92.017418,32.561555
"OUACHITA ","115  SEVILLE CIRCLE  , MONROE , LA","1","31","2010",-91.989777,32.548491
