"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ANDROSCOGGIN ","37 GOFF ST 3RD FLOOR , LEWISTON , ME","ME",1,25,2006,-70.1966758,44.0764017
"ANDROSCOGGIN ","624 SABATTUS ST 2ND FLOOR , LEWISTON , ME","ME",1,25,2006,-70.183107,44.102464
"ANDROSCOGGIN ","8  OMER STREET STREET  , LEWISTON , ME","ME",2,5,2010,-70.1967887,44.1199954
"ANDROSCOGGIN ","938  Sabattus Street STREET , LEWISTON , ME","ME",1,6,2016,-70.1689599,44.1027995
"AROOSTOOK ","141 INN RD , ALLAGASH , ME","ME",11,11,2005,-69.0639875,47.0797618
"AROOSTOOK ","37 FONTAINE DRIVE , CARIBOU , ME","ME",4,11,2006,-68.017756,46.853157
"AROOSTOOK ","13  COLUMBIA STREET , HOULTON , ME","ME",6,16,2015,-67.8423116,46.1171863
"AROOSTOOK ","48  PARK STREET STREET , HOULTON , ME","ME",7,6,2015,-67.8329112,46.1211937
"AROOSTOOK ","1514  US ROUTE 2A , LINNEUS , ME","ME",4,9,2015,-67.9330681,46.0643994
"AROOSTOOK ","37  LAKE ROAD  , MONTICELLO , ME","ME",10,21,2014,-67.8682518,46.286265
"AROOSTOOK ","689  MAIN STREET  , PRESQUE ISLE , ME","ME",12,29,2011,-68.0127585,46.6899786
"AROOSTOOK ","  ACADEMY STREET , PRESQUE ISLE , ME","ME",8,23,2015,-68.001231,46.6771321
"AROOSTOOK ","72  NORTH STREET , SHERMAN , ME","ME",9,10,2015,-68.3871307,45.8778
"AROOSTOOK ","1278  Main Street BOX #3 , JUNCTION , ME","ME",1,5,2016,-94.0222483,37.8632364
"CUMBERLAND ","247 BOND ST , WESTBROOK , ME","ME",7,9,2004,-70.3884554,43.6606025
"CUMBERLAND ","1261  Rossevelt TRAIL , RAYMOND , ME","ME",3,1,2016,-70.464346,43.884337
"HANCOCK ","169  GILBERT FARM ROAD , BAR HARBOR , ME","ME",3,5,2015,-68.332958,44.410882
"HANCOCK ","18  HANCOCK STREET , ELLSWORTH , ME","ME",6,5,2014,-68.4218261,44.5411534
"PENOBSCOT ","34  WINTER STREET , BANGOR , ME","ME",11,20,2015,-68.7815171,44.8100767
"PENOBSCOT ","603  essex street STREET , BANGOR , ME","ME",12,28,2015,-68.7697112,44.8226936
"PENOBSCOT ","441  SOUTH MAIN STREET BOX 4 , BREWER , ME","ME",8,12,2015,-68.7614246,44.7967378
"PENOBSCOT ","149  Pine street STREET , BANGOR , ME","ME",2,17,2016,-68.7672048,44.8056521
"PENOBSCOT ","81  MAIN STREET , E MILLINOCKET , ME","ME",8,13,2015,-68.5772808,45.6261023
"PENOBSCOT ","81  MAIN STREET , MILLINOCKET , ME","ME",10,21,2014,-68.9824052,45.885446
"PENOBSCOT ","1237 STATE STREET , VEAZIE , ME","ME",2,28,2008,-68.7175712,44.8265274
"SOMERSET ","247  Main street , FAIRFIELD , ME","ME",2,10,2016,-69.5950988,44.5924748
"WASHINGTON ","RT. 1 MACHIAS TRAILER PARK 12 , MACHIAS , ME","ME",9,29,2004,-67.461376,44.7150789
"WASHINGTON ","4703  airline road ROAD , WESLEY , ME","ME",12,23,2015,-67.6608307,44.952297
"YORK ","125  thompson rd ROAD , BUXTON CENTER , ME","ME",12,14,2015,-70.5411651,43.6486912
"YORK ","25  BIGELOW ROAD , LEBANON , ME","ME",1,14,2012,-70.9355814,43.3430441
"YORK ","13  HERSON LANE , LEBANON , ME","ME",2,11,2015,-70.9279898,43.4253932
"YORK ","44  OLD POST ROAD , KITTERY , ME","ME",6,1,2015,-70.751653,43.092857
