"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ALGER ","801  PROSPECT STREET 4 , MUNISING , MI","MI",1,5,2014,-86.6460615,46.4021662
"ALGER ","721 WEST SUPERIOR STREET  , MUNISING , MI","MI",2,7,2014,-86.6637981,46.4151401
"ALLEGAN ","899 CYPRESS , ALLEGAN , MI","MI",2,7,2004,-85.850294,42.5484411
"ALLEGAN ","4359 108TH , ALLEGAN , MI","MI",2,12,2004,-85.8760706,42.4782031
"ALLEGAN ","3504 BABYLON ROAD , ALLEGAN , MI","MI",4,8,2004,-85.8911057,42.5543573
"ALLEGAN ","426 RIVER RD , ALLEGAN , MI","MI",5,20,2004,-85.8486967,42.5356661
"ALLEGAN ","2598 30TH , ALLEGAN , MI","MI",6,24,2004,-85.8434786,42.6097489
"ALLEGAN ","2744 32ND , ALLEGAN , MI","MI",7,13,2004,-85.861184,42.4331844
"ALLEGAN ","4334 110TH , ALLEGAN , MI","MI",9,6,2004,-85.9157049,42.491703
"ALLEGAN ","4266 SWAN LAKE DR , ALLEGAN , MI","MI",10,5,2004,-85.9650279,42.4631097
"ALLEGAN ","95 26TH , ALLEGAN , MI","MI",10,12,2004,-85.7976342,42.4269201
"ALLEGAN ","1114 44TH ST , ALLEGAN , MI","MI",11,21,2004,-85.9747992,42.5025957
"ALLEGAN ","586 KAYWOOD , ALLEGAN , MI","MI",1,18,2005,-85.6494976,42.4594619
"ALLEGAN ","2029 36TH , ALLEGAN , MI","MI",8,30,2005,-85.8983921,42.5671362
"ALLEGAN ","765 26TH , ALLEGAN , MI","MI",8,30,2005,-85.7984767,42.476004
"ALLEGAN ","103 GRANT STREET , ALLEGAN , MI","MI",9,6,2005,-85.864743,42.5279397
"ALLEGAN ","2428 38TH , ALLEGAN , MI","MI",9,6,2005,-85.9189631,42.5958905
"ALLEGAN ","44 WESLER DRIVE , ALLEGAN , MI","MI",1,24,2006,-85.8659652,42.4289694
"ALLEGAN ","1308 JENNINGS COURT , ALLEGAN , MI","MI",2,3,2006,-85.8280904,42.514818
"ALLEGAN ","3173 102ND , ALLEGAN , MI","MI",8,4,2006,-85.8543093,42.4347738
"ALLEGAN ","132ND AVENUE  , ALLEGAN , MI","MI",4,2,2009,-85.8126712,42.6531102
"ALLEGAN ","189  33RD STREET  , ALLEGAN , MI","MI",5,19,2009,-85.8662196,42.517503
"ALLEGAN ","2611  BASELINE ROAD  , ALLEGAN , MI","MI",4,16,2010,-85.8435888,42.4251231
"ALLEGAN ","2611  BASELINE ROAD  , ALLEGAN , MI","MI",4,16,2010,-85.8435888,42.4251231
"ALLEGAN ","1206 EAST VILLAGE DRIVE  , ALLEGAN , MI","MI",5,1,2010,-85.8224714,42.5089988
"ALLEGAN ","745  GRAND STREET  , ALLEGAN , MI","MI",5,7,2010,-85.8344195,42.5334746
"ALLEGAN ","3735  ADVENT LAKE ROAD  , ALLEGAN , MI","MI",7,12,2010,-85.9078732,42.4834709
"ALLEGAN ","1835  LINCOLN ROAD  , ALLEGAN , MI","MI",8,24,2010,-85.8875958,42.5526604
"ALLEGAN ","400 NORTH MAIN STREET  , ALLEGAN , MI","MI",11,26,2010,-85.8453147,42.5347571
"ALLEGAN ","2346  33RD STREET  , ALLEGAN , MI","MI",1,20,2011,-85.8697389,42.587463
"ALLEGAN ","103  GRANT STREET , ALLEGAN , MI","MI",1,10,2012,-85.864743,42.5279397
"ALLEGAN ","4353  118TH AVENUE  , ALLEGAN , MI","MI",11,2,2012,-85.9722007,42.5532371
"ALLEGAN ","540  36TH STREET  , ALLEGAN , MI","MI",12,13,2012,-85.8960732,42.4586911
"ALLEGAN ","950  37TH STREET  , ALLEGAN , MI","MI",5,15,2013,-85.9058315,42.4883105
"ALLEGAN ","1248  WELLS ROAD  , ALLEGAN , MI","MI",6,5,2013,-85.8117901,42.5107362
"ALLEGAN ","2323  28TH STREET  , ALLEGAN , MI","MI",6,16,2013,-85.8206608,42.5891865
"ALLEGAN ","2179  NELSON LANE  , ALLEGAN , MI","MI",11,10,2013,-85.8091118,42.5094375
"ALLEGAN ","4009  112TH AVENUE  , ALLEGAN , MI","MI",12,14,2013,-85.9366184,42.5063542
"ALLEGAN ","2933  108TH AVENUE  , ALLEGAN , MI","MI",3,2,2014,-85.8297198,42.4784154
"ALLEGAN ","4117  MONROE ROAD  , ALLEGAN , MI","MI",3,7,2014,-85.9460452,42.542509
"ALLEGAN ","500  STREETER AVENUE  BOX 26 , ALLEGAN , MI","MI",6,24,2014,-85.8553031,42.5291989
"ALLEGAN ","228  JAMES STREET , ALLEGAN , MI","MI",3,10,2015,-85.859342,42.526252
"ALLEGAN ","225  RIVERFRONT DRIVE , ALLEGAN , MI","MI",3,14,2015,-85.8505639,42.5272322
"ALLEGAN ","2933  108TH AVENUE , ALLEGAN , MI","MI",7,2,2015,-85.8297198,42.4784154
"ALLEGAN ","4359  108TH AVENUE , ALLEGAN , MI","MI",9,23,2015,-85.9700622,42.4768336
"ALLEGAN ","215  DONALD DRIVE , ALLEGAN , MI","MI",10,13,2015,-85.8625421,42.4360612
"ALLEGAN ","215  DONALD DRIVE , ALLEGAN , MI","MI",10,15,2015,-85.8625421,42.4360612
"ALLEGAN ","1739  39th STREET , ALLEGAN , MI","MI",3,2,2016,-85.9268353,42.5435713
"ALLEGAN ","3940  24TH STREET  , DORR , MI","MI",7,3,2012,-85.7809466,42.7044113
"ALLEGAN ","2198  BLUESTAR HIGHWAY 1 , FENNVILLE , MI","MI",9,6,2012,-86.210427,42.5777325
"ALLEGAN ","2346  54TH STREET , FENNVILLE , MI","MI",12,23,2014,-86.0754203,42.5901003
"ALLEGAN ","1713  51ST STREET , FENNVILLE , MI","MI",4,7,2015,-86.04394,42.5438264
"ALLEGAN ","5575  113TH AVENUE , FENNVILLE , MI","MI",12,8,2015,-86.0891325,42.5138006
"ALLEGAN ","131  WESLER DRIVE  , GOBLES , MI","MI",4,29,2010,-85.8660313,42.4289961
"ALLEGAN ","3053  BASELINE ROAD  , GOBLES , MI","MI",7,22,2011,-85.8491947,42.421003
