"COUNTY","FullAddress","Month","Day","Year","Longitude","Latitude"
"AITKIN ","36925 295TH ST , AITKIN , MN",3,29,2004,-93.6202044,46.4388611
"AITKIN ","13797 260TH PL , ISLE , MN",4,5,2004,-93.3879409,46.209725
"AITKIN ","27563 110TH ST , ISLE , MN",6,14,2004,-93.4253487,46.1682974
"ANOKA ","516 NORTHWEST 166TH AVENUE , ANDOVER , MN",8,9,2007,-93.278656,45.269803
"ANOKA ","1544 SUNNY WAY N CT , ANOKA , MN",4,11,2005,-93.360209,45.216259
"ANOKA ","8818 GOODBYE NE ST , BLAINE , MN",4,6,2004,-93.2349489,45.1607987
"ANOKA ","3906 3RD NE ST , COLUMBIA HEIGHTS , MN",1,9,2004,-93.265082,45.039327
"ANOKA ","1032 44TH AVE , COLUMBIA HEIGHTS , MN",6,8,2004,-93.243928,45.047954
"ANOKA ","6821 167TH AVE , COLUMBUS TOWNSHIP , MN",7,7,2004,-93.09827,45.277849
"ANOKA ","10805 THRUSH NW ST , COON RAPIDS , MN",5,17,2004,-93.323809,45.166308
"ANOKA ","13241 GROUSE NW , COON RAPIDS , MN",5,31,2004,-93.306983,45.210984
"ANOKA ","2711 NORTHEAST 226TH LANE , EAST BETHEL , MN",8,15,2006,-93.201155,45.381092
"ANOKA ","22 LYONS W ST , LINWOOD , MN",1,21,2004,-93.0195554,45.3415162
"ANOKA ","2105 181ST NW AVE , OAK GROVE , MN",7,3,2004,-93.319113,45.298609
"ANOKA ","2720 239 NW AVE , SAINT FRANCIS , MN",7,13,2004,-93.335585,45.400256
"ANOKA ","6545 10 #203 HIGHWAY , , MN",2,8,2006,-76.4727797,44.5059999
"BECKER ","18999 DEROXE RD , AUDUBON , MN",12,17,2004,-96.007797,46.763109
"BELTRAMI ","166 NORTHWEST OLD WILLOW CT , BEMIDJI , MN",2,7,2012,-94.9740258,47.4698924
"BENTON ","2417 65TH NE ST , SAUK RAPIDS , MN",3,3,2005,-94.11525,45.663848
"BLUE EARTH ","1255 RANGE ST 233 , MANKATO , MN",3,2,2004,-94.0137544,44.1868027
"BROWN ","1003 WASHINGTON S ST , NEW ULM , MN",2,23,2004,-94.453335,44.30133
"BROWN ","22927 185TH ST , NEW ULM , MN",2,24,2004,-94.544087,44.2967129
"CARVER ","5175 KREEKWOOD RD , CHASKA , MN",10,6,2004,-93.6508209,44.789032
"CASS ","1669 TOWNLINE NE RD , LONGVILLE , MN",3,25,2004,-94.199705,47.0604749
"CHISAGO ","44107 FOREST BOULEVARD , HARRIS , MN",2,28,2004,-92.974121,45.587217
"CHISAGO ","34223 UNITY AVE , SHAFER , MN",1,17,2005,-92.6870792,45.3809473
"CLAY ","1610 3RD S ST , MOORHEAD , MN",6,25,2004,-96.7751305,46.8581186
"CROW WING ","20082 243RD ST , FORT RIPLEY , MN",5,13,2004,-94.2724506,46.1134941
"DAKOTA ","4758 220TH W ST , FARMINGTON , MN",4,22,2004,-93.1628439,44.6307587
"DAKOTA ","2113 78TH ST , INVER GROVE HEIGHTS , MN",2,4,2004,-93.0628679,44.8358281
"DAKOTA ","3104 65TH E ST 107 , INVER GROVE HEIGHTS , MN",10,22,2004,-93.0424412,44.8552854
"DODGE ","11 8TH NW AVE , KASSON , MN",2,23,2004,-92.758708,44.03019
"FARIBAULT ","329 2ND NW AVE , WINNEBAGO , MN",4,19,2005,-94.1719982,43.769895
"FREEBORN ","214 COLUMBUS S AVE , ALBERT LEA , MN",3,31,2004,-93.3518823,43.6507133
"FREEBORN ","1023 ABBOTT ST , ALBERT LEA , MN",1,30,2005,-93.3839957,43.6537663
"FREEBORN ","1405 BROADWAY S AVE , ALBERT LEA , MN",4,2,2005,-93.3655582,43.6349703
"FREEBORN ","28143 ISLAND N CIR , MAPLE ISLAND , MN",3,11,2004,-79.8755754,45.7132184
"FREEBORN ","LOT 39 3RD ST 39 , TWIN LAKES , MN",2,24,2004,-93.4229553,43.5642694
"GOODHUE ","716 1/2 CENTRAL AVE , RED WING , MN",3,10,2006,-92.533655,44.559643
"GOODHUE ","2127 FRAZIER ST , WELCH , MN",2,23,2006,-92.640137,44.632941
"GRANT ","1411 STATE 79 E HWY LOT 9 , ELBOW LAKE , MN",4,7,2004,-95.9610623,45.992189
"HENNEPIN ","4333 EDINBROOK TERRACE , BROOKLYN PARK , MN",4,3,2008,-93.3370039,45.1106399
"HENNEPIN ","5137 SOUTH ABBOTT AVENUE , MINNEAPOLIS , MN",4,11,2014,-93.322286,44.909464
"HUBBARD ","39255 257TH AVE , LAPORTE , MN",10,9,2004,-94.8287286,47.2243845
"HUBBARD ","21706 STATE HIGHWAY 34 , NEVIS , MN",6,10,2006,-94.9181822,46.9315137
"HUBBARD ","18515 209TH AVE , PARK RAPIDS , MN",4,14,2004,-94.9320394,46.9309418
"ISANTI ","560 CALHOUN PLACE , CAMBRIDGE , MN",8,7,2008,-93.2204104,45.5773565
"ISANTI ","24782 LINCOLN N CT , ISANTI , MN",4,14,2005,-93.2389816,45.4210155
"ISANTI ","28625 LAKEWOOD DR , ISANTI , MN",3,7,2006,-93.3393295,45.4881716
"ISANTI ","102 SOUTH DAHLIN AVENUE , ISANTI , MN",12,1,2006,-93.24537,45.4901255
"ISANTI ","3982 NORTHWEST 253RD STREET , ISANTI , MN",11,29,2007,-93.367516,45.4282077
"ITASCA ","15146  DANSON ROAD  , GRAND RAPIDS , MN",1,12,2011,-93.439204,47.102921
"JACKSON ","37722 410TH ST , HERON LAKE , MN",1,31,2004,-95.3266234,43.8914779
"JACKSON ","51339 830TH ST , JACKSON , MN",1,28,2005,-95.04839,43.695322
"JACKSON ","808 (B) HILLS AVE 101 , JACKSON , MN",3,5,2006,-95.008661,43.624256
"JACKSON ","73564 365TH AVENUE , ROUND LAKE , MN",1,8,2007,-95.339834,43.5546239
"JACKSON ","52 MAIN ST , WILDER , MN",6,30,2005,-95.199212,43.8309179
"KANABEC ","2537 HWY 65 , MORA , MN",11,7,2004,-93.2766126,45.9531712
"KANDIYOHI ","110 MAIN STREET , ATWATER , MN",2,7,2008,-94.7776363,45.1358957
"KANDIYOHI ","19343 63RD NE ST , NEW LONDON , MN",8,12,2005,-94.9588305,45.308111
"KOOCHICHING ","5967 CO RD 78 , LITTLEFORK , MN",3,7,2008,-93.619614,48.386942
"LE SUEUR ","321 RICE S ST , KASOTA , MN",1,20,2004,-93.9649866,44.2875198
"LE SUEUR ","1 KOSSUTH ST , KASOTA , MN",2,19,2004,-93.9649352,44.2963377
"LE SUEUR ","700 WEBSTER N , KASOTA , MN",2,19,2004,-93.966365,44.2949857
"LE SUEUR ","509 NORTH SECOND #209 STREET , LE SUEUR , MN",5,9,2007,-111.7780826,43.8356618
"LINCOLN ","1540 240TH AVENUE , TYLER , MN",12,15,2007,-96.1796209,44.2406203
"LYON ","2167 260TH ST , MARSHALL , MN",9,13,2005,-95.855892,44.426228
"MARSHALL ","46378 230TH STREET , ALVARADO , MN",9,19,2008,-97.0505956,48.2096781
"MILLE LACS ","34417 HWY 47 , ISLE , MN",12,27,2004,-93.4995885,46.2122459
"MILLE LACS ","6655 FALCON RD , MILACA , MN",6,25,2004,-93.5493666,45.7261078
"MORRISON ","1010 1ST SW AVE , LITTLE FALLS , MN",8,15,2005,-94.3845133,45.9759018
"MOWER ","702 4TH NW ST , AUSTIN , MN",3,12,2004,-92.9796794,43.6717041
"NOBLES ","11 EAST 2ND STREET , DUNDEE , MN",11,29,2007,-95.4660824,43.8449418
"OLMSTED ","1197 NORTHWEST 115TH STREET , ORONOCO , MN",9,11,2008,-92.479284,44.1661689
"OLMSTED ","3873 WILLOW RIDGE SW DR , ROCHESTER , MN",12,28,2004,-92.4689581,43.9687832
"OLMSTED ","1230 BROADWAY S 324 , ROCHESTER , MN",12,29,2004,-92.4617728,44.0053594
"OLMSTED ","322 NORTHWEST 36TH AVENUE , ROCHESTER , MN",3,25,2005,-92.517371,44.027257
"OLMSTED ","1119 SOUTHWEST 7 AVENUE , ROCHESTER , MN",6,5,2007,-92.472834,44.008277
"OLMSTED ","805 NORTHWEST 4 AVENUE , ROCHESTER , MN",6,5,2007,-92.468566,44.0316789
"OTTER TAIL ","37551 395TH ST , DENT , MN",3,1,2005,-95.7090627,46.5340304
"OTTER TAIL ","36599 STATE HWY 78 , OTTERTAIL , MN",9,2,2004,-95.5753178,46.4926358
"OTTER TAIL ","35777 RUSH LAKE LP , OTTERTAIL , MN",10,6,2004,-95.5735226,46.4801421
"OTTER TAIL ","325 3RD NE AVE , PERHAM , MN",8,4,2004,-95.568056,46.5950824
"PIPESTONE ","508 NORTHEAST 2ND AVENUE , PIPESTONE , MN",10,6,2004,-96.3164199,44.0051419
"PIPESTONE ","905 SOUTHWEST 6TH STREET , PIPESTONE , MN",10,7,2004,-96.3303131,43.99525
"PIPESTONE ","519 SOUTHEAST 7TH AVENUE , PIPESTONE , MN",2,13,2008,-96.3115481,43.9940098
