"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ADAIR ","252  FRANKLIN, GIBBS , MO","MO",5,2,2010,-92.4185859,40.0973901
"ADAIR ","1400 MICHIGAN W ST 3 , KIRKSVILLE , MO","MO",5,25,2004,-92.5970732,40.187721
"ADAIR ","307 CENTNIAL N ST , KIRKSVILLE , MO","MO",5,25,2004,-92.587666,40.1964672
"ADAIR ","30314 FORT MADISON WAY , KIRKSVILLE , MO","MO",11,29,2004,-92.47309,40.308876
"ADAIR ","411 SCOTT E ST , KIRKSVILLE , MO","MO",2,18,2005,-92.5795797,40.1914814
"ADAIR ","4 CHELSEA ST , KIRKSVILLE , MO","MO",8,7,2005,-92.5538776,40.1996908
"ADAIR ","501 MULLANIX N ST 1A , KIRKSVILLE , MO","MO",2,17,2006,-92.5832496,40.1947539
"ADAIR ","1260 OXFORD DR , KIRKSVILLE , MO","MO",2,27,2006,-92.5957286,40.2144234
"ADAIR ","15507 MOTTER HILL ROAD , KIRKSVILLE , MO","MO",10,26,2006,-92.6676235,40.2685247
"ADAIR ","15 CASCADE , KIRKSVILLE , MO","MO",3,3,2007,-92.5540414,40.1990413
"ADAIR ","1200 NORTH WALNUT , KIRKSVILLE , MO","MO",11,20,2008,-92.5936584,40.2047357
"ADAIR ","24418 HIGHWAY 11 , KIRKSVILLE , MO","MO",12,26,2008,-92.578494,40.1465513
"ADAIR ","215 SOUTH FRANKLIN STREET 208 , KIRKSVILLE , MO","MO",7,3,2011,-92.5831681,40.193713
"ADAIR ","2202 EAST NORMAL  14 , KIRKSVILLE , MO","MO",8,16,2011,-92.5593631,40.1898358
"ADAIR ","31038 EAST HIGHWAY 6  , KIRKSVILLE , MO","MO",12,16,2011,-92.5778874,40.206593
"ADAIR ","21724  HACKBERRY TRAIL  , KIRKSVILLE , MO","MO",6,1,2013,-92.6345385,40.1980803
"ATCHISON ","24 LINDEN , WATSON , MO","MO",4,4,2005,-95.6224617,40.4817869
"ATCHISON ","20 LINDEN ST , WATSON , MO","MO",1,23,2006,-95.622669,40.4824136
"ATCHISON ","14347 STATE HIGHWAY M , WESTBORO , MO","MO",1,31,2005,-95.2401719,40.511657
"ATCHISON ","402 1ST ST , WESTBORO , MO","MO",9,14,2005,-95.322689,40.5354754
"AUDRAIN ","1003 SOUTH CLARK , MEXICO , MO","MO",8,1,2006,-91.8856629,39.164007
"AUDRAIN ","2270 JUBEL DRIVE , MEXICO , MO","MO",12,29,2008,-91.9121992,39.1526035
"AUDRAIN ","8206 AUDRAIN 395 RD , THOMPSON , MO","MO",1,14,2005,-91.9812965,39.2192614
"AUDRAIN ","714 WEST HOME , VANDALIA , MO","MO",12,12,2008,-91.489877,39.301583
"AUDRAIN ","513 WEST WALSH STREET  , VANDALIA , MO","MO",4,16,2010,-91.488929,39.303513
"BARRY ","7553 FR 1245 , AURORA , MO","MO",5,13,2008,-93.717979,36.970891
"BARRY ","13039 FARM ROAD 1157 , AURORA , MO","MO",12,12,2008,-93.6866801,36.7688587
"BARRY ","4543 ROUTE 4 , CASSVILLE , MO","MO",7,30,2004,-93.8705378,36.6774736
"BARRY ","1725 SCHELL ST , CASSVILLE , MO","MO",11,2,2004,-93.8770411,36.6906756
"BARRY ","6730 HCR 64 , CASSVILLE , MO","MO",1,18,2005,-93.8688109,36.6770111
"BARRY ","1404 CHERRY , CASSVILLE , MO","MO",11,9,2006,-93.8552041,36.6834606
"BARRY ","600 OLD EXETER ROAD , CASSVILLE , MO","MO",7,11,2007,-93.8777058,36.6759166
"BARRY ","29 SYCAMORE STREET , CASSVILLE , MO","MO",7,31,2007,-93.8688109,36.6770111
"BARRY ","1815 HC 01 , EAGLE ROCK , MO","MO",10,26,2004,-93.7556316,36.5468539
"BARRY ","8664 HC 81 , EAGLE ROCK , MO","MO",10,26,2004,-93.7556316,36.5468539
"BARRY ","464 FR 1075 , EXETER , MO","MO",9,27,2004,-93.9323683,36.6684766
