"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ADAMS ","26 ORANGE AVE , NATCHEZ , MS","MS",12,15,2004,-91.397307,31.55707
"ADAMS ","3601 EAST EASTBROOK ROAD , NATCHEZ , MS","MS",3,15,2007,-91.374942,31.540819
"ADAMS ","603 OAK STREET , NATCHEZ , MS","MS",1,28,2008,-91.395957,31.566485
"ADAMS ","92 MORGANTOWN ROAD , NATCHEZ , MS","MS",5,28,2008,-91.347656,31.575333
"ADAMS ","6  KNOTTS ROAD  , NATCHEZ , MS","MS",4,29,2010,-91.3154996,31.4531012
"ADAMS ","21  SOUTHVIEW DRIVE  , NATCHEZ , MS","MS",8,23,2011,-91.37296,31.612888
"ALCORN ","1703 HORTON ST 1703 , CORINTH , MS","MS",1,13,2005,-88.5063408,34.9251716
"ALCORN ","3969 GAINES , CORINTH , MS","MS",12,10,2007,-88.5729526,34.9275638
"ALCORN ","CR 552BOX  122 , CORINTH , MS","MS",4,14,2009,-88.5222702,34.9342548
"ALCORN ","45 NORTH  HIGHWAY  , CORINTH , MS","MS",4,24,2009,-88.5447192,34.916315
"ALCORN ","45 SOUTH  HIGHWAY  , CORINTH , MS","MS",1,23,2010,-88.5447192,34.916315
"ALCORN ","72 SOUTH  HIGHWAY  , CORINTH , MS","MS",2,9,2010,-88.5097367,34.9173552
"ALCORN ","4870 OLD BYRUM ROAD , JACKSON , MS","MS",12,7,2006,-90.2354639,32.213135
"ALCORN ","537  CR  18 , RIENZI , MS","MS",5,3,2009,-88.6504863,34.7997033
"AMITE ","7111A  HAMP LEA ROAD  , MAGNOLIA , MS","MS",2,6,2010,-90.6055258,31.1191459
"AMITE ","1294  BROWNING LANE  , OSYKA , MS","MS",8,19,2011,-90.6762806,31.0188128
"AMITE ","7207 MOAK RD , SUMMIT , MS","MS",1,19,2006,-90.6222372,31.2745898
"ATTALA ","2250  ATTALA ROAD  , ETHEL , MS","MS",5,5,2010,-89.4207981,33.0889726
"BENTON ","392 MEDLOCK ROAD , ASHLAND , MS","MS",9,12,2008,-89.0896763,34.9159805
"BOLIVAR ","1567C OLD HIGHWAY 61 HWY , CLEVELAND , MS","MS",8,3,2004,-90.8118946,33.5574192
"BOLIVAR ","61  LEE ST. HIGHWAY  , CLEVELAND , MS","MS",4,16,2009,-90.7248187,33.7440023
"BOLIVAR ","1257  MEMORIAL DRIVE  , CLEVELAND , MS","MS",6,28,2009,-90.7262014,33.7284246
"BOLIVAR ","202 WEST CARPENTER STREET 14 , CLEVELAND , MS","MS",4,14,2010,-90.7226186,33.7551189
"CALHOUN ","406 NORTH TYSON STREET  , BRUCE , MS","MS",4,20,2010,-89.352556,33.9981017
"CALHOUN ","1190 NORTH HIGHWAY 9, CALHOUN CITY , MS","MS",5,17,2010,-89.3608941,33.7930535
"CALHOUN ","139 NABORS CIR , VARDAMAN , MS","MS",6,4,2005,-89.1863225,33.8819894
"CARROLL ","73 SOUTH HIGHWAY 17 , CARROLLTON , MS","MS",2,24,2008,-89.9199317,33.5149414
"CARROLL ","RT. 1 148A , GREENWOOD , MS","MS",2,20,2007,-90.1917983,33.5171473
"CHICKASAW ","411  ARMOUR STREET  , HOULKA , MS","MS",2,3,2010,-89.0246094,34.0399102
"CHICKASAW ","890 EAST 32 HIGHWAY  , HOULKA , MS","MS",3,4,2011,-89.0074071,34.038371
"CHICKASAW ","316 JAMINSON ST , HOUSTON , MS","MS",6,9,2005,-89.005234,33.9011892
"CHICKASAW ","707 AIRPORT ROAD , HOUSTON , MS","MS",1,26,2006,-89.0172238,33.8880603
"CHOCTAW ","RT. 2 RT. 2 BOX 179 , MATHISTON , MS","MS",3,14,2005,-89.1242306,33.5401213
"CLAIBORNE ","7142 CURTIS LUSTER RD , PORT GIBSON , MS","MS",8,20,2004,-90.9817325,31.9607734
"CLAIBORNE ","10191  GRAND GULF ROAD  , PORT GIBSON , MS","MS",6,15,2010,-91.0015271,32.003319
"CLAIBORNE ","1033  MOTT HEADLEY ROAD  , PORT GIBSON , MS","MS",2,17,2011,-90.9738751,31.996524
"CLAIBORNE ","1033  MOTT HEADLEY ROAD  , PORT GIBSON , MS","MS",2,17,2011,-90.9738751,31.996524
"CLAIBORNE ","2013 ROSS ROAD , UTICA , MS","MS",11,9,2006,-90.6614526,32.0831258
"CLARKE ","262 TANNER LN , MERIDIAN , MS","MS",6,16,2004,-88.6508192,32.3609588
"CLARKE ","232  CR 5110, QUITMAN , MS","MS",5,13,2009,-88.6573084,32.0381906
"CLAY ","11551 WEST HIGHWAY 50 , CEDARBLUFF , MS","MS",8,3,2006,-88.7986131,33.6053416
"CLAY ","18387 WEST HIGHWAY 50, PHEBA , MS","MS",5,6,2009,-88.8979143,33.5862429
"CLAY ","2102 LONE OAK CIR , WEST POINT , MS","MS",5,25,2004,-88.6998464,33.6166378
"CLAY ","438 MCCORD ST , WEST POINT , MS","MS",5,26,2004,-88.6349556,33.6025075
"CLAY ","819 COTTON MILL RD , WEST POINT , MS","MS",5,26,2004,77.3456675,11.1331006
"CLAY ","821 CROMWELL ST , WEST POINT , MS","MS",5,26,2004,-88.6456625,33.5973271
"CLAY ","1150 SEITZ SUBDIVISION RD , WEST POINT , MS","MS",6,17,2004,-88.6503254,33.6076186
"CLAY ","1119 BARKSDALE DR , WEST POINT , MS","MS",12,8,2004,-88.660203,33.6229815
"CLAY ","3303 DUNNIGAN RD , WEST POINT , MS","MS",4,15,2005,-88.7751711,33.6589611
"CLAY ","535 EAST JORDAN STREET , WEST POINT , MS","MS",6,25,2008,-88.6456086,33.605987
"CLAY ","1881  LONE OAK PARK  , WEST POINT , MS","MS",2,3,2010,-88.6979436,33.6162637
"CLAY ","601  MEADOWBROOK DRIVE  , WEST POINT , MS","MS",3,10,2010,-88.6380681,33.5965755
"CLAY ","601  HIGHWAY 47, WEST POINT , MS","MS",3,29,2010,-88.8068074,33.6962724
"COAHOMA ","206 SCHOOL ST , CLARKSDALE , MS","MS",6,10,2004,-90.5815879,34.1994712
"COAHOMA ","11595 SOUTH NEW AFRICA ROAD , CLARKSDALE , MS","MS",4,22,2005,-90.5807851,34.1420677
"COAHOMA ","11570 OLD AFRICIA RD , CLARKSDALE , MS","MS",7,24,2005,-90.5709323,34.2001086
"COAHOMA ","1409  NORTH STATE STREET UNIT , CLARKSDALE , MS","MS",3,2,2010,-90.5586725,34.1959175
"COAHOMA ","221  COURT STREET , CLARKSDALE , MS","MS",4,12,2011,-90.573593,34.205641
"COPIAH ","503 NEWTON ST , CRYSTAL SPRINGS , MS","MS",5,29,2005,-90.3524402,31.980949
"COPIAH ","4198 ANTIOCH RD , HAZLEHURST , MS","MS",9,1,2004,-90.5718938,31.7989437
"COPIAH ","5146 RAYMOND ROAD , HAZLEHURST , MS","MS",10,31,2007,-90.4298432,31.9235632
"COPIAH ","2076 EAST WHITWORTH, HAZLEHURST , MS","MS",5,13,2010,-90.3752395,31.8675853
"COPIAH ","154  MATTHEW ST, HAZLEHURST , MS","MS",7,1,2010,-90.3959255,31.8604382
"COPIAH ","5143  HIGHWAY 472, HAZLEHURST , MS","MS",8,8,2010,-90.2878893,31.850661
"COPIAH ","5143  HIGHWAY 472, HAZLEHURST , MS","MS",11,22,2010,-90.2878893,31.850661
"COPIAH ","4599  WATSON ROAD  , WESSON , MS","MS",2,18,2010,-90.5040921,31.7060295
"COPIAH ","1019  DICKERSON LANE  , WESSON , MS","MS",2,23,2010,-90.3843366,31.7296079
"COPIAH ","1021  COTTON STREET  , WESSON , MS","MS",4,23,2010,-90.3934195,31.7014258
"COVINGTON ","102 MCCLEOD RD , MOUNT OLIVE , MS","MS",12,2,2004,-89.6200262,31.7717402
"COVINGTON ","114 HOWARD FULKES ROAD , SEMINARY , MS","MS",2,23,2004,-89.4461176,31.4718509
"COVINGTON ","65  OAK DALE CHURCH ROAD  , SEMINARY , MS","MS",2,19,2010,-89.5561054,31.5083659
"DE SOTO ","837  BROOKSIDE DRIVE  , SOUTHAVEN , MS","MS",10,1,2013,-90.0046304,34.9469775
"DESOTO ","1147 HWY 301 , EUDORA , MS","MS",6,2,2004,-90.148986,34.8311247
"DESOTO ","2101  SEQUOAYAH, HERNANDO , MS","MS",4,8,2010,-90.1871907,34.8285451
"DESOTO ","2101  SEQUOAYAH, HERNANDO , MS","MS",4,8,2010,-90.1871907,34.8285451
