"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"CASCADE ","614 NORTH 12TH STREET , GREAT FALLS , MT","MT",7,22,2004,-111.2868153,-111.2868153
"CASCADE ","520 2ND S AVE 46 , GREAT FALLS , MT","MT",8,18,2004,-111.297802,-111.297802
"CASCADE ","1818 SOUTH 14TH AVENUE , GREAT FALLS , MT","MT",9,15,2004,-111.275474,-111.275474
"CASCADE ","1421 2ND S AVE , GREAT FALLS , MT","MT",12,20,2004,-111.2822356,-111.2822356
"CASCADE ","1513 17TH SW AVE , GREAT FALLS , MT","MT",4,21,2005,-111.340877,-111.340877
"CASCADE ","1316 8TH S AVE , GREAT FALLS , MT","MT",5,5,2005,-111.284139,-111.284139
"CASCADE ","714 11TH N ST , GREAT FALLS , MT","MT",7,23,2005,-111.288797,-111.288797
"CASCADE ","1712 SOUTHWEST 10TH STREET 1 , GREAT FALLS , MT","MT",4,20,2006,-111.3293371,-111.3293371
"CASCADE ","2611 UPPER RIVER ROAD UNIT 13 , GREAT FALLS , MT","MT",8,3,2007,-111.303231,-111.303231
"CASCADE ","1120 WEST CENTRAL AVENUE 4 , GREAT FALLS , MT","MT",7,29,2008,-111.331923,-111.331923
"CASCADE ","807 SOUTH 7TH AVENUE  , GREAT FALLS , MT","MT",10,4,2013,-111.293433,-111.293433
"FALLON ","110 1ST W , BAKER , MT","MT",9,29,2004,-104.2768666,-104.2768666
"FLATHEAD ","4815 FOOTHILL RD , BIGFORK , MT","MT",6,10,2004,-114.015038,-114.015038
"FLATHEAD ","975 LAKE DR , COLUMBIA FALLS , MT","MT",9,15,2004,-114.138825,-114.138825
"FLATHEAD ","1340 WILLOW GLEN RD 17 , KALISPELL , MT","MT",8,17,2004,-114.2883351,-114.2883351
"FLATHEAD ","43  TAHOE DRIVE  , KALISPELL , MT","MT",4,15,2013,-114.29444,-114.29444
"GALLATIN ","2953 NORTH 27TH STREET 15 , BOZEMAN , MT","MT",6,8,2012,-111.0739385,-111.0739385
"GRANITE ","260 PRINCETON RD , MAXVILLE , MT","MT",11,2,2004,-113.2087188,-113.2087188
"HILL ","141 WEST 2ND STREET , HAVRE , MT","MT",6,20,2006,-109.686263,-109.686263
"LEWIS AND CLARK ","200 RODNEY N ST 6 , HELENA , MT","MT",10,19,2004,-112.034322,-112.034322
"LEWIS AND CLARK ","302 N DAVIS STREET , HELENA , MT","MT",8,14,2015,-112.0324818,-112.0324818
"LEWIS AND CLARK ","3486  MORELLO DRIVE , HELENA , MT","MT",8,10,2015,-111.909435,-111.909435
"LINCOLN ","156 SPENCER ROAD , LIBBY , MT","MT",4,14,2004,-115.5395365,-115.5395365
"LINCOLN ","404 FALLS CREEK RD , TROY , MT","MT",11,8,2005,-115.8169447,-115.8169447
"MADISON ","2060 NORTH 87 HIGHWAY , ENNIS , MT","MT",1,26,2005,-111.4713238,-111.4713238
"MADISON ","31 BILTMORE ROAD , TWIN BRIDGES , MT","MT",10,7,2004,-112.4313034,-112.4313034
"MISSOULA ","3333 BROOKS STREET 603 , MISSOULA , MT","MT",8,14,2004,-114.032316,-114.032316
"MISSOULA ","5059 NORTH RESERVE STREET , MISSOULA , MT","MT",8,18,2004,-114.0361737,-114.0361737
"PARK ","4282 US HIGHWAY 89 S 6 , LIVINGSTON , MT","MT",2,5,2004,-110.6218407,-110.6218407
"PONDERA ","1 DELAWARE STREET , CONRAD , MT","MT",4,26,2006,-111.947881,-111.947881
"SANDERS ","418 WASHINGTON STREET , THOMPSON FALLS , MT","MT",2,24,2006,-115.345683,-115.345683
"SANDERS ","58 MOSQUITO CREEK ROAD , THOMPSON FALLS , MT","MT",3,29,2006,-115.4192965,-115.4192965
"SILVER BOW ","217 HOBSON AVENUE , BUTTE , MT","MT",9,14,2004,-112.5329314,-112.5329314
"STILLWATER ","105 WEAST AVENUE , ABSAROKEE , MT","MT",4,28,2006,-109.4416154,-109.4416154
"WILKINSON ","314 SGT. PRENTISS DR , WOODVILLE , MT","MT",4,19,2005,-112.4461291,-112.4461291
"YELLOWSTONE ","7941 BURLINGTON AVE , BILLINGS , MT","MT",2,7,2004,-108.719965,-108.719965
"YELLOWSTONE ","111 23RD N ST 4 , BILLINGS , MT","MT",7,14,2004,-108.499435,-108.499435
"YELLOWSTONE ","4126 STATE AVE , BILLINGS , MT","MT",7,28,2004,-108.51722,-108.51722
"YELLOWSTONE ","2320 BENCH BLVD , BILLINGS , MT","MT",9,7,2004,-108.466503,-108.466503
"YELLOWSTONE ","340 ANGEL LANE , BILLINGS , MT","MT",11,4,2004,-108.47693,-108.47693
"YELLOWSTONE ","606 WEST 17TH STREET , BILLINGS , MT","MT",11,6,2008,-108.559327,-108.559327
