"COUNTY","FullAddress","Month","Date","Year","Longitude","Latitude"
"ALAMANCE ","717  Trails end DRIVE , GRAHAM , NC","2","12","2016",-79.409929,36.043334
"ALEXANDER ","112 VANCE LN , TAYLORSVILLE , NC","2","11","2004",-81.294282,35.894909
"ALEXANDER ","1945 ZEB WATTS RD , TAYLORSVILLE , NC","8","23","2004",-81.24508,35.934984
"ALEXANDER ","1581 (A) GILL CHILDERS RD , TAYLORSVILLE , NC","9","28","2005",-81.253206,35.9855775
"ALEXANDER ","185 EARNHARDT RD , TAYLORSVILLE , NC","9","28","2005",-81.290345,35.9309749
"ALEXANDER ","2351  OLD WILKESBORO ROAD  , TAYLORSVILLE , NC","3","2","2010",-81.193572,35.953804
"ALEXANDER ","44  LIBERTY LANE  , TAYLORSVILLE , NC","5","6","2011",-81.2721306,35.8436922
"ALEXANDER ","248  HENRY ROSE DRIVE , TAYLORSVILLE , NC","1","29","2012",-81.194016,35.910354
"ALLEGHANY ","253  CRANFORD KNOLL ROAD , ENNICE , NC","12","14","2011",-81.0227164,36.5410903
"ALLEGHANY ","40  E JOE PLACE , ENNICE , NC","8","28","2014",-80.998096,36.523621
"ALLEGHANY ","2784 NEW HOPE CHURCH RD , LAUREL SPRINGS , NC","6","3","2004",-81.2631516,36.4634068
"ALLEGHANY ","134  WREN WAY , SPARTA , NC","6","22","2012",-81.1195265,36.4908929
"ALLEGHANY ","231  SILO ROAD , SPARTA , NC","5","13","2014",-81.091492,36.502486
"ANSON ","102  GRIFFIN STREET  , LILESVILLE , NC","4","9","2009",-79.9845032,34.9676535
"ANSON ","17  MARTINVILLE DRIVE  , LILESVILLE , NC","4","9","2009",-79.9845032,34.9676535
"ANSON ","415 EAST WALL STREET  , LILESVILLE , NC","4","20","2009",-79.9777845,34.9670523
"ANSON ","2700  VINTAGE ROAD  , LILESVILLE , NC","5","24","2009",-79.9845032,34.9676535
"ANSON ","100  INGRAM LEVEL ROAD  , LILESVILLE , NC","5","26","2009",-79.9845032,34.9676535
"ANSON ","2753  SANDY RIDGE ROAD  , MORVEN , NC","12","8","2011",-80.0545754,34.8361671
"ANSON ","390  SOUTHWIND ROAD , MORVEN , NC","7","11","2015",-80.1121469,34.828506
"ANSON ","390  SOUTHWIND ROAD , MORVEN , NC","8","10","2015",-80.1121469,34.828506
"ANSON ","814 CAPPADOCIA CHURCH RD B , PEACHLAND , NC","1","22","2006",-80.2539272,35.0561353
"ANSON ","1  EDWARDS STORE ROAD  , PEACHLAND , NC","4","9","2009",-80.288311,35.0798255
"ANSON ","69  BURNSVILLE CHURCH ROAD  , POLKTON , NC","5","21","2009",-80.2239726,35.0718349
"ANSON ","476  OLIVE BRANCH ROAD , POLKTON , NC","8","14","2015",-80.251059,35.106292
"ANSON ","7740  Ansonville Polkton ROAD , POLKTON , NC","1","11","2016",-80.1944852,35.0306941
"ANSON ","3 RT 91C , WADESBORO , NC","7","14","2004",-80.0767266,34.9682097
"ANSON ","1360  HOLLYWOOD ROAD  , WADESBORO , NC","2","8","2010",-80.0171708,34.9048054
"ANSON ","3693 NORTH 109 HIGHWAY  , WADESBORO , NC","4","2","2010",-80.1128879,34.9292582
"ANSON ","3693 NORTH 109 HIGHWAY  , WADESBORO , NC","4","2","2010",-80.1128879,34.9292582
"ANSON ","485  DOC WYATT ROAD  , WADESBORO , NC","2","20","2012",-80.0767266,34.9682097
"ANSON ","203  SHEPHERD STREET , WADESBORO , NC","8","12","2015",-80.0730305,34.9728258
"ANSON ","2606  MOUNT VERNON ROAD , WADESBORO , NC","9","25","2015",-80.1442013,35.0736116
"ANSON ","1260  CITY POND ROAD , WADESBORO , NC","11","18","2015",-80.0947755,34.9228049
"ASHE ","5602 BIG LAUREL ROAD , CRESTON , NC","6","5","2006",-81.6670089,36.484333
"ASHE ","1089  PEAK ROAD , CRESTON , NC","6","24","2014",-81.638132,36.41942
"ASHE ","2729 NORTH NC 16 HIGHWAY , CRUMPLER , NC","9","2","2008",-81.4028182,36.4535649
"ASHE ","654  TOM FOWLER ROAD  , CRUMPLER , NC","8","31","2011",-81.391623,36.4695279
"ASHE ","239 SOURWOOD LN , FLEETWOOD , NC","8","2","2005",-81.528962,36.266472
"ASHE ","244 CRANBERRY SPRINGS ROAD , FLEETWOOD , NC","9","10","2008",-81.5015559,36.261836
"ASHE ","497 OAK GROVE CIR , JEFFERSON , NC","9","2","2004",-81.4620839,36.4149152
"ASHE ","160 ROLAND DRIVE , JEFFERSON , NC","7","7","2008",-81.45719,36.414085
"ASHE ","206  BOWER CALLOWAY ROAD , JEFFERSON , NC","6","5","2014",-81.4585371,36.4347713
"ASHE ","1639 HELTON CREEK RD , LANSING , NC","8","10","2005",-81.5141756,36.5709268
"ASHE ","455 HIRAM BARE RD , LAUREL SPRINGS , NC","2","19","2004",-81.284098,36.381191
"ASHE ","1031 BIG PEAK CREEK RD , LAUREL SPRINGS , NC","2","24","2004",-81.3102296,36.4043794
"ASHE ","360 ORE VALLEY RD , LAUREL SPRINGS , NC","4","28","2004",-81.320328,36.396951
"ASHE ","2801 PEAK CREEK CHURCH , LAUREL SPRINGS , NC","9","23","2004",-81.285825,36.37644
"ASHE ","2251 LONGHOPE RD , TODD , NC","1","22","2004",-81.6520029,36.308427
"ASHE ","1463 COPELAND RD , WARRENSVILLE , NC","1","7","2005",-81.5871943,36.465129
"ASHE ","536  JC NORTON ROAD , WARRENSVILLE , NC","10","15","2014",-81.5861989,36.440263
"ASHE ","1697 CLAYBANK RD , WEST JEFFERSON , NC","8","24","2004",-81.493619,36.450411
"AVERY ","272 VALLE VISTA DR , BANNER ELK , NC","1","20","2005",-81.834312,36.1686687
"AVERY ","2217  PINNACLE ROAD  , BEECH MOUNTAIN , NC","3","1","2013",-81.8702789,36.1876076
"AVERY ","450  JOE PARLIER ROAD  , ELK PARK , NC","4","6","2009",-81.9394292,36.2324542
"AVERY ","87  TUCKER HOLLOW ROAD  , ELK PARK , NC","8","11","2011",-81.972628,36.135304
"AVERY ","5631  BANNER ELK HIGHWAY , ELK PARK , NC","6","26","2014",-81.888526,36.15905
"AVERY ","1888  ELK RIVER ROAD , ELK PARK , NC","6","8","2015",-81.962069,36.17479
"AVERY ","136 KELLY ST 3 , NEWLAND , NC","9","30","2004",-81.9227547,36.0807686
"AVERY ","789 BROWN INGRAM , NEWLAND , NC","10","23","2004",-81.9273362,36.0873484
"AVERY ","49 GRUMPY HUGES LN , NEWLAND , NC","2","24","2005",-82.049742,36.084567
"AVERY ","906 POWDER MILL CREEK RD , NEWLAND , NC","6","8","2005",-81.9273362,36.0873484
"AVERY ","216  MOLLIES BRANCH ROAD  , NEWLAND , NC","5","28","2014",-82.04129,36.0773112
"AVERY ","7036 S US 19 E , NEWLAND , NC","2","10","2015",-82.0208753,36.0030328
"AVERY ","1142  ANDY CROWE ROAD , NEWLAND , NC","3","21","2015",-81.884288,36.0267709
"AVERY ","1805  SUGAR MOUNTAIN #1 ROAD , NEWLAND , NC","4","12","2015",-81.862757,36.131921
"AVERY ","873  SPANISH OAK ROAD , NEWLAND , NC","11","23","2015",-81.942257,36.053731
"AVERY ","6  JAMES CLARK LANE  , PINEOLA , NC","6","15","2010",-81.879524,36.006927
"AVERY ","95 OLLIS LN , SPRUCE PINE , NC","12","29","2004",-82.012411,35.972449
"BEAUFORT ","53  BUCKS COUNTRY MANOR , CHOCOWINITY , NC","2","4","2015",-77.1124585,35.4824869
"BEAUFORT ","113 W Highway 33 , CHOCOWINITY , NC","2","2","2016",-77.1003674,35.512622
"BEAUFORT ","167  BRADLEY LANE , WASHINGTON , NC","3","8","2015",-76.8707271,35.4679249
"BEAUFORT ","54  WARF ROAD , WASHINGTON , NC","11","24","2015",-77.1307019,35.6016542
"BLADEN ","903  STORMS ROAD , BLADENBORO , NC","7","21","2014",-78.772208,34.56339
"BLADEN ","97  ALFORD DRIVE  , WHITE LAKE , NC","9","14","2011",-78.503898,34.633542
"BLADEN ","67  Godwin ROAD , WHITE LAKE , NC","1","15","2016",-78.49042,34.649288
"BRUNSWICK ","963  WILSON AVENUE  , CALABASH , NC","1","13","2010",-78.5595598,33.8970416
"BRUNSWICK ","3331 SANDY HILLS DR , LELAND , NC","2","14","2005",-78.109,34.339612
"BRUNSWICK ","2919 JEREMY ST , SUPPLY , NC","12","8","2004",-78.336284,33.929703
"BRUNSWICK ","2560 SOUTHWEST ELKIN STREET , SUPPLY , NC","6","16","2012",-78.272316,33.943739
"BUNCOMBE ","1055 LOWER FLAT CREEK RD , ALEXANDER , NC","6","10","2004",-82.615173,35.742861
"BUNCOMBE ","10 LONGHORN LN , ALEXANDER , NC","2","8","2005",-82.6365922,35.6987805
"BUNCOMBE ","193 REDBIRD LANE , ARDEN , NC","12","6","2006",-82.508045,35.4829719
"BUNCOMBE ","483 CARIBOU RD , ASHEVILLE , NC","9","3","2004",-82.525769,35.5479399
"BUNCOMBE ","9 WEDGEFIELD DR 503 , ASHEVILLE , NC","11","18","2004",-82.6065627,35.5331623
"BUNCOMBE ","40 FLYNN BRANCH RD , ASHEVILLE , NC","12","3","2004",-82.607863,35.638961
"BUNCOMBE ","100 TUNNEL RD 22 , ASHEVILLE , NC","12","7","2004",-82.5311794,35.593874
"BUNCOMBE ","692 SAND HILL RD , ASHEVILLE , NC","4","21","2005",-82.615805,35.56033
"BUNCOMBE ","378 MACEDONIA RD , ASHEVILLE , NC","11","12","2005",-82.618829,35.640805
"BUNCOMBE ","1 PINNERS COVE ROAD , ASHEVILLE , NC","10","18","2006",-82.5051199,35.4935534
"BUNCOMBE ","48 HANSEL AVENUE , ASHEVILLE , NC","2","7","2007",-82.5837032,35.5905868
"BUNCOMBE ","114-B BELMONT AVENUE , ASHEVILLE , NC","8","30","2007",-82.6049086,35.5780389
"BUNCOMBE ","566  DEAVERVIEW ROAD  , ASHEVILLE , NC","10","25","2012",-82.6357704,35.5827984
"BUNCOMBE ","118  BENSON ROAD  , ASHEVILLE , NC","11","20","2012",-82.643812,35.580999
"BUNCOMBE ","278 NORTH FORK ROAD , BARNARDSVILLE , NC","4","18","2007",-82.43881,35.7863
"BUNCOMBE ","6 AVENA STREET , BLACK MOUNTAIN , NC","6","29","2007",-82.3484321,35.609307
"BUNCOMBE ","375 MORGAN RD , CANDLER , NC","1","9","2004",-82.7087598,35.5569692
"BUNCOMBE ","145 RIDGEDALE LANE , CANDLER , NC","7","25","2006",-82.717841,35.582296
"BUNCOMBE ","2682 LEICESTER HWY , LEICESTER , NC","6","18","2004",-82.6902209,35.650822
"BUNCOMBE ","305 POTATO BRANCH RD , LEICESTER , NC","10","8","2004",-82.754928,35.622883
"BUNCOMBE ","16 PARHAM HILL DR , LEICESTER , NC","4","18","2005",-82.6682881,35.6421831
"BUNCOMBE ","48 GREEN VALLEY ROAD , LEICESTER , NC","2","8","2007",-82.717508,35.650803
"BUNCOMBE ","110 FRANKLIN ROAD , SWANNANOA , NC","6","24","2004",-82.411202,35.600449
"BUNCOMBE ","44 SPANKEY RD , SWANNANOA , NC","7","26","2005",-82.439445,35.587803
"BUNCOMBE ","41 ALLMAN HILL RD LOT 4 , WEAVERVILLE , NC","1","15","2004",-82.5519473,35.7624614
"BUNCOMBE ","23 MONTIE JONES RD , WEAVERVILLE , NC","8","3","2004",-82.5606851,35.6970547
"BUNCOMBE ","400 SHEPPARD BRANCH ROAD , WEAVERVILLE , NC","8","10","2006",-82.591229,35.74818
"BUNCOMBE ","94 CHURCH STREET , WEAVERVILLE , NC","6","23","2008",-82.569241,35.699329
"BURKE ","7172  HILDEBRAND MOUNTAIN AVENUE  , CONNELLY SPRINGS , NC","9","7","2010",-81.6073376,35.5957858
"BURKE ","7172  HILDEBRAN MOUNTAIN AVENUE  , CONNELLY SPRINGS , NC","12","14","2010",-81.491538,35.6997069
"BURKE ","6618  DEERFIELD LANE  , CONNELLY SPRINGS , NC","2","3","2011",-81.50824,35.651834
"BURKE ","6618  DEERFIELD LANE  , CONNELLY SPRINGS , NC","2","3","2011",-81.50824,35.651834
"BURKE ","6570  CAMP MEETING ROAD  , CONNELLY SPRINGS , NC","8","24","2011",-81.506956,35.625453
"BURKE ","404  PARK AVENUE , DREXEL , NC","10","12","2011",-81.607704,35.754216
"BURKE ","103  APARTMENT STREET E , DREXEL , NC","4","11","2013",-81.607463,35.7566909
"BURKE ","2326  JACK LONDON STREET  , HICKORY , NC","7","21","2011",-81.4150909,35.7512924
"BURKE ","208 EAST HIGHWAY 70  F , HILDEBRAN , NC","1","5","2012",-81.4236815,35.715305
"BURKE ","5102 WILLIE RAY DR , MORGANTON , NC","3","26","2004",-81.8017294,35.6903859
"BURKE ","5641 JOHN REEP ST , MORGANTON , NC","7","21","2004",-81.8429883,35.6524132
"BURKE ","4897 BERKLEY ST , MORGANTON , NC","7","24","2004",-81.766829,35.674785
"BURKE ","1456 CONLEY RD , MORGANTON , NC","8","4","2004",-81.769587,35.679146
"BURKE ","4081 DAIRY AVE , MORGANTON , NC","8","11","2004",-81.8015443,35.7940309
"BURKE ","4392 VALLEY TRL , MORGANTON , NC","9","23","2004",-81.806703,35.68808
"BURKE ","5102 WILLY RAY DR , MORGANTON , NC","9","23","2004",-81.8017294,35.6903859
"BURKE ","2771 HOLLYBROOK LN , MORGANTON , NC","10","13","2004",-81.757819,35.815638
"BURKE ","3956 PRITCHARD DR , MORGANTON , NC","10","27","2004",-81.8363336,35.6975329
"BURKE ","3988 PRITCHARD DR , MORGANTON , NC","10","27","2004",-81.8364046,35.6971501
"BURKE ","2035 U.S. 70 W , MORGANTON , NC","11","20","2004",-81.8234661,35.7006629
"BURKE ","2745 JAMES TOWN RD , MORGANTON , NC","3","5","2005",-81.803408,35.693869
"BURKE ","3930 SMAWLEY ST , MORGANTON , NC","4","4","2005",-81.8320207,35.6968375
"BURKE ","105 SARA LN 1 , MORGANTON , NC","6","9","2005",-81.6615286,35.7071547
"BURKE ","3930 SMAWLEY ST , MORGANTON , NC","7","7","2005",-81.8320207,35.6968375
"BURKE ","1726 SUBURBAN DR LOT 22 , MORGANTON , NC","7","17","2005",-81.6753198,35.6942781
"BURKE ","132 AIRPARK DR 8-E , MORGANTON , NC","2","15","2006",-81.7226313,35.7367188
"BURKE ","1702 SCENIC VIEW LANE , MORGANTON , NC","4","13","2006",-81.749444,35.797694
"BURKE ","196 BAKER STREET , MORGANTON , NC","9","17","2007",-81.642666,35.7385639
"BURKE ","2353 WEST US HIGHWAY 70 5 , MORGANTON , NC","9","20","2007",-81.8381793,35.6985082
"BURKE ","4909  UNCLE FREDS PLACE  , MORGANTON , NC","1","28","2010",-81.830518,35.81116
"BURKE ","215-B  GLENDALE STREET  , MORGANTON , NC","1","28","2010",-81.739049,35.737004
"BURKE ","119  NORMANDY DRIVE  , MORGANTON , NC","6","17","2010",-81.740729,35.735327
"BURKE ","859  VINE ARDEN ROAD  , MORGANTON , NC","3","1","2011",-81.6848188,35.7454071
"BURKE ","500  STERLING STREET  , MORGANTON , NC","3","6","2011",-81.683577,35.742066
"BURKE ","248  NORTH ANDERSON STREET  , MORGANTON , NC","3","8","2011",-81.698263,35.7453239
"BURKE ","156  B AND D AVENUE # 2 , MORGANTON , NC","5","2","2011",-58.0071526,-34.9562049
"BURKE ","3235  CRAWLEY HIGGINS AVENUE  , MORGANTON , NC","5","6","2011",-81.769554,35.676705
"BURKE ","LOT 12 5/28/2011, MORGANTON , NC","",NA,NA,-81.7896718,35.6886371
"BURKE ","4357  VALLEY TRAIL CROSSING  8/25/2011, MORGANTON , NC","",NA,NA,-81.805441,35.687198
"BURKE ","4161  RIVER ROAD  9/13/2011, MORGANTON , NC","",NA,NA,-81.574718,35.664014
"BURKE ","1986 EAST 70 HIGHWAY 12/15/2011, MORGANTON , NC","",NA,NA,-81.6393049,35.7501149
"BURKE ","108  EAST AVENUE  11/5/2013, MORGANTON , NC","",NA,NA,-81.6847698,35.7516864
"BURKE ","205  JEFFERSON STREET 4/12/2014, MORGANTON , NC","",NA,NA,-81.6953869,35.7488807
"BURKE ","4451  OLD HWY 18  4/25/2014, MORGANTON , NC","",NA,NA,-81.6451054,35.6794039
"BURKE ","3264  PYATT STREET  3/3/2011, VALDESE , NC","",NA,NA,-81.563149,35.7406864
"CABARRUS ","1020 NORTHWEST CROWN POINT CIRCLE 10/27/2007, CONCORD , NC","",NA,NA,-80.6276839,35.4112863
