"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ADAMS ","13090 NORTH FLORENCE STREET , , NE","NE",9,7,2006,-98.5767406,40.6852428
"ANTELOPE ","300 GRANT ST , OAKDALE , NE","NE",9,28,2005,-97.9655974,42.0705164
"BUFFALO ","205 NORTH MILL STREET , ELM CREEK , NE","NE",1,22,2008,-91.7531834,43.8124312
"BUFFALO ","702 48TH E ST , KEARNEY , NE","NE",10,2,2004,-99.07242,40.7235859
"BUFFALO ","1712 AVENUE G , KEARNEY , NE","NE",10,24,2005,-99.0722945,40.6913846
"BUFFALO ","2005 THIRD AVE , KEARNEY , NE","NE",4,5,2006,-99.0858296,40.6956785
"BUFFALO ","4664 WEST 30 HIGHWAY APT 62 , KEARNEY , NE","NE",11,10,2007,-99.1412352,40.6987502
"BURT ","720 SOUTH 11TH STREET , TEKAMAH , NE","NE",5,25,2004,-96.2185248,41.7709516
"CASS ","245 MAIN ST , ALVO , NE","NE",7,14,2005,-96.387949,40.872746
"CASS ","13514 WALLACE , PLATTSMOUTH , NE","NE",1,5,2004,-95.862833,40.976258
"CASS ","615 SOUTH 9TH , PLATTSMOUTH , NE","NE",1,10,2004,-95.88961,41.005643
"CASS ","17404 CLUB VIEW DR , PLATTSMOUTH , NE","NE",3,21,2004,-95.9109816,41.0225539
"CASS ","921 2ND AVE , PLATTSMOUTH , NE","NE",6,17,2004,-95.890905,41.008848
"CASS ","2415 CHICAGO AVE 101 , PLATTSMOUTH , NE","NE",6,30,2004,-95.8966742,40.9866505
"CASS ","236 VALERIA DRIVE , PLATTSMOUTH , NE","NE",9,9,2004,-95.9110637,41.0556106
"CASS ","13109 30TH AVE , PLATTSMOUTH , NE","NE",11,10,2004,-95.863293,40.9713652
"CASS ","1726 1ST AVE , PLATTSMOUTH , NE","NE",2,25,2005,-95.900602,41.010561
"CASS ","317 (B) 8TH S ST , PLATTSMOUTH , NE","NE",3,1,2005,-95.888326,41.008516
"CASS ","613 2ND AVE , PLATTSMOUTH , NE","NE",3,24,2005,-95.886947,41.008831
"CASS ","720 1ST AVE , PLATTSMOUTH , NE","NE",5,20,2005,-95.888308,41.010478
"CASS ","123 9TH AVE , PLATTSMOUTH , NE","NE",11,17,2005,-95.879242,41.0010679
"CASS ","2425 SOUTH 15 STREET 36 , PLATTSMOUTH , NE","NE",3,6,2008,-95.895672,40.984658
"CASS ","915 5 AVENUE , PLATTSMOUTH , NE","NE",3,6,2008,-95.890679,41.005939
