"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"BELKNAP ","32 NORTHWEST DORIS DRIVE  , GILFORD , NH","NH",7,25,2012,-71.4033577,43.534382
"BELKNAP ","188  UNION STREET  , LACONIA , NH","NH",7,6,2011,-71.4657833,43.5297167
"GRAFTON ","229  PLEASANT STREET C , BRISTOL , NH","NH",9,5,2012,-71.7441691,43.5888423
"GRAFTON ","440 BOG ROAD , CAMPTON , NH","NH",6,13,2006,-71.7066621,43.8151319
"GRAFTON ","19 SUGAR SHACK RD , THORNTON , NH","NH",3,25,2005,-71.6666524,43.9030902
"GRAFTON ","12 ANDERSON HILL RD , THORNTON , NH","NH",8,31,2005,-71.6548979,43.8807509
"GRAFTON ","108 RTE 118 , WARREN , NH","NH",9,10,2004,-71.8900349,43.931777
"GRAFTON ","79 FRESCOLN RD , WENTWORTH , NH","NH",11,21,2005,-71.95013,43.8347009
"HILLSBOROUGH ","386  DUBUQUE STREET  , MANCHESTER , NH","NH",7,1,2013,-71.4777858,42.9928683
"HILLSBOROUGH ","287  LOWELL , MANCHESTER , NH","NH",4,10,2015,-71.4507363,42.99361
"HILLSBOROUGH ","123  AMHERST STREET 4 , NASHUA , NH","NH",2,23,2011,-71.482045,42.771437
"HILLSBOROUGH ","1  BURNS HILL ROAD  BOX #3 , NASHUA , NH","NH",4,23,2014,-2.2007757,51.4311578
"MERRIMACK ","118  FRONT ROAD , BOSCAWEN , NH","NH",6,20,2012,-71.636864,43.3243931
"MERRIMACK ","160  CENTRAL STREET APT B & C , FRANKLIN , NH","NH",4,6,2010,-71.3140703,42.2957176
"MERRIMACK ","63  SULLIVAN STREET 2ND FL , MANCHESTER , NH","NH",10,2,2013,-71.4758226,42.9891216
"ROCKINGHAM ","34  ANTHONY DRIVE  , LONDONDERRY , NH","NH",11,21,2013,-71.4075766,42.8426034
"VALLEY ","1203 P ST , ORD , NH","NH",2,2,2005,-71.9183226,43.0987208
