"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"BERGEN ","2008 JONES RD , FORT LEE , NJ","NJ",3,13,2006,-73.9790357,40.8573032
"CAMDEN ","131  BREWER AVENUE , BLACKWOOD , NJ","NJ",8,5,2015,-75.0694098,39.8242762
"CAMDEN ","7  BODINE AVENUE  , BURLINGTON , NJ","NJ",2,9,2014,-74.824797,40.0899209
"CAMDEN ","903 KOEHLER STREET , GLOUCESTER CITY , NJ","NJ",5,27,2004,-75.1213021,39.8870698
"CUMBERLAND ","747 GARTON ROAD , BRIDGETON , NJ","NJ",5,24,2007,-75.170516,39.4774937
"CUMBERLAND ","324  LEBANON ROAD , MILLVILLE , NJ","NJ",1,17,2012,-75.150177,39.447474
"MERRIMACK ","78 CARTER MOUNTAIN RD , CONCORD , NJ","NJ",6,13,2005,-74.4056612,40.0583238
"MONMOUTH ","94 GRAVEL HILL RD , FREEHOLD , NJ","NJ",11,22,2005,-74.322569,40.230935
"OCEAN ","986 CAPSTAN DR , FORKED RIVER , NJ","NJ",2,20,2008,-74.152528,39.842744
"OCEAN ","358 DEER LAKE COURT , MANAHAWKIN , NJ","NJ",11,2,2006,-74.2589967,39.7046535
