"COUNTY","FullAddress","Month","Date","Year","Longitude","Latitude"
"CARSON CITY (CITY) ","2710 MENLO DRIVE 9 , CARSON CITY , NV",11,13,2005,-119.737433,39.173586
"CLARK ","2807 SODORNO E LN , HENDERSON , NV",3,5,2004,-115.110195,36.037972
"CLARK ","233 CHOLLA S C-23 , HENDERSON , NV",3,11,2004,-114.9772947,36.0421445
"CLARK ","1191  CASA PALERMO, HENDERSON , NV",5,8,2009,-114.930838,36.083589
"CLARK ","3914 PERRY ST C , LAS VEGAS , NV",1,16,2004,-115.0629295,36.1179538
"CLARK ","2990 CEDAR , LAS VEGAS , NV",1,25,2004,-115.102833,36.155938
"CLARK ","3536 UNIQUE N WAY , LAS VEGAS , NV",1,27,2004,-115.260877,36.225053
"CLARK ","1620 SAN PEDRO AVE , LAS VEGAS , NV",2,11,2004,-115.129649,36.144985
"CLARK ","8400 ABITA CIR , LAS VEGAS , NV",2,18,2004,-115.274582,36.101397
"CLARK ","2159 ENFIELD CIR A , LAS VEGAS , NV",3,17,2004,-115.020833,36.198332
"CLARK ","1425 MALLARD N , LAS VEGAS , NV",3,27,2004,-115.223102,36.186886
"CLARK ","3367 RIO GRANDE , LAS VEGAS , NV",3,28,2004,-115.097757,36.220778
"CLARK ","5204 ALPINE PL , LAS VEGAS , NV",3,28,2004,-115.213121,36.160295
"CLARK ","3850 MOUNTAIN VISTA S 172 , LAS VEGAS , NV",4,10,2004,-115.074589,36.11985
"CLARK ","4205 TROPICANA W AVE B-3017 , LAS VEGAS , NV",4,10,2004,-115.1959506,36.0999556
"CLARK ","5550 PLEASANT HILL SR 202 , LAS VEGAS , NV",5,6,2004,-115.1398296,36.1699412
"CLARK ","3890 GRAPHIC CENTER W DR , LAS VEGAS , NV",5,14,2004,-115.1926643,36.1003504
"CLARK ","920 MARTIN L KING S BLVD , LAS VEGAS , NV",5,25,2004,-115.1608766,36.161323
"CLARK ","7230 LAS VEGAS S BLVD 373 , LAS VEGAS , NV",5,28,2004,-115.171103,36.05824
"CLARK ","4025 PALOS VERDES 116 , LAS VEGAS , NV",6,8,2004,-115.1506555,36.1163039
"CLARK ","5025 WASHINGTON W AVE , LAS VEGAS , NV",6,15,2004,-115.209851,36.180705
"CLARK ","5249 WILLOWHAVEN AVE , LAS VEGAS , NV",6,17,2004,-115.091233,36.094146
