"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ALBANY ","1080  ROUTE 9  , LATHAM , NY","NY",3,14,2011,-73.745956,42.781369
"ALBANY ","90  HOWARD STREET  BOX APT 305 , WELLSVILLE , NY","NY",9,4,2014,-77.948057,42.122012
"ALLEGANY ","4823  BYRNE ROAD  , ALMA , NY","NY",12,11,2012,-78.005644,42.08448
"ALLEGANY ","729 SNOW ROAD , INDEPENDENCE , NY","NY",4,12,2012,-77.776181,42.014919
"ALLEGANY ","7290 RAWSON ROAD , NEW HUDSON , NY","NY",2,22,2012,-78.300973,42.268871
"ALLEGANY ","23 SOUTH MAIN STREET, APT. 6 , WELLSVILLE , NY","NY",1,26,2012,-77.943437,42.119552
"ALLEGANY ","23 SOUTH MAIN STREET, APT.6 , WELLSVILLE , NY","NY",1,26,2012,-77.943437,42.119552
"ALLEGANY ","25 MADISON STREET, APT. 7 , WELLSVILLE , NY","NY",1,26,2012,-77.947426,42.122428
"ALLEGANY ","22  ELM STREET  , WELLSVILLE , NY","NY",7,26,2013,-77.951862,42.12484
"ALLEGANY  "," 1440 KANSAS HOLLOW ROAD , BOLIVAR , NY","NY",11,21,2012,-78.144533,42.06292
"BRONX ","2280 OLINVILLE AVENUE , BRONX , NY","NY",7,5,2006,-73.868254,40.85995
"BROOME ","470 CONKLIN HILL RD , BARKER , NY","NY",2,10,2006,-75.860868,42.278844
"BROOME ","265 JOYNER ROAD , BARKER , NY","NY",3,21,2006,-75.929181,42.286565
"BROOME ","6480 STATE ROUTE 79 , BARKER , NY","NY",11,24,2010,-75.838718,42.243363
"BROOME ","426 CONKLIN AVE , BINGHAMTON , NY","NY",2,14,2006,-75.876441,42.100578
"BROOME ","21  GREEN MEADOW LANE  , BINGHAMTON , NY","NY",7,23,2013,-75.837455,42.184143
"BROOME ","23  BLANCHARD AVENUE , BINGHAMTON , NY","NY",8,26,2014,-75.896415,42.122638
"BROOME ","33  EVANS STREET , BINGHAMTON , NY","NY",12,14,2014,-75.896916,42.09302
"BROOME ","330  rabbit PATH , BINGHAMTON , NY","NY",3,9,2016,-76.027075,42.278237
"BROOME ","9007  MILL STREET , CAMDEN , NY","NY",8,4,2015,-75.763413,43.337713
"BROOME ","304  WASHBURN DRIVE , DEWITTVILLE , NY","NY",7,11,2015,-79.445325,42.239225
"BROOME ","87 SKY ISLAND DR , ENDICOTT , NY","NY",2,10,2006,-76.057598,42.105246
"BROOME ","422  FIRTH STREET , ENDICOTT , NY","NY",8,20,2014,-76.071683,42.095136
"BROOME ","284  HUNT HILL , HASTINGS , NY","NY",8,1,2015,-73.866081,40.959794
"BROOME ","22 CAMDEN STREET , JOHNSON CITY , NY","NY",11,24,2006,-75.97767,42.114561
"BROOME ","0403  ENDICOTT AVENUE , JOHNSON CITY , NY","NY",7,25,2014,-75.95223,42.111576
"BROOME ","631 MT. HUNGER ROAD , LISLE , NY","NY",10,18,2012,-76.05145,42.333213
"BROOME ","38 HOSKINS RD , MAINE , NY","NY",9,21,2005,-76.087645,42.250869
"BROOME ","38 HOSKIN RD , MAINE , NY","NY",2,9,2006,-76.087645,42.250869
"BROOME ","47 TOWN ROAD , MAINE , NY","NY",9,9,2009,-76.061012,42.250828
"BROOME ","453 PAYNE MARSH ROAD , RICHFORD , NY","NY",8,14,2008,-76.177413,42.351686
"BROOME ","223  WILSON AVENUE , UNION , NY","NY",10,20,2014,-76.036368,42.112937
"BROOME ","5176 SR 26 ST , WHITNEY POINT , NY","NY",4,17,2004,-75.964095,42.33517
"BROOME ","2621  LIBERTY STREET APT. 2 , WHITNEY POINT , NY","NY",3,16,2010,-75.968524,42.327821
"CATTARAUGUS ","390  MELLON ROAD , AMBOY , NY","NY",1,2,2015,-75.901866,43.394084
"CATTARAUGUS ","4520  FIVE MILE ROAD  , HUMPHREY , NY","NY",1,16,2013,-78.467374,42.191776
"CATTARAUGUS ","615  YANKEE HILL ROAD  , ISCHUA , NY","NY",7,11,2012,-78.396172,42.250021
"CATTARAUGUS "," SOUTH COURT STREET , LITTLE VALLEY , NY","NY",8,17,2014,-78.797655,42.250016
"CATTARAUGUS ","525  CLARK STREET , WAVERLY , NY","NY",6,23,2015,-76.544367,42.005689
"CAYUGA ","69 OWASCO STREET , AUBURN , NY","NY",4,13,2012,-76.557939,42.929358
"CAYUGA ","37  OLYMPIA AVENUE APT. A16 , AUBURN , NY","NY",5,9,2013,-76.57973,42.946705
"CAYUGA ","5426 MURPHY HILL ROAD , MORAVIA , NY","NY",12,7,2006,-76.383213,42.774758
"CAYUGA ","3075 GUNN ROAD , VENICE , NY","NY",11,2,2009,-76.538874,42.686668
"CAYUGA ","3068 GUNN ROAD , VENICE , NY","NY",11,2,2009,-76.541691,42.68665
"CHAUTAUQUA ","319  RACE STREET , CHITTENANGO , NY","NY",4,23,2015,-75.867953,43.048871
"CHAUTAUQUA ","10 WINDSOR STREET, APT. 2 , JAMESTOWN , NY","NY",4,6,2012,-71.373265,41.493891
"CHAUTAUQUA ","49 COLLINS AVENUE , JAMESTOWN , NY","NY",5,3,2012,-79.212334,42.082733
"CHAUTAUQUA ","144 BROADHEAD AVENUE , JAMESTOWN , NY","NY",5,3,2012,-79.236106,42.086331
"CHAUTAUQUA ","181  BARROWS STREET  , JAMESTOWN , NY","NY",4,17,2013,-79.225735,42.095395
"CHAUTAUQUA ","519  FOREST AVENUE , JAMESTOWN , NY","NY",8,12,2014,-79.243165,42.08194
