"COUNTY","FullAddress","Month","Date","Year","lon","lat"
"ADAMS "," 21805 STATE ROUTE 125 , BLUE CREEK , OH",5,8,2002,-83.329233,38.776759
"ADAMS ","99 WILLIAM TAYLOR ROAD , LYNX , OH",10,19,2009,-84.181263,39.944161
"ADAMS ","202 EAST FIFTH STREET , MANCHESTER , OH",2,28,2009,-83.60861,38.689328
"ADAMS ","923 PUMPKIN RIDGE ROAD , MANCHESTER , OH",8,21,2010,-83.555453,38.736044
"ADAMS ","1764  136 , MANCHESTER , OH",1,24,2015,-83.574357,38.698772
"ADAMS ","350 FIELDS HOLLOW RD , PEEBLES , OH",1,2,2001,-83.253324,39.081012
"ADAMS ","2600 PARKER RIDGE RD , PEEBLES , OH",2,15,2003,-83.386278,39.03786
"ADAMS ","32505 STATE ROUTE 41 , PEEBLES , OH",9,15,2003,-83.381734,39.02554
"ADAMS ","18 SMALLEY ROAD , PEEBLES , OH",5,4,2007,-83.463027,38.965914
"ADAMS ","4910 LAWSHE ROAD , PEEBLES , OH",11,9,2008,-83.468669,38.956495
"ADAMS ","304 VINE ST , SEAMAN , OH",1,20,2003,-83.575715,38.940423
"ADAMS ","386A MARK TILGER ROAD , SEAMAN , OH",10,30,2004,-83.604144,38.975373
"ADAMS ","386 (b) MARK TILGER RD , SEAMAN , OH",10,30,2004,-83.604144,38.975373
"ADAMS ","26  LEWIS , SEAMAN , OH",1,12,2015,-83.567057,38.935223
"ADAMS ","210 RICE DR 19 , WEST UNION , OH",5,24,2001,-83.565264,38.776988
"ADAMS ","466 CHAPARRAL RD , WEST UNION , OH",5,27,2002,-83.610187,38.838425
"ADAMS ","222 RICE DR 3 , WEST UNION , OH",8,8,2002,-83.565191,38.776927
"ADAMS ","147 OVER DR , WEST UNION , OH",5,26,2003,-83.53267,38.817682
"ADAMS ","100 CHESLEY , WEST UNION , OH",9,12,2003,-83.528793,38.801759
"ADAMS ","992 EAGLE CREEK ROAD , WEST UNION , OH",3,12,2009,-83.613557,38.763733
"ADAMS ","409 PLUM STREET , WEST UNION , OH",5,11,2010,-83.542881,38.797715
"ADAMS ","191(a) WINCHESTER RUSSELLVILLE RD , WINCHESTER , OH",3,1,2005,-83.680449,38.909716
"ADAMS ","1365MATHIAS ROAD , WINCHESTER , OH",6,25,2007,-82.307482,38.504323
"ALLEN ","826 FINDLAY ROAD , LIMA , OH",5,25,2006,-84.093994,40.752586
"ALLEN ","633 SOUTH PRIMEROSE PLACE , LIMA , OH",9,15,2007,-84.142925,40.733447
"ALLEN ","1820 SOUTH WAPAK ROAD , LIMA , OH",3,7,2009,-84.204254,40.719874
"ALLEN ","124 PILGRIM TRAIL , LIMA , OH",7,23,2009,-84.042972,40.730257
"ALLEN ","1409 WILSON , LIMA , OH",12,30,2009,-84.148371,40.722121
"ALLEN ","916 CRAYTON , LIMA , OH",12,30,2009,-84.146912,40.723217
"ALLEN ","530 EAST KIBBY STREET  , LIMA , OH",1,11,2013,-84.098011,40.730279
