"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ADAIR ","1521 N LEWIS PLACE , ACHILLE , OK","OK",1,20,2015,-96.3872105,33.8334343
"ADAIR ","26676 EAST 888 ROAD  , BUNCH , OK","OK",7,10,2006,-94.841514,35.7342293
"ADAIR ","120 NORTH 7TH STREET  , STILWELL , OK","OK",7,2,2007,-94.6342636,35.8165511
"ADAIR ","120 SOUTH SEVENTH, STILWELL , OK","OK",8,22,2007,-94.6342636,35.8165511
"ADAIR ","6  RURAL ROUTE  1605 , STILWELL , OK","OK",9,6,2007,-94.6285553,35.81453
"ADAIR ","1  CHEROKEE RURAL ROUTE, WATTS , OK","OK",11,6,2007,-94.5702202,36.1092487
"ADAIR ","315  3RD STREET  , WATTS , OK","OK",10,18,2012,-94.5751589,36.1074465
"ADAIR ","101 10 CHERRY E, WESTVILLE , OK","OK",3,26,2001,-94.5688486,35.9956252
"ADAIR ","506 SOUTH 2ND STREET  , WESTVILLE , OK","OK",6,21,2007,-94.5630483,35.9862673
"ADAIR ","103  CHERRY 104 , WESTVILLE , OK","OK",8,31,2011,-94.5686345,35.9954889
"ADAIR ","317  MAPLE STREET  , WESTVILLE , OK","OK",8,31,2011,-94.575572,35.9907886
"ADAIR ","415  2ND STREET  , WESTVILLE , OK","OK",8,22,2012,-94.5638627,35.9911528
"ALFALFA ","419  WALNUT, ALINE , OK","OK",8,15,2011,-98.4480108,36.5075909
"ATOKA ","105 VOCA SW RD, ATOKA , OK","OK",5,3,2002,-96.218584,34.2442543
"ATOKA ","1302 11TH E, ATOKA , OK","OK",1,10,2003,-96.1157648,34.3770876
"BEAVER ","910 G  AVE 5, BEAVER , OK","OK",3,7,2002,-100.5235324,36.808347
"BEAVER ","14 OF ELMWOOD HY 412 E, ELMWOOD , OK","OK",5,7,2002,-100.5226468,36.6164172
"BECKHAM ","301 3RD S, CARTER , OK","OK",4,2,2002,-99.5019119,35.2179659
"BECKHAM ","230 SHELL, ELK CITY , OK","OK",2,2,2002,-99.4021036,35.4202052
"BECKHAM ","1200 VAN BUREN S  77, ELK CITY , OK","OK",3,11,2002,-99.3996841,35.3984754
"BECKHAM ","508 D W AVE, ELK CITY , OK","OK",4,26,2002,-99.4098525,35.4174496
"BECKHAM ","  820 OLIVER N, ELK CITY , OK","OK",7,9,2003,-99.4108975,35.4176584
"BECKHAM ","  309 ADAMS S, ELK CITY , OK","OK",10,29,2003,-99.4075185,35.4083637
"BECKHAM ","  1202 BOONE S, ELK CITY , OK","OK",11,18,2003,-99.4128121,35.4036412
"BECKHAM ","  303 HOOVER  CIR, ELK CITY , OK","OK",12,4,2003,-99.408159,35.4295577
"BECKHAM ","  1907 AVE B W, ELK CITY , OK","OK",1,24,2004,-99.4280363,35.4158146
"BECKHAM ","  310 WALKER S, ELK CITY , OK","OK",2,19,2004,-99.409769,35.408468
"BECKHAM ","622 WEST EAST AVENUE  , ELK CITY , OK","OK",2,21,2009,-99.4111925,35.4183687
"BECKHAM ","  112 PINE S ST, ERICK , OK","OK",4,4,2002,-99.8640864,35.2142005
"BECKHAM ","  102 PINE S, ERICK , OK","OK",6,23,2004,-99.8640864,35.2142005
"BECKHAM ","  611 SISSON E, SAYRE , OK","OK",11,11,2003,-99.6334399,35.2996646
"BRYAN ","  3450 PIPELINE  RD, BENNINGTON , OK","OK",2,1,2004,-95.9581809,33.9826498
"BRYAN ","  64 DAISY MAE, BLUE , OK","OK",9,14,2004,-96.2268589,33.99566
"BRYAN ","  602 RUSSELL  ST, CADDO , OK","OK",5,15,2004,-96.2683731,34.1271311
"BRYAN ","  407 CHOCTAW S, CADDO , OK","OK",6,9,2004,-96.2685607,34.1233729
"BRYAN ","  618 MCKINLEY S ST  311, CALERA , OK","OK",3,27,2001,-96.4336356,33.9298404
"BRYAN ","  513 RYAN E ST, CALERA , OK","OK",4,23,2001,-96.423106,33.93161
"BRYAN ","  RT1 WILUFA WOODS  RD  52, CARTWRIGHT , OK","OK",11,21,2003,-96.5617912,33.8528917
"BRYAN ","  593 4TH  AVE, CARTWRIGHT , OK","OK",1,12,2004,-96.562308,33.858014
"BRYAN ","  2569 SAND CREEK  RD, CARTWRIGHT , OK","OK",9,27,2005,-96.5627984,33.867011
"BRYAN ","34  DERRYBERRY LANE  , CARTWRIGHT , OK","OK",7,27,2007,-96.5634929,33.842684
"BRYAN ","220  COLLINS STREET  , COLBERT , OK","OK",7,15,2006,-96.5050795,33.8514914
"BRYAN ","  223 13TH N, DURANT , OK","OK",3,28,2001,-96.389686,33.9962159
"BRYAN ","  1901 MISSISSIPPIG75, DURANT , OK","OK",1,10,2002,-96.3979978,33.9898467
"BRYAN ","  1901 MISSISSIPPIH90, DURANT , OK","OK",1,29,2002,-96.3979978,33.9898467
"BRYAN ","  1312 6TH N ST 11, DURANT , OK","OK",3,3,2002,-96.378382,34.004013
"BRYAN ","  401 13 S AVE, DURANT , OK","OK",9,8,2002,-96.391648,33.990726
"BRYAN ","  4805 9 S, DURANT , OK","OK",12,3,2002,-96.403704,33.9568055
"BRYAN ","  312 LOUISIANA  AVE, DURANT , OK","OK",12,18,2002,-96.380158,33.9885424
"BRYAN ","  505 GEORGIA E, DURANT , OK","OK",2,28,2003,-96.3669819,33.984294
"BRYAN ","  1016 LOUISIANA, DURANT , OK","OK",10,5,2003,-96.3884155,33.9901554
"BRYAN ","1614 SOUTH LONE OAK ROAD  , DURANT , OK","OK",11,1,2007,-96.321154,33.9742419
"BRYAN ","  134 KENEFIC  ST, KENEFIC , OK","OK",1,28,2004,-96.361826,34.1431405
"BRYAN ","284  CROWDER ROAD  , MEAD , OK","OK",7,12,2007,-96.531881,34.0392153
"BRYAN ","  54 FELTON  LN, WILLIFA WOODS , OK","OK",2,17,2006,-98.7481167,36.7181862
"CADDO ","  629 TOTTINGHAM W DR, ANADARKO , OK","OK",3,28,2001,-98.253187,35.060525
"CADDO ","  316 OKLAHOMA E ST, ANADARKO , OK","OK",5,27,2003,-98.2399707,35.0737404
"CADDO ","  6 MAIN E ST, CARNEGIE , OK","OK",4,18,2001,-98.6025999,35.1060534
"CADDO ","  324 BROADWAY S, CARNEGIE , OK","OK",5,19,2003,-98.6049238,35.1020831
"CADDO ","404 SOUTH CAROL, CARNEGIE , OK","OK",3,9,2010,-98.5961374,35.0981575
"CADDO ","402  6TH STREET  , FORT COBB , OK","OK",2,25,2007,-98.4412423,35.0991425
"CADDO ","  433 HUNT  ST, HYDRO , OK","OK",9,11,2000,-98.5746274,35.5477296
"CANADIAN ","  13508 ELM W, CALUMET , OK","OK",10,14,2001,-98.104908,35.5231039
"CANADIAN ","19915 WEST HWY 270, CALUMET , OK","OK",2,25,2006,-98.17894,35.61707
"CANADIAN ","  201 HOFF N ST, EL RENO , OK","OK",9,28,2000,-97.949783,35.534159
"CANADIAN ","  412 EVANS S ST, EL RENO , OK","OK",7,9,2002,-97.956417,35.529651
"CANADIAN ","  520 CHOCTAW S  B, EL RENO , OK","OK",2,10,2003,-97.955301,35.52848
"CANADIAN ","  500 HADDEN S, EL RENO , OK","OK",3,29,2003,-97.9617033,35.5293832
"CANADIAN ","  139 EL RENO N ST, EL RENO , OK","OK",5,12,2003,-97.945148,35.534591
"CANADIAN ","  2400 SUNSET S  LOT 7, EL RENO , OK","OK",10,27,2003,-97.981925,35.537602
"CANADIAN ","  1725 DILLIE S, EL RENO , OK","OK",2,17,2004,-97.957851,35.517123
"CANADIAN ","520 SOUTH CHOCTAW AVENUE  , EL RENO , OK","OK",4,18,2006,-97.955301,35.52848
"CANADIAN ","701 NORTH CHOCTAW AVENUE  , EL RENO , OK","OK",10,13,2009,-97.9553022,35.5388568
"CANADIAN ","  11730 MUSTANG S RD, MUSTANG , OK","OK",12,11,2000,-97.7245722,35.3502185
"CANADIAN ","  616 HIGHLAND S, MUSTANG , OK","OK",9,17,2001,-97.733662,35.386056
"CANADIAN ","  317 CAROL N TER, MUSTANG , OK","OK",11,5,2002,-97.696256,35.3940119
"CANADIAN ","  319 HILLCREST E LN, MUSTANG , OK","OK",3,31,2003,-97.718676,35.386604
"CANADIAN ","  219 HILLCREST E LN, MUSTANG , OK","OK",7,23,2003,-97.7215258,35.38637
"CANADIAN ","  2347 HIGHWAY 152 E, MUSTANG , OK","OK",8,31,2004,-97.674143,35.392654
"CANADIAN ","  5800 ALOHA  CT, MUSTANG , OK","OK",9,2,2004,-97.720424,35.409162
"CANADIAN ","  5306 MUSTANG S RD, OKLAHOMA CITY , OK","OK",3,3,2003,-97.724556,35.4116809
"CANADIAN ","  10500 23RD NW, OKLAHOMA CITY , OK","OK",6,5,2003,-97.7044768,35.4932313
"CANADIAN ","  9717 10 NW ST 339, OKLAHOMA CITY , OK","OK",9,16,2003,-97.6875448,35.4822035
"CANADIAN ","  112 GRAND  ST, UNION CITY , OK","OK",10,31,2003,-97.940986,35.390598
"CANADIAN ","  12026 16TH SW, YUKON , OK","OK",8,18,2000,-97.7377323,35.4486582
"CANADIAN ","  1008 ELM  ST, YUKON , OK","OK",12,6,2000,-97.759299,35.506578
"CANADIAN ","  105 CEDAR, YUKON , OK","OK",7,29,2001,-97.74457,35.5092027
"CANADIAN ","  220 7TH S ST, YUKON , OK","OK",3,27,2002,-97.753732,35.50538
"CANADIAN ","  12025 ASHFORD  DR, YUKON , OK","OK",1,21,2003,-97.7205094,35.5917889
"CANADIAN ","  911 2ND S ST, YUKON , OK","OK",1,23,2003,-97.7456218,35.4980529
"CANADIAN ","  106 CORNWELL S  1, YUKON , OK","OK",1,27,2003,-97.742206,35.506524
"CANADIAN ","  10309 BIRKENHEAD  RD, YUKON , OK","OK",9,9,2004,-97.700637,35.4539929
"CARTER ","  1426 RUTLEDGE SE ST, ARDMORE , OK","OK",11,3,2003,-97.12712,34.151885
"CARTER ","SUE MILLER  RD  291, LONE GROVE , OK","OK",4,25,2001,-97.2627946,34.1753716
"CARTER ","11700  PRAIRIE VALLEY ROAD  , LONE GROVE , OK","OK",7,26,2006,-97.3119714,34.2019616
"CARTER ","  301 ASH W, WILSON , OK","OK",9,30,2002,-97.4284327,34.1627269
"CHEROKEE ","  21115 WEST 888  RD, COOKSON , OK","OK",4,26,2005,-94.9319395,35.7280415
"CHEROKEE ","  107 NORTH ELM, HULBERT , OK","OK",4,16,2002,-95.1425438,35.9346796
"CHEROKEE ","  5037 770TH W RD, HULBERT , OK","OK",2,25,2003,-95.078452,35.9007301
"CHEROKEE ","10336 NORTH 427 ROAD , HULBERT , OK","OK",12,28,2011,-95.1205327,36.0269812
"CHEROKEE ","7723 WEST J B TEAGUE DRIVE  , HULBERT , OK","OK",7,11,2012,-95.1643865,35.9512125
"CHEROKEE ","  11019 530 N RD, MOODYS , OK","OK",5,31,2005,-94.9346879,36.0137545
"CHEROKEE ","  35144 488 N RD, PARK HILL , OK","OK",9,30,2002,-95.0230288,35.6666976
"CHEROKEE ","  313 BAILEY  BLVD, TAHLEQUAH , OK","OK",7,25,2001,-94.8882566,35.9819195
"CHEROKEE ","  15759 N BRYANT W RD, TAHLEQUAH , OK","OK",5,28,2002,-95.0113596,35.9480474
"CHEROKEE ","  310 1/2 B COLLEGE  ST, TAHLEQUAH , OK","OK",8,19,2002,-94.974504,35.9077219
"CHEROKEE ","  20455 WHIPPERWILL HOLLOW  RD, TAHLEQUAH , OK","OK",5,6,2003,-94.969956,35.91537
"CHEROKEE ","408 EAST NORMAL STREET , TAHLEQUAH , OK","OK",2,8,2012,-94.963758,35.918477
"CHEROKEE ","22013 SOUTH 497 ROAD  , TAHLEQUAH , OK","OK",10,10,2012,-95.0088515,35.8562341
"CHEROKEE ","24283 SOUTH WELLING ROAD  , WELLING , OK","OK",6,11,2007,-94.8816764,35.8251759
"CHOCTAW ","  112 CLAYTON W ST, HUGO , OK","OK",2,19,2002,-95.5129704,34.0123818
"CHOCTAW ","  707 E. LOWERY  ST, HUGO , OK","OK",10,11,2005,-95.5046704,34.0030885
"CHOCTAW ","  701 MAIN N ST, SOPER , OK","OK",4,26,2005,-95.6968196,34.0348258
"CLEVELAND ","  2128 NAIL PARKWAY, MOORE , OK","OK",2,24,2000,-97.4858926,35.3572709
"CLEVELAND ","  2712 YORKSHIRE  AVE, MOORE , OK","OK",3,25,2001,-97.5068638,35.3629113
"CLEVELAND ","  3804 COUNTRY CLUB S, MOORE , OK","OK",9,27,2002,-97.465457,35.302881
"CLEVELAND ","824 NORTHWEST 16TH STREET  , MOORE , OK","OK",8,27,2011,-97.504676,35.3525429
"CLEVELAND ","  901 MAGUIRE  RD 38, NOBLE , OK","OK",5,15,2001,-97.386763,35.13204
"CLEVELAND ","  906 QUANNAH PARKER TRAIL, NORMAN , OK","OK",2,3,2000,-97.4288459,35.250301
"CLEVELAND ","  112 HAYES W, NORMAN , OK","OK",3,1,2000,-97.4469359,35.232128
"CLEVELAND ","  313 INDIAN HILLS W RD, NORMAN , OK","OK",8,7,2000,-97.4455519,35.2908423
"CLEVELAND ","  213 MERCEDES S, NORMAN , OK","OK",7,27,2001,-97.468069,35.216788
"CLEVELAND ","  9351 142ND NE AVE, NORMAN , OK","OK",8,2,2001,-97.231781,35.33101
"CLEVELAND ","  101 MONTICELLO  RD, NORMAN , OK","OK",10,25,2001,-97.503581,35.218738
"CLEVELAND ","  1325 CROWN POINT  ST 6, NORMAN , OK","OK",4,21,2003,-97.4705409,35.2022975
"CLEVELAND ","1406  DORCHESTER DRIVE  , NORMAN , OK","OK",8,26,2009,-97.4577779,35.231987
"CLEVELAND ","3490 SOUTH CLASSEN BOULEVARD  , NORMAN , OK","OK",12,4,2009,-97.413981,35.175384
"CLEVELAND ","  10300 KEAR  DR, OKLAHOMA CITY , OK","OK",4,1,2002,-97.3233926,35.3638559
"CLEVELAND ","  15500 HARRAH S, OKLAHOMA CITY , OK","OK",12,11,2002,-97.157343,35.314334
"CLEVELAND ","  12700 141 SE ST, OKLAHOMA CITY , OK","OK",2,15,2003,-97.30531,35.326294
"CLEVELAND ","  10305 CASA LINDA  DR, OKLAHOMA CITY , OK","OK",2,18,2003,-97.526811,35.3661511
"CLEVELAND ","  14900 147TH SE, OKLAHOMA CITY , OK","OK",6,24,2003,-97.266597,35.321401
"CLEVELAND ","1308 EAST HILLS DRIVE  , OKLAHOMA CITY , OK","OK",7,20,2006,-97.4695882,35.3532343
"COAL ","  205 ODEN, COALGATE , OK","OK",12,30,2003,-96.2237732,34.5414597
"COMANCHE ","4703 NORTHEAST KING ROAD  , APACHE , OK","OK",2,17,2010,-98.3136588,34.8404736
"COMANCHE ","207 NORTHEAST LITTLE BEAR LOOP  , ELGIN , OK","OK",5,18,2009,-98.3873808,34.7488725
"COMANCHE ","  1419 BISHOP SW ST, LAWTON , OK","OK",1,23,2000,-98.410622,34.580153
"COMANCHE ","  911 11TH SW, LAWTON , OK","OK",9,9,2000,-98.405091,34.597685
"COMANCHE ","  2402 CORNELL S, LAWTON , OK","OK",11,2,2000,-98.425552,34.607679
"COMANCHE ","  613 EUCLID  ST, LAWTON , OK","OK",1,11,2001,-98.39802,34.615253
"COMANCHE ","  2406 12TH NW ST, LAWTON , OK","OK",4,25,2001,-98.406705,34.632969
"COMANCHE ","  1602 COLUMBIA NW ST 1, LAWTON , OK","OK",5,6,2001,-98.412728,34.612641
"COMANCHE ","  509 WASHINGTON SW AVE, LAWTON , OK","OK",5,7,2002,-98.396058,34.59354
"COMANCHE ","  4208 BEDFORD SE DR, LAWTON , OK","OK",3,24,2003,-98.337506,34.597018
"COMANCHE ","  2422 D SW AVE, LAWTON , OK","OK",9,25,2003,-98.426696,34.604107
"COMANCHE ","  1210 G SW AVE, LAWTON , OK","OK",1,23,2004,-98.407012,34.60035
"COMANCHE ","  4823 WINFIELD NE CIR, LAWTON , OK","OK",7,12,2004,-98.329219,34.613335
"COMANCHE ","824 NORTHWEST 20TH STREET  , LAWTON , OK","OK",8,12,2010,-98.419875,34.618734
"COMANCHE ","1525 NORTHWEST 43RD STREET  , LAWTON , OK","OK",3,18,2011,-98.446373,34.626589
"COMANCHE ","804 NORTHWEST ARLINGTON AVE, LAWTON , OK","OK",3,15,2013,-98.400385,34.609918
"CRAIG ","134  SAINTS CIRCLE  , VINITA , OK","OK",7,13,2006,-95.1541339,36.6386937
"CRAIG ","646 NORTH THOMPSON STREET  , VINITA , OK","OK",5,21,2009,-95.1511452,36.6496577
"CRAIG ","443454 EAST 320 ROAD  , VINITA , OK","OK",7,22,2010,-95.1048513,36.5539209
"CRAIG ","401 EAST ATTUCKS, VINITA , OK","OK",10,4,2011,-95.1516904,36.6307814
"CRAIG ","311 SOUTH BROWN STREET , VINITA , OK","OK",2,25,2012,-95.1677745,36.6387532
"CRAIG ","  156 FIRST W AVE, WELCH , OK","OK",8,18,2003,-95.0947189,36.8778566
"CRAIG ","  440 WASHINGTON S ST, WELCH , OK","OK",5,10,2004,-95.098833,36.8732756
"CREEK ","  33684 193 WEST S AVE, BRISTOW , OK","OK",12,5,2000,-96.210365,35.6742996
"CREEK ","  45470 151ST SOUTH W, BRISTOW , OK","OK",6,28,2001,-96.5013297,35.944815
"CREEK ","  402 3RD W, BRISTOW , OK","OK",5,31,2002,-96.3970159,35.829546
"CREEK ","  45470 151ST W ST, BRISTOW , OK","OK",8,29,2002,-96.5013297,35.944815
"CREEK ","  207 WASHINGTON E, BRISTOW , OK","OK",9,3,2002,-96.388087,35.827711
"CREEK ","6TH  ST 519, BRISTOW , OK","OK",7,28,2003,-96.383798,35.833131
"CREEK ","  20456 401 W S AVE, BRISTOW , OK","OK",8,15,2003,-96.4488928,35.8670844
"CREEK ","  20601 401 W S ST, BRISTOW , OK","OK",8,20,2003,-96.4407638,35.9011585
"CREEK ","351 SOUTH W, BRISTOW , OK","OK",8,28,2003,-96.254699,35.653454
"CREEK ","49189 WEST 142ND STREET  , BRISTOW , OK","OK",3,15,2006,-96.538931,35.935791
"CREEK ","9021/2 WEST 9TH STREET  , BRISTOW , OK","OK",9,20,2010,-96.3910541,35.8358075
"CREEK ","20270 SOUTH 401ST WEST AVENUE  , BRISTOW , OK","OK",11,6,2010,-96.4490299,35.868027
"CREEK ","  28587 465 WEST S AVE, DEPEW , OK","OK",8,15,2002,-96.505419,35.747998
"CREEK ","  949 SPRUDY S, DEPEW , OK","OK",4,27,2004,-96.5061215,35.8028493
"CREEK ","  205 BRISTOWN  ST, DRUMRIGHT , OK","OK",5,9,2001,-96.6073366,35.9897929
"CREEK ","  400 VIRGINIA S AVE, DRUMRIGHT , OK","OK",8,29,2002,-96.596294,35.985875
"CREEK ","  316 OHIO N ST, DRUMRIGHT , OK","OK",8,15,2003,-96.599142,35.991098
"CREEK ","  112 WOOD E, DRUMRIGHT , OK","OK",8,26,2003,-96.601107,35.985875
"CREEK ","118 EAST 4TH STREET  , DRUMRIGHT , OK","OK",2,6,2009,-96.601116,35.98128
"CREEK ","105 EAST 3RD STREET  , DRUMRIGHT , OK","OK",3,13,2010,-96.6018357,35.9824167
"CREEK ","47519 WEST 51ST STREET  , JENNINGS , OK","OK",2,24,2010,-96.5242267,36.0901202
"CREEK ","  17 1/2 BUFFALO W ST, KELLYVILLE , OK","OK",10,6,2000,-96.2168913,35.9435103
"CREEK ","  8235 127TH WEST S AVE, KELLYVILLE , OK","OK",9,19,2001,-96.2136136,35.9436968
"CREEK ","  16118 MAPLE  DR B, KELLYVILLE , OK","OK",10,13,2003,-96.1933774,35.9298983
"CREEK ","  18318 167TH W ST, KELLYVILLE , OK","OK",3,30,2004,-96.1972,35.921454
"CREEK ","26275 WEST 171ST STREET  , KELLYVILLE , OK","OK",8,2,2009,-96.2618907,35.9122442
"CREEK ","441 EAST ALLEN STREET  , KELLYVILLE , OK","OK",8,9,2010,-96.210969,35.945087
"CREEK ","20843  INDIAN ROAD  , KELLYVILLE , OK","OK",9,10,2010,-96.225671,35.902055
"CREEK ","14756 SOUTH 246TH WEST AVENUE  , KELLYVILLE , OK","OK",10,28,2010,-96.2136136,35.9436968
"CREEK ","18425 SOUTH 177TH W AVENUE  , KELLYVILLE , OK","OK",11,17,2010,-96.190344,35.8967389
"CREEK ","  207 BROADWAY W ST, KIEFER , OK","OK",7,26,2001,-96.0670672,35.943254
"CREEK ","112  STARK STREET  , KIEFER , OK","OK",3,27,2006,-96.0570348,35.9423039
"CREEK ","  125 GARDENIA  CIR  1040, MANNFORD , OK","OK",1,28,2001,-96.356256,36.122247
"CREEK ","369TH W AVE, MANNFORD , OK","OK",2,8,2001,-96.4050284,36.0666862
"CREEK ","  132 LAKE COUNTY, MANNFORD , OK","OK",3,15,2002,-96.340581,36.118544
"CREEK ","  39484 HIGHWAY 33 W, MANNFORD , OK","OK",8,7,2002,-96.4337189,36.0030304
"CREEK ","  36927 53 W, MANNFORD , OK","OK",1,2,2003,-96.2744342,36.0866745
"CREEK ","5822 SOUTH US HIGHWAY 48, MANNFORD , OK","OK",4,22,2009,-96.388289,36.080073
"CREEK ","8226 SOUTH HWY 48, MANNFORD , OK","OK",8,11,2010,-96.392213,36.044655
"CREEK ","3547 SOUTH 369TH W AVENUE  , MANNFORD , OK","OK",2,8,2012,-96.402269,36.112811
"CREEK ","  13145 EDWARDS  RD, MOUNDS , OK","OK",2,18,2000,-96.0606892,35.8715222
"CREEK ","  8430 183RD  ST, MOUNDS , OK","OK",2,1,2001,-96.0909485,35.8981336
"CREEK ","  358 220 N RD, MOUNDS , OK","OK",3,26,2003,-95.9797344,35.8510504
"CREEK ","18391 SOUTH 89TH WEST AVENUE  , MOUNDS , OK","OK",7,15,2010,-96.088211,35.896768
"CREEK ","117 EAST 5TH STREET  , MOUNDS , OK","OK",8,24,2010,-96.0583312,35.868348
"CREEK ","17639 SOUTH 49TH WEST AVENUE  , MOUNDS , OK","OK",11,3,2010,-96.0474388,35.9067718
"CREEK ","6300  W 61 STREET  , OAKHURST , OK","OK",3,28,2010,-96.0635771,36.075484
