"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"BAKER ","1351 INDIANA AVENUE , BAKER CITY , OR","OR",1,15,2004,-117.823538,44.764983
"BAKER ","3055 10TH ST 25 , BAKER CITY , OR","OR",3,14,2004,-117.841647,44.786863
"BAKER ","3265 14TH STREET , BAKER CITY , OR","OR",4,7,2004,-117.846864,44.788125
"BAKER ","107 EUREKA STREET , BAKER CITY , OR","OR",8,18,2004,-117.834385,44.774875
"BAKER ","2450 BROADWAY AVE 2 , BAKER CITY , OR","OR",12,14,2004,-117.83661,44.778389
"BAKER ","1724 CHERRY ST , BAKER CITY , OR","OR",1,4,2005,-117.81774,44.774753
"BAKER ","3455 AUBURN AVENUE , BAKER CITY , OR","OR",4,11,2005,-117.847988,44.774394
"BAKER ","2715 MAIN ST , BAKER CITY , OR","OR",10,3,2005,-117.830036,44.783809
"BAKER ","889 ELM ST , BAKER CITY , OR","OR",1,3,2006,-117.8279,44.766229
"BAKER ","15001 PROFITT , BAKER CITY , OR","OR",2,25,2008,-117.994624,44.838887
"BAKER ","277 NORTH PINE STREET , HALFWAY , OR","OR",4,8,2005,-117.113127,44.880192
"BENTON ","655 SE BELL AVE , CORVALLIS , OR","OR",3,6,2006,-123.261212,44.540239
"BENTON ","115 20TH S ST 3 , PHILOMATH , OR","OR",10,2,2004,-123.356958,44.539472
"BENTON ","24323 WALDEN , PHILOMATH , OR","OR",5,24,2006,-123.40274,44.5163
"CLACKAMAS ","19770 SOUTHEAST SUNNYSIDE ROAD , BORING , OR","OR",2,16,2004,-122.459587,45.417813
"CLACKAMAS ","15764 SE 322ND , BORING , OR","OR",10,25,2005,-122.331847,45.410046
"CLACKAMAS ","65500 E HIGHWAY 26 , CLACKAMAS , OR","OR",3,24,2004,-121.990971,45.356967
"CLACKAMAS ","16300 SOUTHEAST 224 HIGHWAY , CLACKAMAS , OR","OR",4,14,2004,-122.541628,45.407875
"CLACKAMAS ","11313 SE STEVEN RD , CLACKAMAS , OR","OR",4,24,2004,-122.563856,45.442176
"CLACKAMAS ","918 WEST WILLOW STREET , CLACKAMAS , OR","OR",6,29,2005,-122.551444,45.411208
"CLACKAMAS ","9805 CITADEL SE ST , CLACKAMAS , OR","OR",3,22,2006,-122.562159,45.408595
"CLACKAMAS ","10010 SOUTHEAST BRANDEIS STREET , CLACKAMAS , OR","OR",4,6,2007,-122.560044,45.408839
"CLACKAMAS ","28387 SOUTH COX ROAD , COLTON , OR","OR",2,16,2004,-122.364453,45.195867
"CLACKAMAS ","15550 SE BARLOW CT , DAMASCUS , OR","OR",1,28,2004,-122.446623,45.409944
"CLACKAMAS ","15902 SE RUBY DR , MILWAUKIE , OR","OR",11,16,2004,-122.640613,45.408956
"CLACKAMAS ","15710 SE FRANCIS ST , MILWAUKIE , OR","OR",12,19,2004,-122.616237,45.409591
"CLACKAMAS ","6306  King ROAD , MILWAUKIE , OR","OR",3,1,2016,-122.59788,45.447627
"CLACKAMAS ","21560 SOUTH 213 HIGHWAY , OREGON CITY , OR","OR",2,16,2004,-122.562367,45.294147
"CLACKAMAS ","13285 FORTUNA CT , OREGON CITY , OR","OR",9,14,2004,-122.593888,45.329703
"CLACKAMAS ","9911 SE 82ND AVE , PORTLAND , OR","OR",4,29,2004,-122.579067,45.451337
"CLACKAMAS ","11310 SE 82ND AVE , PORTLAND , OR","OR",6,2,2004,-122.568519,45.403961
"CLACKAMAS ","16456 SOUTHEAST SUN AVENUE , PORTLAND , OR","OR",2,19,2005,-122.607247,45.393253
"CLACKAMAS ","59040 SHINGLE E LN , SANDY , OR","OR",8,31,2004,-122.056481,45.382086
"COLUMBIA ","454 NORTH 10TH STREET , SAINT HELENS , OR","OR",9,1,2004,-122.810381,45.86859
