"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ALLEGHENY ","437  HICKMAN AVENUE  , BRIDGEVILLE , PA","PA",2,9,2010,-80.1171818,40.3588396
"ALLEGHENY ","250 AVENUE A , FOREST HILLS , PA","PA",8,24,2004,-79.844697,40.414055
"ALLEGHENY ","2816  CHESTER STREET  , MCKEESPORT , PA","PA",5,31,2010,-79.843456,40.34846
"ALLEGHENY ","987  DIANE DRIVES  , NORTH VERSAILLES , PA","PA",8,15,2012,-79.801105,40.368011
"ALLEGHENY ","443 ALTHEA ST , PITTSBURGH , PA","PA",8,26,2004,-79.998672,40.414497
"ALLEGHENY ","5615 CAMELIA STREET , PITTSBURGH , PA","PA",2,21,2006,-79.94349,40.482324
"ALLEGHENY ","164 LITTLE DEER CREEK RD , RURAL RIDGE , PA","PA",3,17,2005,-79.827445,40.589041
"BEAVER ","401  15TH STREET , NEW BRIGHTON , PA","PA",9,3,2014,-80.3068459,40.727853
"BEDFORD ","108  BROWELL RD STREET , EVERETT , PA","PA",6,4,2015,-78.3473474,40.0960853
"BEDFORD ","150 SUNSET LANE , MANNS CHOICE , PA","PA",6,28,2008,-78.6118757,40.0110113
"BEDFORD ","114 MAIN ST , OSTERBURG , PA","PA",2,10,2005,-78.511732,40.1506936
"BERKS ","1150 BEN FRANKLIN HIGHWAY , AMITY , PA","PA",5,13,2007,-75.7287151,40.2603143
"BERKS ","236  SOUTH 5TH STREET , READING , PA","PA",5,4,2015,-75.928576,40.331112
"BERKS ","2833 WILSON SCHOOL CT , SINKING SPRING , PA","PA",12,14,2004,-76.0096474,40.3152787
"BLAIR ","408 HUDSON E AVE , ALTOONA , PA","PA",2,5,2004,-78.3739393,40.5209234
"BLAIR ","1108  CROSS COVE , ROARING SPRING , PA","PA",5,4,2015,-78.3825992,40.2951857
"BRADFORD ","431 LONE MARY ROAD , NEW ALBANY , PA","PA",12,22,2006,-76.4418868,41.6000752
"BRADFORD ","SR706 MILLER CREEK E RD , STEVENSVILLE , PA","PA",1,22,2004,-76.1763192,41.7606309
