"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ABBEVILLE ","2587  HIGHWAY 20 , ABBEVILLE , SC","SC",9,30,2015,-82.379283,34.266156
"AIKEN ","354 DRAGSTRIP ROAD , AIKEN , SC","SC",10,14,2004,-81.792738,33.36665
"AIKEN ","420 HAMPTON AVENUE , AIKEN , SC","SC",4,22,2005,-81.710276,33.567145
"AIKEN ","988A  COLBERT BRIDGE ROAD  , AIKEN , SC","SC",2,17,2011,-81.612917,33.434657
"AIKEN ","988A  COLBERT BRIDGE ROAD  , AIKEN , SC","SC",2,17,2011,-81.612917,33.434657
"AIKEN ","47  HILLSBORO DRIVE , AIKEN , SC","SC",6,8,2012,-81.716769,33.611886
"AIKEN ","340  GOOSE PLATTER ROAD  , BATESBURG , SC","SC",7,6,2011,-81.499218,33.75899
"AIKEN ","43 WALL STREET , BATH , SC","SC",3,12,2008,-81.879247,33.498037
"AIKEN ","57 FORREST DRIVE , BEECH ISLAND , SC","SC",6,20,2006,-81.889792,33.404537
"AIKEN ","595 BEECH ISLAND AVENUE , BEECH ISLAND , SC","SC",7,12,2007,-81.870276,33.43889
"AIKEN ","635 ASHLEY CIRCLE , BELVEDERE , SC","SC",6,15,2006,-81.941207,33.545092
"AIKEN ","272 BREEZY HILL ROAD , BURNETTOWN , SC","SC",2,27,2006,-81.841452,33.565474
"AIKEN ","230A APACHE DRIVE , CLEARWATER , SC","SC",8,27,2007,-81.916999,33.50146
"AIKEN ","100  TURNBULL STREET  , GLOVERVILLE , SC","SC",5,20,2010,-81.826775,33.527518
"AIKEN ","199  BAKER STREET  , GLOVERVILLE , SC","SC",7,22,2012,-81.829201,33.516412
"AIKEN ","106 JOY STREET , GRANITEVILLE , SC","SC",3,12,2008,-81.816912,33.562078
"AIKEN ","288  MOTLOW DRIVE  , GRANITEVILLE , SC","SC",12,20,2010,-81.879014,33.526999
"AIKEN ","106  JOY STREET  , GRANITEVILLE , SC","SC",1,20,2011,-81.816912,33.562078
"AIKEN ","99 QUAIL RIDGE DRIVE , JACKSON , SC","SC",11,29,2007,-81.858096,33.377036
"AIKEN ","155 PEACH TWIGG RD , MONETTA , SC","SC",7,2,2004,-81.609549,33.850142
"AIKEN ","1689  OLD SHOALS ROAD  , MONETTA , SC","SC",7,19,2010,-81.542054,33.746241
"AIKEN ","220  FAIRLANE AVENUE  , NEW ELLENTON , SC","SC",10,4,2011,-81.677727,33.403619
"AIKEN ","905A FAIRWAY AVENUE , NORTH AUGUSTA , SC","SC",1,12,2005,-81.975699,33.502785
"AIKEN ","905B FAIRWAY AVENUE , NORTH AUGUSTA , SC","SC",1,13,2005,-81.975699,33.502785
