"COUNTY","FullAddress","Month","Date","Year","lon","lat"
"BEADLE ","1055 DAKOTA S AVE , HURON , SD","1","23","2006",-98.214182,44.3543027
"BEADLE ","601  13TH STREET , HURON , SD","3","9","2015",-98.2240453,44.3514362
"BROOKINGS ","425 12TH S 129 , BROOKINGS , SD","10","13","2004",-96.7852669,44.3048069
"BRULE ","24972  348TH AVE AVENUE  , PUKWANA , SD","7","7","2013",-99.2318559,43.65822
"CLARK ","311 1ST W AVE , CLARK , SD","4","27","2004",-97.7385102,44.8776329
"DAVISON ","108 NORTH MONTANA STREET  , MITCHELL , SD","5","28","2010",-98.0351807,43.7100843
"GRANT ","404 JOHNSON E , MILBANK , SD","8","25","2004",-96.7964925,45.0995225
"GRANT ","912 MIDDLE BROOK 6 , MILBANK , SD","8","25","2004",-96.6231469,45.2225976
"HANSON ","24978 422ND AVE , ALEXANDRIA , SD","3","6","2004",-97.769384,43.7635473
"LAKE ","321 LIBERTY N AVE , MADISON , SD","4","4","2005",-97.1213873,44.0073475
"LAKE ","114 IST ST , WENTWORTH , SD","4","23","2004",-96.9651738,43.9982762
"LINCOLN ","6039 SOUTH MCKENZIE PLACE  , SIOUX FALLS , SD","4","22","2010",-96.8056461,43.4906613
"LYMAN ","205 3RD W ST 6FSA , OACOMA , SD","3","12","2004",-99.395657,43.7961053
"MINNEHAHA ","5200 NORTH 60TH STREET  , ABERDEEN , SD","7","29","2013",-98.4864829,45.4646985
"MINNEHAHA ","100 3RD E , COLTON , SD","3","10","2005",-96.9306858,43.7880405
"MINNEHAHA ","110 ZELIFF AVE , SHERMAN , SD","1","12","2004",-96.4763903,43.7581203
"MINNEHAHA ","528 MENLO N AVE , SIOUX FALLS , SD","2","19","2004",-96.7398084,43.5528766
"MINNEHAHA ","2620 10TH E ST 132 , SIOUX FALLS , SD","2","27","2004",-96.6927624,43.547045
"MINNEHAHA ","928 MELROSE S PL , SIOUX FALLS , SD","4","20","2005",-96.8063499,43.5396301
"MINNEHAHA ","46836 265TH ST , SIOUX FALLS , SD","6","7","2005",-96.84349,43.544351
"MINNEHAHA ","704 CHARLOTTE S AVE 1 , SIOUX FALLS , SD","8","15","2005",-96.6731705,43.5419805
"MINNEHAHA ","815 WALTS S AVE , SIOUX FALLS , SD","3","24","2006",-96.7385118,43.5382891
"MINNEHAHA ","4320 SPRINGFIELD , SIOUX FALLS , SD","5","9","2006",-96.8019506,43.560806
"MINNEHAHA ","3078 EAST BRAGSTAD , SIOUX FALLS , SD","4","15","2007",-96.6873053,43.5269593
"MINNEHAHA ","508 EAST 31ST STREET , SIOUX FALLS , SD","4","25","2007",-96.7201202,43.5249704
"MINNEHAHA ","907 NORTH WAYLAND AVENUE , SIOUX FALLS , SD","5","8","2007",-96.7074601,43.5569943
"MINNEHAHA ","404 SOUTH THOMPSON AVENUE 8 , SIOUX FALLS , SD","4","8","2009",-96.6880062,43.5445146
"MINNEHAHA ","632 SOUTH 3RD AVENUE #6 , SIOUX FALLS , SD","4","29","2010",-87.4137801,39.4598245
"MINNEHAHA ","233 SOUTH DULUTH AVENUE 2 , SIOUX FALLS , SD","1","1","2012",-96.7342205,43.5450583
"MINNEHAHA ","2205 SOUTH GRANGE AVENUE  , SIOUX FALLS , SD","2","6","2013",-96.7412329,43.5246525
"MINNEHAHA ","6000 NORTH 60TH STREET  , SIOUX FALLS , SD","7","29","2013",-96.8023031,43.6039061
"MINNEHAHA ","501 SOUTH 4TH AVENUE , SIOUX FALLS , SD","10","7","2014",-96.7209067,43.5422507
"MOODY ","48143 227TH ST , FLANDREAU , SD","4","12","2004",-96.6329587,44.0948053
"PENNINGTON ","1017 1/2 TALLENT E , RAPID CITY , SD","1","4","2005",-103.199468,44.064175
"PENNINGTON ","1201 ATLAS ST 206 , RAPID CITY , SD","1","25","2005",-103.2247055,44.0969445
"SANBORN ","508  4TH STREET , ALPENA , SD","12","8","2014",-98.3695379,44.1803245
"SANBORN ","202 WEST W 11TH ST STREET  , WOONSOCKET , SD","1","3","2014",-98.2724752,44.0590269
"SPINK ","213 2ND STREET , DOLAND , SD","12","1","2006",-98.1037213,44.8957679
"YORK ","178 DWAYNE DRIVE , YORK , SD","7","12","2005",-81.1844409,34.8994022
