"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ANDERSON ","1669  MOUNTAIN ROAD, ANDERSONVILLE , TN","TN",2,19,2010,-84.039302,36.194518
"ANDERSON ","  310 MILL CREEK ROAD  , ANDERSONVILLE , TN","TN",12,4,2014,-84.015202,36.231585
"ANDERSON ","764 WALDEN RIDGE N RD , BRICEVILLE , TN","TN",6,21,2005,-84.2313695,36.1168699
"ANDERSON ","121  BILL BLACK LANE, BRICEVILLE , TN","TN",6,2,2010,-84.1856069,36.1881027
"ANDERSON ","116  BACK VOWELL ROAD, BRICEVILLE , TN","TN",8,19,2012,-84.1772982,36.1809083
"ANDERSON ","111  TENNESSE HOLLOW LANE, BRICEVILLE , TN","TN",7,2,2013,-84.1867369,36.175011
"ANDERSON ","196 HICKORY NUT LN , CLINTON , TN","TN",4,6,2004,-84.156926,36.088629
"ANDERSON ","737 MAIN N ST , CLINTON , TN","TN",11,2,2004,-84.132048,36.114877
"ANDERSON ","497 LAUREL RD , CLINTON , TN","TN",12,5,2004,-84.175472,36.088958
"ANDERSON ","543 PINE RIDGE RD , CLINTON , TN","TN",1,16,2005,-84.2612708,36.0549745
"ANDERSON ","2688 DUTCH VALLEY ROAD , CLINTON , TN","TN",3,10,2005,-84.222162,36.097364
"ANDERSON ","108 JOHNNY SMITH LANE , CLINTON , TN","TN",3,15,2005,-84.237391,36.088942
"ANDERSON ","144 HENSON LN , CLINTON , TN","TN",4,7,2005,-84.1558785,36.1415381
"ANDERSON ","126 HENSON LN , CLINTON , TN","TN",4,28,2005,-84.155761,36.1417544
"ANDERSON ","212 NORTH APACHE ROAD , CLINTON , TN","TN",5,13,2005,-84.123435,36.079417
"ANDERSON ","1951 OLD LAKE CITY HIGHWAY , CLINTON , TN","TN",3,7,2007,-84.151567,36.150947
"ANDERSON ","106 NORTH SHAW ROAD , CLINTON , TN","TN",4,24,2007,-84.127449,36.119597
"ANDERSON ","167 MOSER LANE , CLINTON , TN","TN",6,26,2007,-84.128988,36.1484989
"ANDERSON ","111 CARDINAL LANE , CLINTON , TN","TN",11,12,2007,-85.2055943,36.7147491
"ANDERSON ","604 RANDOLPH STREET , CLINTON , TN","TN",8,5,2008,-84.1315259,36.115937
"ANDERSON ","888  OLD EMORY ROAD, CLINTON , TN","TN",4,7,2009,-84.179511,36.0353251
"ANDERSON ","3463  NORRIS FREEEWAY, CLINTON , TN","TN",4,21,2009,-84.0471105,36.1708766
"ANDERSON ","1310  RIDGE VIEW DR., CLINTON , TN","TN",5,15,2009,-84.1722797,36.0638298
"ANDERSON ","117  PEACH ORCHARD ROAD, CLINTON , TN","TN",1,12,2010,-84.0991074,36.1760235
"ANDERSON ","3250  DUTCH VALLEY ROAD, CLINTON , TN","TN",1,20,2010,-84.201988,36.12215
"ANDERSON ","1707  LAKE CITY HIGHWAY, CLINTON , TN","TN",3,13,2010,-84.1529761,36.1391359
"ANDERSON ","504  OLD TACORA HILLS ROAD, CLINTON , TN","TN",3,13,2010,-84.179687,36.071871
"ANDERSON ","407  LAUREL ROAD, CLINTON , TN","TN",4,2,2010,-84.17014,36.092363
"ANDERSON ","1946  SULPHER SPRINGS ROAD, CLINTON , TN","TN",8,23,2012,-84.198949,36.110386
"ANDERSON ","0  634 CATAWBA AVE  , CLINTON , TN","TN",7,24,2014,-84.1417475,36.0740265
"ANDERSON ","277  MOORES GAP ROAD, HEISKELL , TN","TN",2,13,2010,-84.0371547,36.1293243
"ANDERSON ","888  NEW HENDERSON ROAD, KNOXVILLE , TN","TN",5,1,2009,-84.1394245,36.0065961
"ANDERSON ","1453 OFFUTT RD , LAKE CITY , TN","TN",1,2,2004,-84.1268928,36.1753309
"ANDERSON ","163 BRYANT LN , LAKE CITY , TN","TN",3,26,2004,-84.1475853,36.190759
"ANDERSON ","103 NEW CLEAR BRANCH ROAD , LAKE CITY , TN","TN",10,14,2005,-84.143476,36.181845
"ANDERSON ","106 FOSTER ROAD , LAKE CITY , TN","TN",9,3,2006,-84.144648,36.182619
"ANDERSON ","195 BOLIN ROAD , LAKE CITY , TN","TN",1,11,2008,-84.1609444,36.2233875
"ANDERSON ","876  LOVELY BLUFF ROAD, LAKE CITY , TN","TN",4,9,2009,-84.1322341,36.217775
"ANDERSON ","705  NEW CLEAR BRANCH ROAD, LAKE CITY , TN","TN",5,7,2009,-84.1342702,36.2025129
"ANDERSON ","114  ECHO VALLEY ROAD, LAKE CITY , TN","TN",2,11,2010,-84.1428634,36.2233181
"ANDERSON ","177  ELLIOTT ROAD, LAKE CITY , TN","TN",3,11,2010,-84.1464251,36.2061425
"ANDERSON ","114  CANE CREEK CEMETERY ROAD  , LAKE CITY , TN","TN",7,28,2010,-84.148209,36.176028
"ANDERSON ","922  JACKSBORO AVE, LAKE CITY , TN","TN",12,2,2013,-84.152547,36.218055
"ANDERSON ","600  4TH STREET  , LAKE CITY , TN","TN",12,10,2013,-84.1509509,36.2191814
"ANDERSON ","0  116 SUMMIT LANE , LAKE CITY , TN","TN",10,13,2015,-84.153195,36.225884
"ANDERSON ","102  RIVER ROAD, NORRIS PARK , TN","TN",4,27,2009,-90.0207071,35.083345
"ANDERSON ","588 OUTER W DR , OAK RIDGE , TN","TN",3,21,2004,-84.2820249,36.0202167
"ANDERSON ","101 HENLEY STREET , OAK RIDGE , TN","TN",1,25,2008,-84.26848,36.01554
"ANDERSON ","105  ALBANY ROAD, OAK RIDGE , TN","TN",5,19,2010,-84.218014,36.046863
"ANDERSON ","221  WADDELL CIRCLE, OAK RIDGE , TN","TN",5,26,2010,-84.265134,36.0225621
"ANDERSON ","135  PURDUE AVE., OAK RIDGE , TN","TN",6,30,2010,-84.240574,36.008026
"ANDERSON ","102  TACOMA ROAD  , OAK RIDGE , TN","TN",6,2,2013,-84.2283379,36.0341275
"ANDERSON ","312 HIGHLAND DRIVE , OLIVER SPRINGS , TN","TN",11,19,2008,-84.336192,36.044648
"ANDERSON ","138  BILL KEY LANE  , OLIVER SPRINGS , TN","TN",8,17,2012,-84.291792,36.02214
"ANDERSON ","618 SOUTH MEHAFFEY ROAD , POWELL , TN","TN",5,10,2007,-84.111112,36.023128
"ANDERSON ","618 MEHAFFEY ROAD , POWELL , TN","TN",8,16,2007,-84.111112,36.023128
"ANDERSON ","568 MOORE LANE , POWELL , TN","TN",10,25,2007,-84.0963782,36.0234338
"ANDERSON ","1118  FOUST CARNEY ROAD, POWELL , TN","TN",1,11,2013,-84.133436,36.040525
"BEDFORD ","2387 UNIONVILLE DEASON ROAD , BELL BUCKLE , TN","TN",6,1,2005,-86.488435,35.605311
"BEDFORD ","1350 CEDAR GROVE RD. , CHAPEL HILL , TN","TN",9,23,2008,-86.615171,35.659049
"BEDFORD ","148  COFFEY ROAD , PETERSBURG , TN","TN",6,12,2012,-86.620772,35.386351
"BENTON ","75 JAVA LN , BIG SANDY , TN","TN",3,3,2005,-88.077105,36.227373
"BENTON ","1604  LOWER BIG SANDY ROAD , BIG SANDY , TN","TN",12,14,2011,-88.1238024,36.1734136
"BENTON ","850 DEPRIEST RD , CAMDEN , TN","TN",4,3,2004,-88.185883,36.026981
"BENTON ","115 APPLE LN , CAMDEN , TN","TN",6,23,2004,-85.5616095,36.1205515
"BENTON ","137 DOGWOOD AVENUE , CAMDEN , TN","TN",1,3,2007,-88.098669,36.051146
"BENTON ","266 COOPER CEMETARY ROAD , CAMDEN , TN","TN",7,15,2007,-88.0978151,36.0589486
"BENTON ","1115  LANKFORD/ ARNOLD ROAD, CAMDEN , TN","TN",3,11,2010,-88.089887,36.114356
"BENTON ","110  HIGHWAY 69 SOUTH, CAMDEN , TN","TN",4,28,2010,-88.1154555,36.0569498
"BENTON ","154  SUNSET LANE, CAMDEN , TN","TN",7,10,2012,-88.1253009,36.043425
"BENTON ","17492  BIRDSONG ROAD, HOLLADAY , TN","TN",10,19,2012,-87.990804,35.85198
"BLEDSOE ","100 MARY ANN LN 622 , PIKEVILLE , TN","TN",1,30,2004,-85.190226,35.6248105
"BLEDSOE ","421 BROCKDALE ROAD , PIKEVILLE , TN","TN",3,11,2005,-85.3619826,35.5526078
"BLEDSOE ","144  ROCK FORT ROAD, PIKEVILLE , TN","TN",1,11,2013,-85.1888498,35.6056231
"BLEDSOE ","1021  PORCH ROCK ROAD, PIKEVILLE , TN","TN",4,20,2013,-85.1305019,35.6041597
"BLOUNT ","253 HANNUM ST , ALCOA , TN","TN",5,17,2004,-83.971829,35.760664
"BLOUNT ","420 SOUTH FARNUM STREET , FRIENDSVILLE , TN","TN",4,17,2015,-84.137696,35.757534
"BLOUNT ","3724 MISER STATION RD , LOUISVILLE , TN","TN",5,28,2004,-84.068785,35.786387
"BLOUNT ","797 MORRIS PL , MARYVILLE , TN","TN",1,10,2004,-83.9704593,35.7564719
"BLOUNT ","920 DUNLAP N ST , MARYVILLE , TN","TN",1,9,2006,-83.990699,35.7537995
"BLOUNT ","2647 MONTVALE ROAD , MARYVILLE , TN","TN",5,19,2006,-83.9688143,35.7097722
"BLOUNT ","807  OAK STREET, MARYVILLE , TN","TN",4,28,2010,-83.955066,35.759717
"BLOUNT ","450  CHEROKEE HIGHTS DRIVE, MARYVILLE , TN","TN",4,29,2010,-84.0048131,35.7295019
"BLOUNT ","2224  WILDWOOD ROAD  , MARYVILLE , TN","TN",12,27,2011,-83.9465317,35.7831368
"BLOUNT ","1202  HARPER AVENUE, MARYVILLE , TN","TN",9,14,2012,-83.9643272,35.7642973
"BLOUNT ","216  ARABIAN LANE, MARYVILLE , TN","TN",1,9,2013,-83.9938571,35.7658341
"BLOUNT ","3513 TARBETT CT , ROCKFORD , TN","TN",12,28,2004,-83.960598,35.819502
"BRADLEY ","111 OLD LOWER RIVER W CIR , CHARLESTON , TN","TN",4,27,2004,-84.7930913,35.3059002
"BRADLEY ","1120 EADES BLUFF RD , CHARLESTON , TN","TN",8,12,2004,-84.7582743,35.2872952
"BRADLEY ","189 BATES ST , CHARLESTON , TN","TN",1,26,2005,-84.7546604,35.2833689
"BRADLEY ","2801 HOLMES DR , CLEVELAND , TN","TN",1,2,2004,-84.878455,35.12482
"BRADLEY ","1600 LEE SE HWY 126 , CLEVELAND , TN","TN",1,11,2004,-84.8979989,35.1522145
"BRADLEY ","2780 LEADMINE SW RD , CLEVELAND , TN","TN",1,12,2004,-84.9406755,35.0456103
"BRADLEY ","1625 AURORA AVE 3 , CLEVELAND , TN","TN",2,19,2004,-84.875477,35.143417
"BRADLEY ","2190 OLD HARRISON PIKE , CLEVELAND , TN","TN",2,25,2004,-84.910201,35.176295
"BRADLEY ","1501 25TH NW ST , CLEVELAND , TN","TN",3,7,2004,-84.8813,35.189166
"BRADLEY ","1620 SPRING PLACE SE RD , CLEVELAND , TN","TN",3,18,2004,-84.86349,35.134942
"BRADLEY ","1700 KEITH VALLEY SE RD , CLEVELAND , TN","TN",3,19,2004,-84.8385636,35.0283393
"BRADLEY ","244 VIRGIL RYMER RD , CLEVELAND , TN","TN",3,30,2004,-84.740446,35.143125
"BRADLEY ","200 PIRKIE NE , CLEVELAND , TN","TN",4,7,2004,-84.8254089,35.161577
"BRADLEY ","2126 CURTIS ST , CLEVELAND , TN","TN",4,9,2004,-84.8750696,35.1358226
"BRADLEY ","74 DALTON PIKE SE 3427 , CLEVELAND , TN","TN",4,11,2004,-84.8625485,35.1110061
"BRADLEY ","1012 WHITE OAK W RD , CLEVELAND , TN","TN",4,13,2004,-84.9427819,35.208183
"BRADLEY ","138 QUILL NW DR , CLEVELAND , TN","TN",4,13,2004,-84.929764,35.185293
"BRADLEY ","175 SOUTHEAST OAKLAND TRAIL , CLEVELAND , TN","TN",4,16,2004,-84.866797,35.122752
"BRADLEY ","110 FAIRWAY DR , CLEVELAND , TN","TN",4,20,2004,-84.8940079,35.1570333
"BRADLEY ","952 EUCLID SE AVE , CLEVELAND , TN","TN",4,27,2004,-84.878517,35.152277
"BRADLEY ","64 WATERLEVEL SE HWY 3215 , CLEVELAND , TN","TN",5,19,2004,-84.8348819,35.147725
"BRADLEY ","2075 CLINGAN DR 17 , CLEVELAND , TN","TN",5,25,2004,-84.8876017,35.1832451
"BRADLEY ","705 18TH SE ST , CLEVELAND , TN","TN",6,1,2004,-84.87543,35.142949
"BRADLEY ","430 2ND ST , CLEVELAND , TN","TN",6,14,2004,-84.871273,35.155895
"BRADLEY ","2203 PLEASANT GROVE TRL , CLEVELAND , TN","TN",6,15,2004,-84.927589,35.151752
"BRADLEY ","2870 HUNT SE RD , CLEVELAND , TN","TN",6,21,2004,-84.852844,35.03538
"BRADLEY ","6TH SE ST 1405 , CLEVELAND , TN","TN",7,10,2004,-84.8545855,35.1547317
"BRADLEY ","115 WILDOAK DR , CLEVELAND , TN","TN",7,12,2004,-84.8378394,35.0301327
"BRADLEY ","1405 NORTHEAST 6TH STREET , CLEVELAND , TN","TN",7,19,2004,-84.8545855,35.1547317
"BRADLEY ","4564 BLUE SPRINGS RD , CLEVELAND , TN","TN",7,26,2004,-84.9075189,35.095857
"BRADLEY ","260 APPALACHIA TRL , CLEVELAND , TN","TN",8,2,2004,-84.8116413,35.1891994
"BRADLEY ","1856 SOUTHWEST CIRCLE DRIVE , CLEVELAND , TN","TN",8,5,2004,-84.903473,35.150512
"BRADLEY ","501 HUGHES RD , CLEVELAND , TN","TN",8,9,2004,-84.8032406,35.1174959
