"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ANDERSON ","1424 ACR 163 , ELKHART , TX","TX",3,7,2005,-95.64637,31.651745
"ANDERSON ","1353 ACR 142 , PALESTINE , TX","TX",1,16,2004,-95.627234,31.936225
"ANDERSON ","ROUTE 9 180 , PALESTINE , TX","TX",10,20,2005,-95.630789,31.762115
"ANDERSON ","10349 EAST FM 323 , PALESTINE , TX","TX",3,7,2006,-95.474133,31.695315
"ANGELINA ","448 VERA MAE THOMAS ROAD , HUNTINGTON , TX","TX",11,20,2008,-94.516114,31.372981
"ANGELINA ","602  PINE STREET  , HUNTINGTON , TX","TX",4,21,2009,-94.563513,31.283431
"ANGELINA ","207 CHAMBERS ST , LUFKIN , TX","TX",3,26,2004,-94.716306,31.344211
"ANGELINA ","2011 FIRST S ST 107 , LUFKIN , TX","TX",5,17,2004,-94.725686,31.309258
"ANGELINA ","5 RT 1840 , LUFKIN , TX","TX",8,4,2004,-94.722892,31.341586
"ANGELINA ","132 CONNIE LN , LUFKIN , TX","TX",9,14,2004,-94.805949,31.360829
"ANGELINA ","511 MYRTIE DR , LUFKIN , TX","TX",9,15,2004,-94.688974,31.352188
"ANGELINA ","2695 1ST S , LUFKIN , TX","TX",9,24,2004,-94.728465,31.294658
"ANGELINA ","110 FIRST N 3 , LUFKIN , TX","TX",2,5,2005,-94.729426,31.338847
"ANGELINA ","603 BOONER , LUFKIN , TX","TX",9,4,2005,-94.733785,31.343564
"ANGELINA ","2018 FORD CHAPEL ROAD , LUFKIN , TX","TX",4,18,2006,-94.705006,31.33406
"ANGELINA ","103 ROSEDALE STREET , LUFKIN , TX","TX",9,14,2006,-94.724814,31.301175
"ANGELINA ","5151 NORTH 59 HIGHWAY , LUFKIN , TX","TX",7,23,2007,-94.747459,31.273716
"ANGELINA ","415 JACK STREET , LUFKIN , TX","TX",11,12,2007,-94.713545,31.353545
"ANGELINA ","394 MORRIS LANE 394 , LUFKIN , TX","TX",2,21,2008,-94.800189,31.401974
"ANGELINA ","2103 SOUTH CHESTNUT , LUFKIN , TX","TX",4,29,2008,-94.708145,31.312686
"ANGELINA ","151 COACH REDD ROAD , LUFKIN , TX","TX",11,17,2008,-94.642704,31.376183
"ANGELINA ","1510 ATKINSON DRIVE , LUFKIN , TX","TX",12,7,2008,-94.709944,31.347337
"ANGELINA ","232 W.E. ANDERSON ROAD , LUFKIN , TX","TX",12,23,2008,-94.75223,31.361512
"ANGELINA ","5222  FULLER SPRINGS DRIVE  , LUFKIN , TX","TX",1,6,2010,-94.677552,31.28874
"ANGELINA ","1070  GOLF COURSE ROAD  , LUFKIN , TX","TX",1,14,2010,-94.645682,31.363041
"ANGELINA ","384  LIGHTFOOT ROAD  , LUFKIN , TX","TX",1,28,2010,-94.646628,31.401364
"ANGELINA ","110  KNOLLWOOD, LUFKIN , TX","TX",2,18,2010,-94.764865,31.378485
"ANGELINA ","4350 NORTH US 59 N HIGHWAY  , LUFKIN , TX","TX",4,19,2010,-95.251196,38.319865
"ANGELINA ","382  LIGHTFOOT ROAD  , LUFKIN , TX","TX",4,22,2010,-94.648229,31.400703
"ANGELINA ","382  LIGHTFOOT ROAD  , LUFKIN , TX","TX",4,22,2010,-94.648229,31.400703
"ANGELINA ","3044 ALLENTOWN LP , POLLOK , TX","TX",7,7,2004,-94.769949,31.455004
"ANGELINA ","11390 NORTH US HWY 69 HIGHWAY , POLLOK , TX","TX",12,5,2008,-94.871041,31.453909
