"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"ACCOMACK ","17349  MUSIC CIR CIRCLE  , PARKSLEY , VA","VA",2,14,2014,-75.596415,37.797359
"ALBEMARLE ","7273  TRUMP ROAD , COMMONWEALTH , VA","VA",9,9,2015,-78.487461,38.074625
"ALLEGHANY ","318  ROXBURY STREET , CLIFTON FORGE , VA","VA",3,4,2015,-79.829837,37.817514
"ALLEGHANY ","111  KARNS RD/KARNES RD ROAD  , COVINGTON , VA","VA",3,28,2014,-79.993946,37.793459
"ALLEGHANY ","611 NORTH GREENBRIER AVENUE , COVINGTON , VA","VA",12,4,2014,-79.985785,37.798822
"APPOMATTOX ","2166 HOLLYWOOD ROAD , APPOMATTOX , VA","VA",3,5,2007,-78.825291,37.357089
"AUGUSTA ","1148 ROUND HILL SCHOOL RD , CRIMORA , VA","VA",3,21,2006,-78.868739,38.176361
"AUGUSTA ","4100  LEE JACKSON HWY HIGHWAY  , GREENVILLE , VA","VA",3,29,2014,-79.155863,38.003467
"AUGUSTA ","31 SOUTH JOLLETT LANE , GROTTOES , VA","VA",5,29,2007,-78.830197,38.20931
"AUGUSTA ","21  KITTERY PT, STAUNTON , VA","VA",2,12,2014,-79.023524,38.11787
"AUGUSTA ","1204 WHITE HILL RD , STUARTS DRAFT , VA","VA",11,11,2004,-79.057039,38.053803
"AUGUSTA ","966 OLD WHITE HILL ROAD , STUARTS DRAFT , VA","VA",5,12,2007,-79.059274,38.031267
"AUGUSTA ","18  FORRER RD/FORRER AVE ROAD  BOX , STUARTS DRAFT , VA","VA",9,8,2014,-79.033637,38.030136
"BATH ","11038  DRY RUN ROAD , CHURCHVILLE , VA","VA",4,3,2015,-79.162255,38.22624
"BATH ","1682  CROOKED SPUR ROAD  , MILLBORO , VA","VA",5,13,2010,-79.615476,37.987113
"BEDFORD ","1016 BLUE MOON , BEDFORD , VA","VA",5,19,2004,-79.492976,37.32025
"BEDFORD ","1075  SHADY LACE LN LANE  , BEDFORD , VA","VA",3,7,2014,-79.460938,37.353967
"BEDFORD ","1211  EDGEHILL ROAD  , MONTVALE , VA","VA",1,7,2011,-79.71597,37.386358
"BEDFORD ","1941  SHADY ROAD  , VINTON , VA","VA",5,26,2013,-79.840688,37.249424
"BOTETOURT ","155 WEBSTER HEIGHTS ROAD , BLUE RIDGE , VA","VA",9,12,2008,-79.823325,37.360379
"BOTETOURT ","3254 BLUE RIDGE BOULEVARD , BLUE RIDGE , VA","VA",9,12,2008,-79.82361,37.361403
"BOTETOURT ","1811  TIMBER RIDGE ROAD  , BUCHANAN , VA","VA",11,22,2013,-79.82056,37.547893
"BOTETOURT ","7444  TINKERVIEW ROAD  , ROANOKE , VA","VA",10,12,2013,-79.915131,37.350322
"Bristol (city) ","1103 LAWRENCE AVE , BRISTOL , VA","VA",4,5,2004,-82.190452,36.604704
"Bristol (city) ","15589 LEE HWY 221 , BRISTOL , VA","VA",10,19,2004,-82.080258,36.656488
"Bristol (city) ","9108 TIMBERBEND LN , BRISTOL , VA","VA",11,12,2004,-82.186122,36.627297
"Bristol (city) ","626 15301 LARGE HOLLOW RD , BRISTOL , VA","VA",3,9,2005,-82.096207,36.755665
"BRISTOL (CITY) ","321  PARD STREET  , BRISTOL , VA","VA",6,14,2010,-82.185255,36.601692
"BRISTOL (CITY) ","763  ISLAND ROAD  , BRISTOL , VA","VA",7,14,2010,-82.220717,36.605312
"BRISTOL (CITY) ","1  EUCLID AVENUE  , BRISTOL , VA","VA",7,31,2010,-82.175529,36.60868
"BRISTOL (CITY) ","183  2ND STREET G , BRISTOL , VA","VA",8,19,2010,-82.161315,36.603165
"BRISTOL (CITY) ","1010  NEWTON STREET 302 , BRISTOL , VA","VA",8,26,2010,-82.195689,36.596389
"BRISTOL (CITY) ","651  QUARRY STREET L-2 , BRISTOL , VA","VA",8,26,2010,-82.182462,36.60116
"BRISTOL (CITY) ","15  DUKE STREET  , BRISTOL , VA","VA",11,16,2010,-82.202674,36.611421
"BRISTOL (CITY) ","700  CLINTON AVENUE T1 , BRISTOL , VA","VA",12,4,2012,-82.179832,36.603033
"BRISTOL (CITY) ","225  RESERVOIR STREET  , BRISTOL , VA","VA",5,8,2013,-82.165693,36.595097
"BRISTOL (CITY) ","170  2ND STREET E , BRISTOL , VA","VA",6,13,2013,-82.161591,36.604026
"BUCHANAN ","1045  OLD BRIDGE ROAD  , MAVISDALE , VA","VA",3,24,2010,-82.006816,37.200844
"BUCHANAN ","1334  BETSY BRANCH ROAD  , SHORTT GAP , VA","VA",6,12,2010,-81.910598,37.165505
"CAMPBELL ","4478 THREE CREEKS ROAD , GLADYS , VA","VA",5,31,2007,-78.980892,37.136916
"CAMPBELL ","1301  HARDING STREET  , LYNCHBURG , VA","VA",1,28,2013,-79.177772,37.383367
"CAMPBELL ","98  SAGE DR DRIVE  , LYNCHBURG , VA","VA",3,3,2014,-79.111754,37.357892
"CARROLL ","1232 CARROLL VIEW RD , FANCY GAP , VA","VA",4,21,2004,-80.652822,36.661519
"CARROLL ","800 APACHE TRAIL , FANCY GAP , VA","VA",6,1,2006,-80.688971,36.653008
"CARROLL ","101  STRUPE HOLLOW ROAD  , IVANHOE , VA","VA",4,7,2009,-80.966769,36.840131
"CARROLL ","3491 (B) LAMBSBURG RD , LAMBSBURG , VA","VA",2,16,2005,-80.760904,36.585086
"CHARLOTTESVILLE (CITY) ","706  FRANKLIN STREET 4 , CHARLOTTESVILLE , VA","VA",10,8,2013,-78.465419,38.019552
"CHESAPEAKE (CITY) ","1220 IVY STONE WAY , CHESAPEAKE , VA","VA",5,3,2005,-76.287493,36.768209
"CHESAPEAKE (CITY) ","725  INDIAN CREEK RD ROAD  , CHESAPEAKE , VA","VA",3,9,2014,-76.193187,36.599029
"CHESAPEAKE CITY ","721  CONFERENCE CENTER DRIVE BOX 2 , CHESAPEAKE , VA","VA",8,2,2015,-76.287493,36.768209
