"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"BENTON ","1002 E 7TH ST , BENTON CITY , WA","WA",4,23,2004,-119.483519,46.270973
"BENTON ","2201 DUSTY LN , BENTON CITY , WA","WA",6,29,2004,-119.500168,46.278041
"BENTON ","400 14TH ST 4 , BENTON CITY , WA","WA",7,1,2004,-119.493322,46.260275
"BENTON ","31404  E KENNEDY, BENTON CITY , WA","WA",5,6,2009,-119.429698,46.260059
"BENTON ","950 S KELLER B , KENNEWICK , WA","WA",5,13,2004,-119.168594,46.199816
"BENTON ","953 S KELLER E , KENNEWICK , WA","WA",6,2,2004,-119.167914,46.199358
"BENTON ","213403 E 194 PR SE , KENNEWICK , WA","WA",6,22,2004,-119.052005,46.180092
"BENTON ","216094 E STATE ROUTE 397 C , KENNEWICK , WA","WA",7,7,2004,-119.047974,46.166882
"BENTON ","40204 S MORTON RD , KENNEWICK , WA","WA",8,21,2004,-119.027124,46.149556
"BENTON ","2906 W 7TH 42 , KENNEWICK , WA","WA",9,27,2004,-119.160787,46.204955
"BENTON ","611 E 3RD , KENNEWICK , WA","WA",10,24,2004,-119.10777,46.205692
"BENTON ","203212 E STATE ROUTE 397 , KENNEWICK , WA","WA",11,19,2004,-119.074721,46.186716
"BENTON ","218406 SR 397 51 , KENNEWICK , WA","WA",12,31,2004,-119.188506,46.147484
"BENTON ","1206 N ARTHUR , KENNEWICK , WA","WA",11,27,2005,-119.185114,46.223987
"BENTON ","126702 WEST W KING TULL ROAD , PROSSER , WA","WA",8,11,2007,-119.759829,46.244727
"CHELAN ","500 LAKESHORE DR , MANSON , WA","WA",3,7,2006,-120.166814,47.891162
"CHELAN ","361 TERMINAL ST , WENATCHEE , WA","WA",7,21,2004,-120.307369,47.397934
"CHELAN ","3202 HEDDING ST , WENATCHEE , WA","WA",1,28,2005,-120.240542,47.666236
"CHELAN ","914 WASHINGTON ST UPSTAIRS , WENATCHEE , WA","WA",1,11,2006,-120.310349,47.42346
"CLARK ","43207 NE 285TH AVE 23 , AMBOY , WA","WA",4,8,2004,-122.380065,45.932973
"CLARK ","31608 NE GEORGE RD , CAMAS , WA","WA",7,20,2004,-122.348182,45.649804
"CLARK ","2122 NE 90TH AVE , VANCOUVER , WA","WA",3,9,2004,-122.581009,45.638528
"CLARK ","9203 NE WARD RD , VANCOUVER , WA","WA",10,27,2004,-122.497473,45.687667
"CLARK ","5009 HAZELDELL NE AVE , VANCOUVER , WA","WA",12,16,2004,-122.666487,45.658394
"CLARK ","702 SE 141ST AVE , VANCOUVER , WA","WA",12,24,2004,-122.528048,45.615764
"CLARK ","7108 117TH NE AVE , VANCOUVER , WA","WA",1,13,2005,-122.55316,45.674266
"CLARK ","9208 NE 50TH CT , VANCOUVER , WA","WA",2,17,2005,-122.620206,45.688306
"CLARK ","4004 NE 44TH ST , VANCOUVER , WA","WA",3,4,2005,-122.630013,45.653494
"CLARK ","2800 NORTHEAST STAPLETON ROAD , VANCOUVER , WA","WA",1,13,2006,-122.617498,45.642559
"CLARK ","5910 NORTHEAST 131ST AVENUE , VANCOUVER , WA","WA",6,13,2006,-122.53804,45.665841
"CLARK ","6920 NE SAINT JOHNS ROAD , VANCOUVER , WA","WA",10,4,2006,-122.635952,45.674066
"CLARK ","2124 B ST 1 , WASHOUGAL , WA","WA",5,30,2004,-122.374389,45.59512
"COWLITZ ","194 CONFER RD , KALAMA , WA","WA",9,1,2004,-122.809235,45.971801
"COWLITZ ","337 21ST AVE , LONGVIEW , WA","WA",5,20,2004,-122.954723,46.123726
"COWLITZ ","122 18TH AVE , LONGVIEW , WA","WA",8,26,2004,-122.954188,46.118645
"COWLITZ ","149 NIBBLETT WAY , LONGVIEW , WA","WA",11,24,2004,-122.932578,46.176204
"COWLITZ ","336 21ST AVE , LONGVIEW , WA","WA",12,27,2004,-122.954157,46.123476
"COWLITZ ","149 NIBLETT , LONGVIEW , WA","WA",8,10,2006,-122.932578,46.176204
"COWLITZ ","281 17TH AVENUE , LONGVIEW , WA","WA",7,30,2007,-122.951773,46.120566
"DOUGLAS ","305  FALCON RIDGE, EAST WENATCHEE , WA","WA",4,13,2009,-120.169182,47.585986
"DOUGLAS ","1271 PALISADES RD A , PALISADES , WA","WA",9,10,2004,-119.918884,47.412964
"FRANKLIN ","4721 IVY RD , PASCO , WA","WA",3,12,2004,-119.151942,46.296942
"FRANKLIN ","8205 SUNSET LN , PASCO , WA","WA",6,12,2004,-119.198118,46.242721
"FRANKLIN ","507 N 4TH AVE 606 , PASCO , WA","WA",6,16,2004,-119.093966,46.234807
"FRANKLIN ","3605 QUAIL ST , PASCO , WA","WA",11,4,2004,-119.137144,46.294963
"FRANKLIN ","2724 LEWIS W , PASCO , WA","WA",3,28,2005,-119.127654,46.232381
"GARFIELD ","2100 GOULD CITY MAYVIEW RD , POMEROY , WA","WA",1,9,2005,-117.464853,46.627482
