"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"BARRON ","906 21ST ST , CAMERON , WI","WI",3,15,2004,-91.728065,45.338107
"BARRON ","1832 HWY U , DALLAS , WI","WI",6,17,2004,-91.781773,45.215566
"BAYFIELD ","52240 LAKE S RD , BARNES , WI","WI",10,15,2005,-91.482316,46.319168
"BURNETT ","7175 AUSTIN LAKE ROAD , WEBSTER , WI","WI",1,8,2008,-92.352847,45.888353
"CHIPPEWA ","19851 CR K 14 , CHIPPEWA FALLS , WI","WI",2,18,2004,-91.267303,44.929658
"CHIPPEWA ","5780 167TH ST , CHIPPEWA FALLS , WI","WI",3,24,2005,-91.332657,44.92654
"CHIPPEWA ","7382 50TH AVE , CHIPPEWA FALLS , WI","WI",9,12,2005,-91.530197,44.915367
"CHIPPEWA ","3033 RUNWAY AVE. , EAU CLAIRE , WI","WI",5,13,2006,-91.467589,44.871103
"CHIPPEWA ","11079  17TH AVENUE  , LAKE HALLIE , WI","WI",1,3,2012,-91.446481,44.869235
"COLUMBIA ","2179 WEST WINGERS ROAD , TOWNSHIP OF COURTLAN , WI","WI",9,15,2006,-88.787868,43.78444
"COLUMBIA ","918 CAPITOL ST , WISCONSIN DELLS , WI","WI",2,25,2004,-89.767575,43.62967
"COLUMBIA ","729 RACE ST 5 , WISCONSIN DELLS , WI","WI",4,15,2005,-89.763471,43.626767
"CRAWFORD ","906 PENNY CT 5 , PRAIRIE DU CHIEN , WI","WI",5,12,2004,-91.135401,43.033145
"CRAWFORD ","221 NORTH MAIN STREET  , PRAIRIE DU CHIEN , WI","WI",4,12,2010,-91.148716,43.05362
"DANE ","10906 AMENDA RD , MAZOMANIE , WI","WI",9,30,2004,-89.826373,43.196469
"DANE ","1106 PINE STREET , SUN PRAIRIE , WI","WI",3,18,2008,-89.230793,43.191646
"DODGE ","9938 WEST 73 HIGHWAY , RANDOLPH , WI","WI",3,23,2007,-89.007351,43.556662
