"COUNTY","FullAddress","STATE","Month","Date","Year","lon","lat"
"BOONE ","54 MCCLUNG LN , BLOOMINGROSE , WV","WV",9,10,2004,-81.629379,38.132424
"BOONE ","148 VALLEY VISTA CIR , RACINE , WV","WV",4,18,2005,-81.654819,38.139434
"BOONE ","30099 POND FORK RD , WHARTON , WV","WV",4,8,2004,-81.630821,37.857742
"BRAXTON ","702 1/2 KANAWHA ST , GASSAWAY , WV","WV",10,22,2005,-80.771802,38.674635
"BRAXTON ","2434 SUTTON LN , SUTTON , WV","WV",2,4,2005,-80.663364,38.701021
"BRAXTON ","356 BUCK FORK RD , SUTTON , WV","WV",5,1,2005,-80.766517,38.601626
"BRAXTON ","595 SUTTON LANE , SUTTON , WV","WV",1,13,2006,-80.714578,38.676638
"CABELL ","1902 HASH RIDGE ROAD 64B , BARBOURSVILLE , WV","WV",6,1,2006,-82.267356,38.404001
"CABELL ","411 9TH ST , HUNTINGTON , WV","WV",8,1,2004,-82.444,38.420263
"CABELL ","4128 5TH ST , HUNTINGTON , WV","WV",7,9,2005,-82.452586,38.351238
"CABELL ","5001 KATHY LN 8 , LESAGE , WV","WV",10,19,2005,-82.298482,38.506473
"CABELL ","1590 BALLS GAP RD , MILTON , WV","WV",9,1,2004,-82.113337,38.417345
"CABELL ","1035 NEWMANS BRANCH RD , MILTON , WV","WV",10,3,2004,-82.140444,38.435615
"CABELL ","1113 AMOS ST , MILTON , WV","WV",1,24,2005,-82.128834,38.422055
"CABELL ","1114 LEE CREEK RD , MILTON , WV","WV",6,2,2005,-82.090113,38.427259
"CABELL ","1649 JAMES RIVER TURNPIKE , MILTON , WV","WV",8,2,2005,-82.10898,38.419921
"CABELL ","1421 GLENWOOD STREET , MILTON , WV","WV",4,17,2006,-82.130394,38.439487
"CABELL ","2632 YATES CROSSING RD , ONA , WV","WV",8,10,2004,-82.189481,38.442159
"CABELL ","114 BETHESDA DRIVE , ONA , WV","WV",4,12,2006,-82.195531,38.430015
"CALHOUN ","51  KATIES RUN , ANNAMORIAH , WV","WV",12,20,2011,-81.237427,38.958272
"GILMER ","#10 HOWARD ST , GLENVILLE , WV","WV",11,24,2004,-80.836907,38.933993
"GILMER ","706 LEWIS N ST , GLENVILLE , WV","WV",12,10,2004,-80.826326,38.939871
"GILMER ","4640 HIGHWAY 5 W , GLENVILLE , WV","WV",8,11,2005,-80.768565,38.915833
"GREENBRIER ","200 MAIN W ST , WHITE SULPHUR SPRINGS , WV","WV",9,17,2005,-80.302987,37.790255
"GREENBRIER ","205 (B) SPRING ST , WHITE SULPHUR SPRINGS , WV","WV",9,17,2005,-80.304693,37.791018
"JACKSON ","34 PINELL ST , COTTAGEVILLE , WV","WV",9,2,2004,-81.848151,38.875575
"JACKSON ","1930 FISHER RIDGE RD , KENNA , WV","WV",5,9,2005,-81.622686,38.589316
"JACKSON ","517 WATTS CHAPEL RD , KENNA , WV","WV",2,25,2006,-81.664092,38.642604
"JACKSON ","1085 SKULL RUN RD , MURRAYSVILLE , WV","WV",8,25,2005,-81.718163,39.047232
"JACKSON ","706 RITCHIE S AVE , RAVENSWOOD , WV","WV",4,20,2005,-81.756269,38.953239
"JACKSON ","427  BULLFROG ROAD  , RIPLEY , WV","WV",8,26,2010,-81.725505,38.832014
"JACKSON ","3  STONEGATE ROAD  , SANDYVILLE , WV","WV",8,26,2010,-81.68932,38.880994
"KANAWHA ","138 1/2 HILL ST , CABIN CREEK , WV","WV",3,30,2005,-81.47464,38.198686
"KANAWHA ","1528 E 1/2 LEE STREET , CHARLES TOWN , WV","WV",6,18,2015,-77.83366,39.302252
"KANAWHA ","1515 LIVINGSTON AVE , CHARLESTON , WV","WV",1,13,2004,-81.659491,38.374239
"KANAWHA ","1505 WINDSOR DR , CHARLESTON , WV","WV",1,21,2004,-81.55191,38.397631
"KANAWHA ","5301 1/2 MACCORKLE AVE A , CHARLESTON , WV","WV",2,5,2004,-81.572843,38.317322
"KANAWHA ","211 HICKORY RD , CHARLESTON , WV","WV",3,4,2004,-81.653788,38.343143
"KANAWHA ","2652 EVERGREEN DR , CHARLESTON , WV","WV",3,10,2004,-81.595262,38.387952
"KANAWHA ","1145 BARLOW DR , CHARLESTON , WV","WV",3,15,2004,-81.60275,38.374427
"KANAWHA ","1607 BIGLEY AVE 105 , CHARLESTON , WV","WV",3,31,2004,-81.620382,38.361989
"KANAWHA ","1522 7TH AVE , CHARLESTON , WV","WV",4,6,2004,-81.661085,38.370652
"KANAWHA ","100 WASHINGTON ST 726 , CHARLESTON , WV","WV",6,19,2004,-81.640605,38.359753
"KANAWHA ","489 RUFFNE S RD , CHARLESTON , WV","WV",6,25,2004,-81.624136,38.329192
"KANAWHA ","1105 STUART ST , CHARLESTON , WV","WV",6,27,2004,-81.65457,38.369777
"KANAWHA ","268 NEWHOUSE RD C , CHARLESTON , WV","WV",7,27,2004,-81.614976,38.38481
"KANAWHA ","681 WAYSIDE DR , CHARLESTON , WV","WV",9,21,2004,-81.661986,38.358008
"KANAWHA ","268 NEWHOUSE BRANCH RD , CHARLESTON , WV","WV",10,1,2004,-81.614976,38.38481
"KANAWHA ","5318 MAIN ST , CHARLESTON , WV","WV",11,5,2004,-81.743086,38.350047
