"COUNTY","FullAddress","Month","Date","Year","lon","lat"
"ALBANY ","1556  9TH STREET A , LARAMIE , WY",11,30,2012,-105.584162,41.32561
"CAMPBELL ","12626 HWY 59 N , GILLETTE , WY",8,3,2005,-105.455186,44.432215
"CAMPBELL ","113 RULE RD , RECLUSE , WY",12,7,2004,-105.71764,44.695925
"CARBON ","503 SAGE HILLS 307 , RAWLINS , WY",2,9,2005,-107.225802,41.782783
"CONVERSE ","945 WASHINGTON , DOUGLAS , WY",2,26,2004,-105.379751,42.746899
"CONVERSE ","1457 WESTGATE C , DOUGLAS , WY",3,22,2004,-83.0433,39.975307
"FREMONT ","32 ANGEL LN , PAVILLION , WY",7,25,2005,-108.571741,43.225279
"FREMONT ","604 BROADWAY , RIVERTON , WY",8,16,2004,-108.386407,43.030515
"LARAMIE ","1322 17TH W ST , CHEYENNE , WY",2,1,2004,-104.829816,41.128925
"LARAMIE ","713 WEST 24 STREET  , CHEYENNE , WY",4,3,2010,-104.82586,41.137291
"LINCOLN ","87 WAUPITI VILLAGE LN , ALPINE , WY",3,9,2004,-111.016482,43.161095
"NATRONA ","1445 JACKSON S ST , CASPER , WY",4,5,2005,-106.31076,42.835744
"NATRONA ","1118 BURLINGTON , CASPER , WY",10,2,2007,-106.310519,42.854931
"NATRONA ","STREET  , CASPER , WY",6,2,2010,-104.378224,41.96162
"PARK ","737 2ND E ST , POWELL , WY",6,18,2004,-108.749393,44.75458
"PLATTE ","954  WALNUT STREET  BOX 2 , WHEATLAND , WY",9,2,2014,-104.95275,42.054414
"SHERIDAN ","2167 MAIN N ST 16 , SHERIDAN , WY",9,4,2004,-106.955542,44.821947
"SHERIDAN ","2366 MAIN N ST , SHERIDAN , WY",9,4,2004,-106.958139,44.824285
"SHERIDAN ","520 FORT RD , SHERIDAN , WY",9,4,2004,-106.963433,44.82112
"UINTA ","751 SIOUX DRIVE , EVANSTON , WY",2,15,2006,-110.959848,41.254395
"WYOMING ","971 DALE W ST , LILLYDALE , WY",3,21,2005,-81.664593,37.676077
